	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-HEGQ-2001668-Gymnocarpium_dryopteris.p1__scaffold-HEGQ-2002097-Gymnocarpium_dryopteris.p1	0.39498	0.58574	1314.0	519.0	0.72144	GF_001925	0.4993	1.7311	2.0	0.2885	519.0	scaffold-HEGQ-2001668-Gymnocarpium_dryopteris.p1	scaffold-HEGQ-2002097-Gymnocarpium_dryopteris.p1	1.0	1.0
scaffold-HEGQ-2074335-Gymnocarpium_dryopteris.p1__scaffold-HEGQ-2075754-Gymnocarpium_dryopteris.p1	0.95364	0.7662	453.0	432.0	0.28466	GF_003125	0.1442	0.9546	2.0	0.1511	432.0	scaffold-HEGQ-2074335-Gymnocarpium_dryopteris.p1	scaffold-HEGQ-2075754-Gymnocarpium_dryopteris.p1	1.0	1.0
scaffold-HEGQ-2005927-Gymnocarpium_dryopteris.p1__scaffold-HEGQ-2009938-Gymnocarpium_dryopteris.p1	0.62195	0.54902	1722.0	1071.0	1.03268	GF_002318	0.6034	2.1684	2.0	0.2783	1071.0	scaffold-HEGQ-2005927-Gymnocarpium_dryopteris.p1	scaffold-HEGQ-2009938-Gymnocarpium_dryopteris.p1	1.0	1.0
scaffold-HEGQ-2007134-Gymnocarpium_dryopteris.p1__scaffold-HEGQ-2007135-Gymnocarpium_dryopteris.p1	0.61979	0.93838	576.0	357.0	0.07596	GF_002403	0.0486	0.1028	2.0	0.4729	357.0	scaffold-HEGQ-2007134-Gymnocarpium_dryopteris.p1	scaffold-HEGQ-2007135-Gymnocarpium_dryopteris.p1	1.0	1.0
scaffold-HEGQ-2067770-Gymnocarpium_dryopteris.p1__scaffold-HEGQ-2076452-Gymnocarpium_dryopteris.p2	0.89091	0.53741	330.0	294.0	1.22974	GF_003057	0.711	2.0275	2.0	0.3507	294.0	scaffold-HEGQ-2067770-Gymnocarpium_dryopteris.p1	scaffold-HEGQ-2076452-Gymnocarpium_dryopteris.p2	1.0	1.0
scaffold-HEGQ-2009281-Gymnocarpium_dryopteris.p1__scaffold-HEGQ-2016852-Gymnocarpium_dryopteris.p1	1.0	0.76559	465.0	465.0	0.27862	GF_002556	0.1282	1.1711	2.0	0.1095	465.0	scaffold-HEGQ-2009281-Gymnocarpium_dryopteris.p1	scaffold-HEGQ-2016852-Gymnocarpium_dryopteris.p1	1.0	1.0
scaffold-HEGQ-2014678-Gymnocarpium_dryopteris.p1__scaffold-HEGQ-2015941-Gymnocarpium_dryopteris.p1	0.56818	0.53667	528.0	219.0	1.02169	GF_001680	0.3239	3.1902	3.0	0.1015	300.0	scaffold-HEGQ-2014678-Gymnocarpium_dryopteris.p1	scaffold-HEGQ-2015941-Gymnocarpium_dryopteris.p1	1.0	1.0
scaffold-HEGQ-2014678-Gymnocarpium_dryopteris.p1__scaffold-HEGQ-2075091-Gymnocarpium_dryopteris.p1	0.56818	0.53667	528.0	219.0	1.33802	GF_001680	0.464	2.3636	4.0	0.1963	300.0	scaffold-HEGQ-2075091-Gymnocarpium_dryopteris.p1	scaffold-HEGQ-2014678-Gymnocarpium_dryopteris.p1	0.5	0.5
scaffold-HEGQ-2015941-Gymnocarpium_dryopteris.p1__scaffold-HEGQ-2075091-Gymnocarpium_dryopteris.p1	0.41477	0.56164	528.0	219.0	1.68719	GF_001680	0.5054	1.9558	4.0	0.2584	219.0	scaffold-HEGQ-2075091-Gymnocarpium_dryopteris.p1	scaffold-HEGQ-2015941-Gymnocarpium_dryopteris.p1	0.5	0.5
scaffold-HEGQ-2009642-Gymnocarpium_dryopteris.p1__scaffold-HEGQ-2068506-Gymnocarpium_dryopteris.p1	0.27405	0.5922	1029.0	231.0	0.60014	GF_000971	0.3323	3.5007	4.0	0.0949	282.0	scaffold-HEGQ-2009642-Gymnocarpium_dryopteris.p1	scaffold-HEGQ-2068506-Gymnocarpium_dryopteris.p1	1.0	1.0
scaffold-HEGQ-2016602-Gymnocarpium_dryopteris.p1__scaffold-HEGQ-2079443-Gymnocarpium_dryopteris.p1	0.64431	0.56863	1029.0	231.0	0.85529	GF_000971	0.571	1.1568	5.0	0.4936	663.0	scaffold-HEGQ-2079443-Gymnocarpium_dryopteris.p1	scaffold-HEGQ-2016602-Gymnocarpium_dryopteris.p1	1.0	1.0
scaffold-HEGQ-2009642-Gymnocarpium_dryopteris.p1__scaffold-HEGQ-2079443-Gymnocarpium_dryopteris.p1	0.5656	0.47595	1029.0	231.0	1.04517	GF_000971	0.7001	19.0586	6.0	0.0367	582.0	scaffold-HEGQ-2009642-Gymnocarpium_dryopteris.p1	scaffold-HEGQ-2079443-Gymnocarpium_dryopteris.p1	0.25	0.0
scaffold-HEGQ-2009642-Gymnocarpium_dryopteris.p1__scaffold-HEGQ-2016602-Gymnocarpium_dryopteris.p1	0.52478	0.44259	1029.0	231.0	1.17242	GF_000971	0.7409	28.8541	6.0	0.0257	540.0	scaffold-HEGQ-2009642-Gymnocarpium_dryopteris.p1	scaffold-HEGQ-2016602-Gymnocarpium_dryopteris.p1	0.25	0.0
scaffold-HEGQ-2068506-Gymnocarpium_dryopteris.p1__scaffold-HEGQ-2079443-Gymnocarpium_dryopteris.p1	0.23615	0.47325	1029.0	231.0	0.93835	GF_000971	0.6521	18.9742	6.0	0.0344	243.0	scaffold-HEGQ-2068506-Gymnocarpium_dryopteris.p1	scaffold-HEGQ-2079443-Gymnocarpium_dryopteris.p1	0.25	0.0
scaffold-HEGQ-2016602-Gymnocarpium_dryopteris.p1__scaffold-HEGQ-2068506-Gymnocarpium_dryopteris.p1	0.23324	0.4125	1029.0	231.0	1.0656	GF_000971	0.74	58.8189	6.0	0.0126	240.0	scaffold-HEGQ-2068506-Gymnocarpium_dryopteris.p1	scaffold-HEGQ-2016602-Gymnocarpium_dryopteris.p1	0.25	0.0
