	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Callistopteris_apifolia_C267754.p1__Callistopteris_apifolia_scaffold11416.p1	0.54573	0.44879	984.0	537.0	1.39662	GF_001925	0.7877	4.2343	2.0	0.186	537.0	Callistopteris_apifolia_C267754.p1	Callistopteris_apifolia_scaffold11416.p1	1.0	1.0
Callistopteris_apifolia_scaffold1488.p1__Callistopteris_apifolia_scaffold1490.p1	0.64947	1.0	2268.0	723.0	0.0	GF_000502	0.0	0.0	6.0	0.001	1473.0	Callistopteris_apifolia_scaffold1490.p1	Callistopteris_apifolia_scaffold1488.p1	1.0	0.0
Callistopteris_apifolia_scaffold1489.p1__Callistopteris_apifolia_scaffold1490.p1	0.32672	1.0	2268.0	723.0	0.0011	GF_000502	0.0	0.0	7.0	0.001	741.0	Callistopteris_apifolia_scaffold1489.p1	Callistopteris_apifolia_scaffold1490.p1	0.5	0.0
Callistopteris_apifolia_scaffold1488.p1__Callistopteris_apifolia_scaffold1489.p1	0.32672	1.0	2268.0	723.0	0.0011	GF_000502	0.0	0.0	7.0	0.001	741.0	Callistopteris_apifolia_scaffold1489.p1	Callistopteris_apifolia_scaffold1488.p1	0.5	0.0
Callistopteris_apifolia_scaffold1489.p1__Callistopteris_apifolia_scaffold664.p1	0.32672	0.63293	2268.0	723.0	0.5434	GF_000502	0.2116	7.123	8.0	0.0297	741.0	Callistopteris_apifolia_scaffold664.p1	Callistopteris_apifolia_scaffold1489.p1	0.33333	0.0
Callistopteris_apifolia_scaffold1490.p1__Callistopteris_apifolia_scaffold664.p1	0.64683	0.6244	2268.0	723.0	0.5434	GF_000502	0.2116	7.1229	8.0	0.0297	1467.0	Callistopteris_apifolia_scaffold664.p1	Callistopteris_apifolia_scaffold1490.p1	0.33333	0.0
Callistopteris_apifolia_scaffold1488.p1__Callistopteris_apifolia_scaffold664.p1	0.64683	0.6244	2268.0	723.0	0.5434	GF_000502	0.2116	7.1228	8.0	0.0297	1467.0	Callistopteris_apifolia_scaffold664.p1	Callistopteris_apifolia_scaffold1488.p1	0.33333	0.0
Callistopteris_apifolia_C300519.p1__Callistopteris_apifolia_scaffold664.p1	0.88624	0.69104	2268.0	723.0	0.40375	GF_000502	0.1275	1.6497	9.0	0.0773	2010.0	Callistopteris_apifolia_C300519.p1	Callistopteris_apifolia_scaffold664.p1	0.25	1.0
Callistopteris_apifolia_C300519.p1__Callistopteris_apifolia_scaffold1489.p1	0.32672	0.62888	2268.0	723.0	0.55915	GF_000502	0.2127	8.0904	9.0	0.0263	741.0	Callistopteris_apifolia_C300519.p1	Callistopteris_apifolia_scaffold1489.p1	0.25	0.0
Callistopteris_apifolia_C300519.p1__Callistopteris_apifolia_scaffold1490.p1	0.6455	0.61134	2268.0	723.0	0.55915	GF_000502	0.2127	8.0906	9.0	0.0263	1464.0	Callistopteris_apifolia_C300519.p1	Callistopteris_apifolia_scaffold1490.p1	0.25	0.0
Callistopteris_apifolia_C300519.p1__Callistopteris_apifolia_scaffold1488.p1	0.6455	0.61134	2268.0	723.0	0.55915	GF_000502	0.2127	8.0904	9.0	0.0263	1464.0	Callistopteris_apifolia_C300519.p1	Callistopteris_apifolia_scaffold1488.p1	0.25	0.0
Callistopteris_apifolia_C296917.p1__Callistopteris_apifolia_C300519.p1	0.78439	0.46318	2268.0	723.0	1.63177	GF_000502	0.6018	23.2631	10.0	0.0259	1779.0	Callistopteris_apifolia_C296917.p1	Callistopteris_apifolia_C300519.p1	0.2	0.0
Callistopteris_apifolia_C296917.p1__Callistopteris_apifolia_scaffold664.p1	0.78439	0.45587	2268.0	723.0	1.71574	GF_000502	0.6014	58.8524	10.0	0.0102	1779.0	Callistopteris_apifolia_C296917.p1	Callistopteris_apifolia_scaffold664.p1	0.2	0.0
Callistopteris_apifolia_C296917.p1__Callistopteris_apifolia_scaffold1489.p1	0.31878	0.4758	2268.0	723.0	1.87114	GF_000502	0.5802	18.1514	10.0	0.032	723.0	Callistopteris_apifolia_C296917.p1	Callistopteris_apifolia_scaffold1489.p1	0.2	0.0
Callistopteris_apifolia_C296917.p1__Callistopteris_apifolia_scaffold1490.p1	0.63492	0.43056	2268.0	723.0	1.87114	GF_000502	0.5802	18.1477	10.0	0.032	1440.0	Callistopteris_apifolia_C296917.p1	Callistopteris_apifolia_scaffold1490.p1	0.2	0.0
Callistopteris_apifolia_C296917.p1__Callistopteris_apifolia_scaffold1488.p1	0.63492	0.43056	2268.0	723.0	1.87114	GF_000502	0.5802	18.1475	10.0	0.032	1440.0	Callistopteris_apifolia_C296917.p1	Callistopteris_apifolia_scaffold1488.p1	0.2	0.0
Callistopteris_apifolia_scaffold8347.p1__Callistopteris_apifolia_scaffold8348.p1	0.87571	1.0	531.0	465.0	0.00054	GF_003247	0.0	0.0	2.0	0.4855	465.0	Callistopteris_apifolia_scaffold8347.p1	Callistopteris_apifolia_scaffold8348.p1	1.0	0.0
Callistopteris_apifolia_scaffold6296.p1__Callistopteris_apifolia_scaffold6297.p1	0.80916	1.0	393.0	318.0	0.00054	GF_003125	0.0	0.0	2.0	0.3773	318.0	Callistopteris_apifolia_scaffold6296.p1	Callistopteris_apifolia_scaffold6297.p1	1.0	0.0
Callistopteris_apifolia_C287323.p1__Callistopteris_apifolia_C290685.p1	0.80178	0.57688	1014.0	813.0	0.74852	GF_002318	0.4262	4.7901	2.0	0.089	813.0	Callistopteris_apifolia_C287323.p1	Callistopteris_apifolia_C290685.p1	1.0	1.0
Callistopteris_apifolia_C294915.p2__Callistopteris_apifolia_scaffold11505.p1	0.86885	0.48679	915.0	795.0	1.16942	GF_002403	0.6318	24.4099	2.0	0.0259	795.0	Callistopteris_apifolia_C294915.p2	Callistopteris_apifolia_scaffold11505.p1	1.0	0.0
Callistopteris_apifolia_scaffold5074.p1__Callistopteris_apifolia_scaffold5075.p1	1.0	1.0	1104.0	1104.0	0.0	GF_003057	0.0	0.0	2.0	0.001	1104.0	Callistopteris_apifolia_scaffold5074.p1	Callistopteris_apifolia_scaffold5075.p1	1.0	0.0
Callistopteris_apifolia_C295905.p1__Callistopteris_apifolia_scaffold10812.p1	0.50937	0.52397	1761.0	897.0	1.02596	GF_002556	0.5509	6.337	2.0	0.0869	897.0	Callistopteris_apifolia_C295905.p1	Callistopteris_apifolia_scaffold10812.p1	1.0	0.0
Callistopteris_apifolia_C243774.p1__Callistopteris_apifolia_scaffold11536.p1	0.24	0.47569	1200.0	54.0	1.21012	GF_000549	0.289	74.0201	5.0	0.0039	288.0	Callistopteris_apifolia_C243774.p1	Callistopteris_apifolia_scaffold11536.p1	1.0	0.0
Callistopteris_apifolia_C243774.p1__Callistopteris_apifolia_scaffold10649.p1	0.2775	0.4985	1200.0	54.0	0.86209	GF_000549	0.2125	69.5187	6.0	0.0031	333.0	Callistopteris_apifolia_scaffold10649.p1	Callistopteris_apifolia_C243774.p1	0.5	0.0
Callistopteris_apifolia_scaffold10649.p1__Callistopteris_apifolia_scaffold11536.p1	0.5725	0.56186	1200.0	54.0	0.85175	GF_000549	0.2454	1.0768	6.0	0.2279	687.0	Callistopteris_apifolia_scaffold10649.p1	Callistopteris_apifolia_scaffold11536.p1	0.5	1.0
Callistopteris_apifolia_C287315.p1__Callistopteris_apifolia_scaffold10649.p1	0.86	0.66279	1200.0	54.0	0.43734	GF_000549	0.0767	4.2236	7.0	0.0181	1032.0	Callistopteris_apifolia_C287315.p1	Callistopteris_apifolia_scaffold10649.p1	0.33333	1.0
Callistopteris_apifolia_C243774.p1__Callistopteris_apifolia_C287315.p1	0.26	0.46795	1200.0	54.0	1.00405	GF_000549	0.2596	64.4028	7.0	0.004	312.0	Callistopteris_apifolia_C287315.p1	Callistopteris_apifolia_C243774.p1	0.33333	0.0
Callistopteris_apifolia_C287315.p1__Callistopteris_apifolia_scaffold11536.p1	0.5675	0.5536	1200.0	54.0	0.99371	GF_000549	0.2837	7.8506	7.0	0.0361	681.0	Callistopteris_apifolia_C287315.p1	Callistopteris_apifolia_scaffold11536.p1	0.33333	0.0
Callistopteris_apifolia_C247096.p1__Callistopteris_apifolia_C287315.p1	0.3175	0.51444	1200.0	54.0	1.28966	GF_000549	0.6624	2.665	8.0	0.2486	381.0	Callistopteris_apifolia_C247096.p1	Callistopteris_apifolia_C287315.p1	0.25	1.0
Callistopteris_apifolia_C247096.p1__Callistopteris_apifolia_scaffold10649.p1	0.3175	0.51969	1200.0	54.0	1.29158	GF_000549	0.4932	13.0303	8.0	0.0378	381.0	Callistopteris_apifolia_C247096.p1	Callistopteris_apifolia_scaffold10649.p1	0.25	0.0
Callistopteris_apifolia_C243774.p1__Callistopteris_apifolia_C247096.p1	0.045	0.59259	1200.0	54.0	1.85829	GF_000549	0.4619	12.04	8.0	0.0384	54.0	Callistopteris_apifolia_C247096.p1	Callistopteris_apifolia_C243774.p1	0.25	0.0
