	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Lomagramma_matthewii_C339513.p1__Lomagramma_matthewii_C339935.p1	0.82975	0.57437	1815.0	1506.0	0.97932	GF_001925	0.5255	1.7896	2.0	0.2936	1506.0	Lomagramma_matthewii_C339935.p1	Lomagramma_matthewii_C339513.p1	1.0	1.0
Lomagramma_matthewii_C325021.p1__Lomagramma_matthewii_C331613.p1	0.36124	0.69095	1254.0	339.0	0.39602	GF_000502	0.1716	34.0761	6.0	0.005	453.0	Lomagramma_matthewii_C331613.p1	Lomagramma_matthewii_C325021.p1	1.0	0.0
Lomagramma_matthewii_C324929.p1__Lomagramma_matthewii_C331043.p1	0.33493	0.49762	1254.0	339.0	1.44369	GF_000502	0.5478	3.2529	7.0	0.1684	420.0	Lomagramma_matthewii_C324929.p1	Lomagramma_matthewii_C331043.p1	1.0	1.0
Lomagramma_matthewii_scaffold1861.p1__Lomagramma_matthewii_scaffold9960.p1	0.39234	0.48171	1254.0	339.0	1.19454	GF_000502	0.4721	12.0388	8.0	0.0392	492.0	Lomagramma_matthewii_scaffold1861.p1	Lomagramma_matthewii_scaffold9960.p1	1.0	0.0
Lomagramma_matthewii_C324929.p1__Lomagramma_matthewii_scaffold1861.p1	0.39952	0.47305	1254.0	339.0	1.32597	GF_000502	0.4388	6.6459	9.0	0.066	501.0	Lomagramma_matthewii_C324929.p1	Lomagramma_matthewii_scaffold1861.p1	0.25	0.0
Lomagramma_matthewii_C324929.p1__Lomagramma_matthewii_scaffold9960.p1	0.44976	0.38652	1254.0	339.0	1.68011	GF_000502	0.6444	59.6813	9.0	0.0108	564.0	Lomagramma_matthewii_C324929.p1	Lomagramma_matthewii_scaffold9960.p1	0.25	0.0
Lomagramma_matthewii_C331043.p1__Lomagramma_matthewii_scaffold1861.p1	0.35885	0.45778	1254.0	339.0	1.60198	GF_000502	0.6156	3.0709	9.0	0.2005	450.0	Lomagramma_matthewii_C331043.p1	Lomagramma_matthewii_scaffold1861.p1	0.25	1.0
Lomagramma_matthewii_C331043.p1__Lomagramma_matthewii_scaffold9960.p1	0.3445	0.40741	1254.0	339.0	1.95612	GF_000502	0.8756	65.2455	9.0	0.0134	432.0	Lomagramma_matthewii_C331043.p1	Lomagramma_matthewii_scaffold9960.p1	0.25	0.0
Lomagramma_matthewii_C324929.p1__Lomagramma_matthewii_C331613.p1	0.33732	0.47991	1254.0	339.0	1.58729	GF_000502	0.5855	59.1225	10.0	0.0099	423.0	Lomagramma_matthewii_C331613.p1	Lomagramma_matthewii_C324929.p1	0.125	0.0
Lomagramma_matthewii_C331043.p1__Lomagramma_matthewii_C331613.p1	0.31579	0.47475	1254.0	339.0	1.8633	GF_000502	0.6485	51.7437	10.0	0.0125	396.0	Lomagramma_matthewii_C331613.p1	Lomagramma_matthewii_C331043.p1	0.125	0.0
Lomagramma_matthewii_C331613.p1__Lomagramma_matthewii_scaffold1861.p1	0.33732	0.42553	1254.0	339.0	1.74446	GF_000502	0.6556	64.5944	10.0	0.0101	423.0	Lomagramma_matthewii_C331613.p1	Lomagramma_matthewii_scaffold1861.p1	0.125	0.0
Lomagramma_matthewii_C331613.p1__Lomagramma_matthewii_scaffold9960.p1	0.38038	0.42767	1254.0	339.0	2.0986	GF_000502	0.622	53.7419	10.0	0.0116	477.0	Lomagramma_matthewii_C331613.p1	Lomagramma_matthewii_scaffold9960.p1	0.125	0.0
Lomagramma_matthewii_C324929.p1__Lomagramma_matthewii_C325021.p1	0.31818	0.46867	1254.0	339.0	1.72945	GF_000502	0.5937	9.6189	10.0	0.0617	399.0	Lomagramma_matthewii_C325021.p1	Lomagramma_matthewii_C324929.p1	0.125	0.0
Lomagramma_matthewii_C325021.p1__Lomagramma_matthewii_C331043.p1	0.29904	0.45067	1254.0	339.0	2.00546	GF_000502	0.7218	58.5442	10.0	0.0123	375.0	Lomagramma_matthewii_C325021.p1	Lomagramma_matthewii_C331043.p1	0.125	0.0
Lomagramma_matthewii_C325021.p1__Lomagramma_matthewii_scaffold1861.p1	0.32057	0.4403	1254.0	339.0	1.88662	GF_000502	0.6432	65.727	10.0	0.0098	402.0	Lomagramma_matthewii_C325021.p1	Lomagramma_matthewii_scaffold1861.p1	0.125	0.0
Lomagramma_matthewii_C325021.p1__Lomagramma_matthewii_scaffold9960.p1	0.36364	0.44956	1254.0	339.0	2.24076	GF_000502	0.6434	3.2121	10.0	0.2003	456.0	Lomagramma_matthewii_C325021.p1	Lomagramma_matthewii_scaffold9960.p1	0.125	1.0
Lomagramma_matthewii_scaffold9372.p1__Lomagramma_matthewii_scaffold9373.p2	0.49007	1.0	453.0	222.0	0.00054	GF_003247	0.0	0.0	2.0	0.4847	222.0	Lomagramma_matthewii_scaffold9372.p1	Lomagramma_matthewii_scaffold9373.p2	1.0	0.0
Lomagramma_matthewii_scaffold6372.p1__Lomagramma_matthewii_scaffold6373.p1	1.0	1.0	141.0	141.0	0.0	GF_003125	0.0	0.0	2.0	0.001	141.0	Lomagramma_matthewii_scaffold6372.p1	Lomagramma_matthewii_scaffold6373.p1	1.0	0.0
Lomagramma_matthewii_C330745.p1__Lomagramma_matthewii_scaffold10820.p1	0.10485	0.4022	6924.0	57.0	1.84522	GF_000011	0.8815	8.7204	37.0	0.1011	726.0	Lomagramma_matthewii_scaffold10820.p1	Lomagramma_matthewii_C330745.p1	1.0	0.0
Lomagramma_matthewii_scaffold10820.p1__Lomagramma_matthewii_scaffold2875.p1	0.12305	0.42488	6924.0	57.0	1.83555	GF_000011	1.1518	3.3652	38.0	0.3423	852.0	Lomagramma_matthewii_scaffold10820.p1	Lomagramma_matthewii_scaffold2875.p1	0.5	0.5
Lomagramma_matthewii_C330745.p1__Lomagramma_matthewii_scaffold2875.p1	0.11005	0.4252	6924.0	57.0	1.86705	GF_000011	1.5848	2.187	38.0	0.7247	762.0	Lomagramma_matthewii_C330745.p1	Lomagramma_matthewii_scaffold2875.p1	0.5	0.5
Lomagramma_matthewii_scaffold10776.p1__Lomagramma_matthewii_scaffold11310.p1	0.06932	0.41875	6924.0	57.0	1.98992	GF_000011	0.9746	9.696	39.0	0.1005	480.0	Lomagramma_matthewii_scaffold10776.p1	Lomagramma_matthewii_scaffold11310.p1	1.0	0.0
Lomagramma_matthewii_C341611.p1__Lomagramma_matthewii_scaffold10776.p1	0.10962	0.43742	6924.0	57.0	1.85798	GF_000011	0.7623	9.9712	40.0	0.0765	759.0	Lomagramma_matthewii_C341611.p1	Lomagramma_matthewii_scaffold10776.p1	0.5	0.0
Lomagramma_matthewii_C341611.p1__Lomagramma_matthewii_scaffold11310.p1	0.06889	0.38574	6924.0	57.0	2.53738	GF_000011	1.2129	0.7438	40.0	1.6306	477.0	Lomagramma_matthewii_C341611.p1	Lomagramma_matthewii_scaffold11310.p1	0.5	1.0
Lomagramma_matthewii_C341095.p1__Lomagramma_matthewii_scaffold11310.p2	0.05286	0.44262	6924.0	57.0	1.39798	GF_000011	0.4997	68.1226	41.0	0.0073	366.0	Lomagramma_matthewii_C341095.p1	Lomagramma_matthewii_scaffold11310.p2	1.0	0.0
Lomagramma_matthewii_C341095.p1__Lomagramma_matthewii_scaffold8698.p1	0.05936	0.43066	6924.0	57.0	2.02637	GF_000011	1.0955	72.8925	42.0	0.015	411.0	Lomagramma_matthewii_scaffold8698.p1	Lomagramma_matthewii_C341095.p1	0.5	0.0
Lomagramma_matthewii_scaffold11310.p2__Lomagramma_matthewii_scaffold8698.p1	0.02643	0.39891	6924.0	57.0	1.92415	GF_000011	0.7797	5.0539	42.0	0.1543	183.0	Lomagramma_matthewii_scaffold8698.p1	Lomagramma_matthewii_scaffold11310.p2	0.5	0.0
Lomagramma_matthewii_scaffold12809.p1__Lomagramma_matthewii_scaffold8698.p1	0.05979	0.42754	6924.0	57.0	2.0729	GF_000011	1.44	26.2863	43.0	0.0548	414.0	Lomagramma_matthewii_scaffold12809.p1	Lomagramma_matthewii_scaffold8698.p1	0.33333	0.0
Lomagramma_matthewii_C341095.p1__Lomagramma_matthewii_scaffold12809.p1	0.11049	0.41961	6924.0	57.0	1.95529	GF_000011	0.8463	53.9194	43.0	0.0157	765.0	Lomagramma_matthewii_scaffold12809.p1	Lomagramma_matthewii_C341095.p1	0.33333	0.0
Lomagramma_matthewii_scaffold11310.p2__Lomagramma_matthewii_scaffold12809.p1	0.05069	0.4245	6924.0	57.0	1.85307	GF_000011	0.9141	72.2925	43.0	0.0126	351.0	Lomagramma_matthewii_scaffold12809.p1	Lomagramma_matthewii_scaffold11310.p2	0.33333	0.0
Lomagramma_matthewii_C341611.p1__Lomagramma_matthewii_scaffold12809.p1	0.13475	0.37513	6924.0	57.0	1.99538	GF_000011	0.7214	90.3642	44.0	0.008	933.0	Lomagramma_matthewii_C341611.p1	Lomagramma_matthewii_scaffold12809.p1	0.08333	0.0
Lomagramma_matthewii_C341611.p1__Lomagramma_matthewii_scaffold8698.p1	0.05893	0.41176	6924.0	57.0	2.24956	GF_000011	0.866	85.0493	44.0	0.0102	408.0	Lomagramma_matthewii_C341611.p1	Lomagramma_matthewii_scaffold8698.p1	0.08333	0.0
Lomagramma_matthewii_C341095.p1__Lomagramma_matthewii_C341611.p1	0.13605	0.35987	6924.0	57.0	2.13195	GF_000011	0.7914	1.3988	44.0	0.5657	942.0	Lomagramma_matthewii_C341611.p1	Lomagramma_matthewii_C341095.p1	0.08333	0.25
Lomagramma_matthewii_C341611.p1__Lomagramma_matthewii_scaffold11310.p2	0.05156	0.44538	6924.0	57.0	2.02973	GF_000011	0.7411	7.8406	44.0	0.0945	357.0	Lomagramma_matthewii_C341611.p1	Lomagramma_matthewii_scaffold11310.p2	0.08333	0.0
Lomagramma_matthewii_scaffold10776.p1__Lomagramma_matthewii_scaffold12809.p1	0.09055	0.39553	6924.0	57.0	2.13796	GF_000011	0.7572	73.9366	44.0	0.0102	627.0	Lomagramma_matthewii_scaffold10776.p1	Lomagramma_matthewii_scaffold12809.p1	0.08333	0.0
Lomagramma_matthewii_scaffold10776.p1__Lomagramma_matthewii_scaffold8698.p1	0.05936	0.41119	6924.0	57.0	2.39214	GF_000011	1.3889	2.3028	44.0	0.6031	411.0	Lomagramma_matthewii_scaffold10776.p1	Lomagramma_matthewii_scaffold8698.p1	0.08333	0.25
Lomagramma_matthewii_C341095.p1__Lomagramma_matthewii_scaffold10776.p1	0.18024	0.3742	6924.0	57.0	2.27453	GF_000011	0.877	4.8127	44.0	0.1822	1248.0	Lomagramma_matthewii_scaffold10776.p1	Lomagramma_matthewii_C341095.p1	0.08333	0.25
Lomagramma_matthewii_scaffold10776.p1__Lomagramma_matthewii_scaffold11310.p2	0.04376	0.39934	6924.0	57.0	2.17231	GF_000011	0.8771	14.739	44.0	0.0595	303.0	Lomagramma_matthewii_scaffold10776.p1	Lomagramma_matthewii_scaffold11310.p2	0.08333	0.0
Lomagramma_matthewii_scaffold11310.p1__Lomagramma_matthewii_scaffold12809.p1	0.05633	0.37692	6924.0	57.0	2.81736	GF_000011	1.5553	9.6781	44.0	0.1607	390.0	Lomagramma_matthewii_scaffold11310.p1	Lomagramma_matthewii_scaffold12809.p1	0.08333	0.0
Lomagramma_matthewii_scaffold11310.p1__Lomagramma_matthewii_scaffold8698.p1	0.04939	0.34503	6924.0	57.0	3.07154	GF_000011	0.9309	61.6661	44.0	0.0151	342.0	Lomagramma_matthewii_scaffold11310.p1	Lomagramma_matthewii_scaffold8698.p1	0.08333	0.0
Lomagramma_matthewii_C341095.p1__Lomagramma_matthewii_scaffold11310.p1	0.06629	0.36601	6924.0	57.0	2.95393	GF_000011	1.3333	15.0424	44.0	0.0886	459.0	Lomagramma_matthewii_scaffold11310.p1	Lomagramma_matthewii_C341095.p1	0.08333	0.0
Lomagramma_matthewii_scaffold11310.p1__Lomagramma_matthewii_scaffold11310.p2	0.0325	0.35556	6924.0	57.0	2.85171	GF_000011	11.071	0.1118	44.0	99.0	225.0	Lomagramma_matthewii_scaffold11310.p1	Lomagramma_matthewii_scaffold11310.p2	0.08333	0.25
Lomagramma_matthewii_scaffold6274.p1__Lomagramma_matthewii_scaffold6275.p1	0.15641	1.0	6924.0	57.0	0.0	GF_000011	0.0	0.0	45.0	16.1381	1083.0	Lomagramma_matthewii_scaffold6275.p1	Lomagramma_matthewii_scaffold6274.p1	1.0	0.0
Lomagramma_matthewii_C325371.p1__Lomagramma_matthewii_scaffold6275.p1	0.07322	0.38462	6924.0	57.0	2.05327	GF_000011	0.8804	98.8522	46.0	0.0089	507.0	Lomagramma_matthewii_scaffold6275.p1	Lomagramma_matthewii_C325371.p1	0.5	0.0
