	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Diplopterygium_laevissimum_C281941.p1__Diplopterygium_laevissimum_C293213.p1	0.87786	0.64928	393.0	345.0	0.54396	GF_001925	0.2675	2.986	2.0	0.0896	345.0	Diplopterygium_laevissimum_C281941.p1	Diplopterygium_laevissimum_C293213.p1	1.0	1.0
Diplopterygium_laevissimum_scaffold6676.p2__Diplopterygium_laevissimum_scaffold7824.p1	0.49398	0.87805	498.0	132.0	0.01028	GF_000502	0.0107	1.6717	5.0	0.0064	246.0	Diplopterygium_laevissimum_scaffold7824.p1	Diplopterygium_laevissimum_scaffold6676.p2	1.0	1.0
Diplopterygium_laevissimum_C266337.p1__Diplopterygium_laevissimum_C288169.p1	0.68072	0.71681	498.0	132.0	0.29038	GF_000502	0.0802	80.248	6.0	0.001	339.0	Diplopterygium_laevissimum_C288169.p1	Diplopterygium_laevissimum_C266337.p1	1.0	0.0
Diplopterygium_laevissimum_C288169.p1__Diplopterygium_laevissimum_scaffold7824.p1	0.91566	0.64035	498.0	132.0	0.41701	GF_000502	0.2693	91.1491	7.0	0.003	456.0	Diplopterygium_laevissimum_scaffold7824.p1	Diplopterygium_laevissimum_C288169.p1	0.25	0.0
Diplopterygium_laevissimum_C266337.p1__Diplopterygium_laevissimum_scaffold7824.p1	0.68072	0.64602	498.0	132.0	0.44537	GF_000502	0.2616	6.4924	7.0	0.0403	339.0	Diplopterygium_laevissimum_scaffold7824.p1	Diplopterygium_laevissimum_C266337.p1	0.25	0.0
Diplopterygium_laevissimum_C288169.p1__Diplopterygium_laevissimum_scaffold6676.p2	0.49398	0.63821	498.0	132.0	0.40781	GF_000502	0.2555	83.4125	7.0	0.0031	246.0	Diplopterygium_laevissimum_scaffold6676.p2	Diplopterygium_laevissimum_C288169.p1	0.25	0.0
Diplopterygium_laevissimum_C266337.p1__Diplopterygium_laevissimum_scaffold6676.p2	0.26506	0.68182	498.0	132.0	0.43617	GF_000502	0.2471	3.6324	7.0	0.068	132.0	Diplopterygium_laevissimum_scaffold6676.p2	Diplopterygium_laevissimum_C266337.p1	0.25	1.0
Diplopterygium_laevissimum_C253686.p1__Diplopterygium_laevissimum_scaffold7824.p1	0.56627	0.63475	498.0	132.0	0.47726	GF_000502	0.331	17.289	8.0	0.0191	282.0	Diplopterygium_laevissimum_C253686.p1	Diplopterygium_laevissimum_scaffold7824.p1	0.25	0.0
Diplopterygium_laevissimum_C253686.p1__Diplopterygium_laevissimum_scaffold6676.p2	0.49398	0.65447	498.0	132.0	0.46806	GF_000502	0.3181	8.5713	8.0	0.0371	246.0	Diplopterygium_laevissimum_C253686.p1	Diplopterygium_laevissimum_scaffold6676.p2	0.25	0.0
Diplopterygium_laevissimum_C253686.p1__Diplopterygium_laevissimum_C288169.p1	0.60843	0.64356	498.0	132.0	0.49569	GF_000502	0.227	2.4543	8.0	0.0925	303.0	Diplopterygium_laevissimum_C253686.p1	Diplopterygium_laevissimum_C288169.p1	0.25	0.5
