	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Polypodium_virginianum_C477340.p1__Polypodium_virginianum_scaffold16019.p2	0.74834	0.87906	453.0	339.0	0.23496	GF_001925	0.1176	0.1811	2.0	0.6496	339.0	Polypodium_virginianum_C477340.p1	Polypodium_virginianum_scaffold16019.p2	1.0	1.0
Polypodium_virginianum_C487236.p1__Polypodium_virginianum_C518978.p2	0.07877	0.71296	1371.0	102.0	0.36277	GF_000502	0.1633	53.6333	6.0	0.003	108.0	Polypodium_virginianum_C487236.p1	Polypodium_virginianum_C518978.p2	1.0	0.0
Polypodium_virginianum_C487236.p1__Polypodium_virginianum_scaffold21234.p2	0.28446	0.49231	1371.0	102.0	1.28417	GF_000502	0.2819	6.3382	7.0	0.0445	390.0	Polypodium_virginianum_scaffold21234.p2	Polypodium_virginianum_C487236.p1	0.5	0.0
Polypodium_virginianum_C518978.p2__Polypodium_virginianum_scaffold21234.p2	0.09409	0.57364	1371.0	102.0	1.14782	GF_000502	0.2598	5.9171	7.0	0.0439	129.0	Polypodium_virginianum_scaffold21234.p2	Polypodium_virginianum_C518978.p2	0.5	0.0
Polypodium_virginianum_scaffold18728.p1__Polypodium_virginianum_scaffold21234.p2	0.14004	0.51042	1371.0	102.0	1.79449	GF_000502	0.6251	31.9955	8.0	0.0195	192.0	Polypodium_virginianum_scaffold18728.p1	Polypodium_virginianum_scaffold21234.p2	0.33333	0.0
Polypodium_virginianum_C487236.p1__Polypodium_virginianum_scaffold18728.p1	0.13348	0.46995	1371.0	102.0	1.62182	GF_000502	0.7918	8.1305	8.0	0.0974	183.0	Polypodium_virginianum_scaffold18728.p1	Polypodium_virginianum_C487236.p1	0.33333	0.0
Polypodium_virginianum_C518978.p2__Polypodium_virginianum_scaffold18728.p1	0.23195	0.50629	1371.0	102.0	1.48547	GF_000502	0.7333	59.2723	8.0	0.0124	318.0	Polypodium_virginianum_scaffold18728.p1	Polypodium_virginianum_C518978.p2	0.33333	0.0
Polypodium_virginianum_C525198.p1__Polypodium_virginianum_scaffold1851.p1	0.59519	0.67402	1371.0	102.0	0.56438	GF_000502	0.1798	4.214	9.0	0.0427	816.0	Polypodium_virginianum_scaffold1851.p1	Polypodium_virginianum_C525198.p1	1.0	1.0
Polypodium_virginianum_scaffold1851.p1__Polypodium_virginianum_scaffold18728.p1	0.56236	0.46563	1371.0	102.0	1.6438	GF_000502	0.6085	6.7552	10.0	0.0901	771.0	Polypodium_virginianum_scaffold18728.p1	Polypodium_virginianum_scaffold1851.p1	0.125	0.0
Polypodium_virginianum_C525198.p1__Polypodium_virginianum_scaffold18728.p1	0.54705	0.43867	1371.0	102.0	1.86892	GF_000502	0.5767	4.8833	10.0	0.1181	750.0	Polypodium_virginianum_scaffold18728.p1	Polypodium_virginianum_C525198.p1	0.125	1.0
