	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Athyrium_decurrenti-alatum_C326559.p1__Athyrium_decurrenti-alatum_C332166.p1	0.80142	0.48968	423.0	339.0	1.20474	GF_001925	0.6414	59.6856	2.0	0.0107	339.0	Athyrium_decurrenti-alatum_C326559.p1	Athyrium_decurrenti-alatum_C332166.p1	1.0	0.0
Athyrium_decurrenti-alatum_C312979.p1__Athyrium_decurrenti-alatum_C357991.p1	0.18883	0.7913	1827.0	162.0	0.35485	GF_000502	0.283	0.579	6.0	0.4888	345.0	Athyrium_decurrenti-alatum_C312979.p1	Athyrium_decurrenti-alatum_C357991.p1	1.0	1.0
Athyrium_decurrenti-alatum_scaffold746.p1__Athyrium_decurrenti-alatum_scaffold747.p1	0.11658	1.0	1827.0	162.0	0.00108	GF_000502	0.0	0.0	7.0	0.135	213.0	Athyrium_decurrenti-alatum_scaffold746.p1	Athyrium_decurrenti-alatum_scaffold747.p1	1.0	0.0
Athyrium_decurrenti-alatum_scaffold746.p1__Athyrium_decurrenti-alatum_scaffold748.p1	0.36782	0.96429	1827.0	162.0	0.04277	GF_000502	0.0	0.0	8.0	0.001	672.0	Athyrium_decurrenti-alatum_scaffold748.p1	Athyrium_decurrenti-alatum_scaffold746.p1	0.5	0.0
Athyrium_decurrenti-alatum_scaffold747.p1__Athyrium_decurrenti-alatum_scaffold748.p1	0.11658	1.0	1827.0	162.0	0.04279	GF_000502	0.0	0.0	8.0	0.001	213.0	Athyrium_decurrenti-alatum_scaffold748.p1	Athyrium_decurrenti-alatum_scaffold747.p1	0.5	0.0
Athyrium_decurrenti-alatum_C312979.p1__Athyrium_decurrenti-alatum_scaffold748.p1	0.09524	0.51149	1827.0	162.0	0.72611	GF_000502	0.8452	1.8993	9.0	0.445	174.0	Athyrium_decurrenti-alatum_C312979.p1	Athyrium_decurrenti-alatum_scaffold748.p1	0.16667	0.16667
Athyrium_decurrenti-alatum_C312979.p1__Athyrium_decurrenti-alatum_scaffold746.p1	0.09524	0.51149	1827.0	162.0	0.70044	GF_000502	0.8452	1.8993	9.0	0.445	174.0	Athyrium_decurrenti-alatum_C312979.p1	Athyrium_decurrenti-alatum_scaffold746.p1	0.16667	0.16667
Athyrium_decurrenti-alatum_C312979.p1__Athyrium_decurrenti-alatum_scaffold747.p1	0.09524	0.51149	1827.0	162.0	0.70046	GF_000502	0.8452	1.8993	9.0	0.445	174.0	Athyrium_decurrenti-alatum_C312979.p1	Athyrium_decurrenti-alatum_scaffold747.p1	0.16667	0.16667
Athyrium_decurrenti-alatum_C357991.p1__Athyrium_decurrenti-alatum_scaffold748.p1	0.35632	0.68817	1827.0	162.0	0.4564	GF_000502	0.5827	2.094	9.0	0.2783	651.0	Athyrium_decurrenti-alatum_C357991.p1	Athyrium_decurrenti-alatum_scaffold748.p1	0.16667	0.16667
Athyrium_decurrenti-alatum_C357991.p1__Athyrium_decurrenti-alatum_scaffold746.p1	0.78489	0.69317	1827.0	162.0	0.43073	GF_000502	0.5827	2.094	9.0	0.2783	1434.0	Athyrium_decurrenti-alatum_C357991.p1	Athyrium_decurrenti-alatum_scaffold746.p1	0.16667	0.16667
