	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold12970.p1__scaffold13407.p1	0.43373	0.4537	1245.0	540.0	1.44584	GF_001925	0.8488	63.8038	2.0	0.0133	540.0	scaffold12970.p1	scaffold13407.p1	1.0	0.0
C406715.p1__scaffold12524.p3	0.26804	0.80342	873.0	81.0	0.46823	GF_000502	0.0193	0.7449	4.0	0.0259	234.0	C406715.p1	scaffold12524.p3	1.0	1.0
C423035.p1__scaffold14350.p1	0.09278	0.60494	873.0	81.0	0.41796	GF_000502	0.2697	50.8287	5.0	0.0053	81.0	scaffold14350.p1	C423035.p1	1.0	0.0
C406715.p1__scaffold14350.p1	0.42955	0.68533	873.0	81.0	0.47731	GF_000502	0.0642	1.7235	6.0	0.0373	375.0	C406715.p1	scaffold14350.p1	0.25	0.25
C406715.p1__C423035.p1	0.12027	0.66667	873.0	81.0	0.72831	GF_000502	0.2827	3.1285	6.0	0.0904	105.0	C406715.p1	C423035.p1	0.25	0.25
scaffold12524.p3__scaffold14350.p1	0.24055	0.80952	873.0	81.0	0.21864	GF_000502	0.0379	0.5976	6.0	0.0634	210.0	scaffold12524.p3	scaffold14350.p1	0.25	0.25
C423035.p1__scaffold12524.p3	0.25773	0.6	873.0	81.0	0.46964	GF_000502	0.2601	4.0289	6.0	0.0646	225.0	scaffold12524.p3	C423035.p1	0.25	0.25
scaffold13303.p1__scaffold8838.p1	0.16206	0.40025	4887.0	75.0	1.72034	GF_000011	0.7888	7.5579	36.0	0.1044	792.0	scaffold8838.p1	scaffold13303.p1	1.0	0.0
scaffold12391.p1__scaffold8838.p1	0.1418	0.44012	4887.0	75.0	1.78461	GF_000011	1.7997	0.7346	37.0	2.4498	693.0	scaffold12391.p1	scaffold8838.p1	0.5	0.5
scaffold12391.p1__scaffold13303.p1	0.13751	0.42411	4887.0	75.0	2.11563	GF_000011	1.5993	1.0103	37.0	1.583	672.0	scaffold12391.p1	scaffold13303.p1	0.5	0.5
scaffold12391.p1__scaffold1923.p1	0.1547	0.40608	4887.0	75.0	2.09482	GF_000011	1.3498	0.7698	38.0	1.7533	756.0	scaffold1923.p1	scaffold12391.p1	0.33333	0.33333
scaffold1923.p1__scaffold8838.p1	0.13382	0.42813	4887.0	75.0	1.84007	GF_000011	1.2534	2.3689	38.0	0.5291	654.0	scaffold1923.p1	scaffold8838.p1	0.33333	0.33333
scaffold13303.p1__scaffold1923.p1	0.12769	0.39904	4887.0	75.0	2.17109	GF_000011	25.0132	0.2988	38.0	83.7114	624.0	scaffold1923.p1	scaffold13303.p1	0.33333	0.33333
scaffold11261.p1__scaffold7909.p1	0.15531	0.42819	4887.0	75.0	1.48691	GF_000011	1.3159	6.296	39.0	0.209	759.0	scaffold7909.p1	scaffold11261.p1	1.0	0.0
scaffold12674.p1__scaffold6577.p1	0.12277	0.4	4887.0	75.0	1.66326	GF_000011	0.87	3.9751	40.0	0.2189	600.0	scaffold6577.p1	scaffold12674.p1	1.0	1.0
scaffold1428.p1__scaffold3702.p1	0.08594	0.38095	4887.0	75.0	1.90799	GF_000011	1.0735	66.6947	41.0	0.0161	420.0	scaffold3702.p1	scaffold1428.p1	1.0	0.0
scaffold3702.p1__scaffold6577.p1	0.12093	0.37225	4887.0	75.0	2.35184	GF_000011	0.4711	13.8486	42.0	0.034	591.0	scaffold6577.p1	scaffold3702.p1	0.25	0.0
