	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Equisetum_arvense_scaffold11069.p1__Equisetum_arvense_scaffold11070.p1	0.99552	0.81051	3345.0	1803.0	0.15428	GF_001925	0.0832	1.2501	3.0	0.0666	3330.0	Equisetum_arvense_scaffold11069.p1	Equisetum_arvense_scaffold11070.p1	1.0	1.0
Equisetum_arvense_scaffold11069.p1__Equisetum_arvense_scaffold12168.p1	0.53901	0.43816	3345.0	1803.0	1.70997	GF_001925	0.9206	4.0774	4.0	0.2258	1803.0	Equisetum_arvense_scaffold12168.p1	Equisetum_arvense_scaffold11069.p1	0.5	1.0
Equisetum_arvense_scaffold11070.p1__Equisetum_arvense_scaffold12168.p1	0.53901	0.4315	3345.0	1803.0	1.67047	GF_001925	0.8921	59.3584	4.0	0.015	1803.0	Equisetum_arvense_scaffold12168.p1	Equisetum_arvense_scaffold11070.p1	0.5	0.0
Equisetum_arvense_scaffold5873.p1__Equisetum_arvense_scaffold5874.p2	1.0	1.0	675.0	675.0	0.0	GF_003247	0.0	0.0	2.0	0.001	675.0	Equisetum_arvense_scaffold5873.p1	Equisetum_arvense_scaffold5874.p2	1.0	0.0
Equisetum_arvense_scaffold1903.p1__Equisetum_arvense_scaffold1904.p1	0.98315	1.0	534.0	525.0	0.00054	GF_003125	0.0	0.0	2.0	0.4608	525.0	Equisetum_arvense_scaffold1903.p1	Equisetum_arvense_scaffold1904.p1	1.0	0.0
Equisetum_arvense_C213782.p1__Equisetum_arvense_scaffold10063.p1	0.62568	0.6492	1098.0	687.0	0.60528	GF_002318	0.3771	1.0374	2.0	0.3635	687.0	Equisetum_arvense_C213782.p1	Equisetum_arvense_scaffold10063.p1	1.0	1.0
Equisetum_arvense_C218175.p1__Equisetum_arvense_C221873.p1	0.84264	0.51406	591.0	498.0	1.17392	GF_002403	0.7253	1.5288	2.0	0.4744	498.0	Equisetum_arvense_C218175.p1	Equisetum_arvense_C221873.p1	1.0	1.0
Equisetum_arvense_scaffold11318.p1__Equisetum_arvense_scaffold7819.p1	0.83395	0.68584	2439.0	2034.0	0.60584	GF_003057	0.3369	0.9599	2.0	0.3509	2034.0	Equisetum_arvense_scaffold11318.p1	Equisetum_arvense_scaffold7819.p1	1.0	1.0
Equisetum_arvense_C225799.p1__Equisetum_arvense_scaffold7670.p1	0.95502	0.76691	867.0	828.0	0.38922	GF_002556	0.2092	0.6081	2.0	0.344	828.0	Equisetum_arvense_C225799.p1	Equisetum_arvense_scaffold7670.p1	1.0	1.0
Equisetum_arvense_scaffold10709.p1__Equisetum_arvense_scaffold12004.p1	0.50989	0.86269	1971.0	69.0	0.22309	GF_000549	0.0523	0.2875	7.0	0.1819	1005.0	Equisetum_arvense_scaffold10709.p1	Equisetum_arvense_scaffold12004.p1	1.0	1.0
