	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Platycerium_bifurcatum_scaffold10815.p2__Platycerium_bifurcatum_scaffold10819.p1	0.58537	0.52431	984.0	576.0	1.03038	GF_001925	0.5455	3.7328	2.0	0.1461	576.0	Platycerium_bifurcatum_scaffold10815.p2	Platycerium_bifurcatum_scaffold10819.p1	1.0	1.0
Platycerium_bifurcatum_scaffold3986.p1__Platycerium_bifurcatum_scaffold3987.p1	0.54494	1.0	534.0	147.0	0.00109	GF_000502	0.0	0.0	5.0	0.3603	291.0	Platycerium_bifurcatum_scaffold3986.p1	Platycerium_bifurcatum_scaffold3987.p1	1.0	0.0
Platycerium_bifurcatum_scaffold9069.p1__Platycerium_bifurcatum_scaffold9085.p2	0.27528	0.84354	534.0	147.0	0.0423	GF_000502	0.0287	4.2754	6.0	0.0067	147.0	Platycerium_bifurcatum_scaffold9085.p2	Platycerium_bifurcatum_scaffold9069.p1	1.0	1.0
Platycerium_bifurcatum_scaffold9085.p2__Platycerium_bifurcatum_scaffold997.p1	0.64607	0.73043	534.0	147.0	0.20067	GF_000502	0.1277	10.5126	7.0	0.0121	345.0	Platycerium_bifurcatum_scaffold997.p1	Platycerium_bifurcatum_scaffold9085.p2	0.5	0.0
Platycerium_bifurcatum_scaffold9069.p1__Platycerium_bifurcatum_scaffold997.p1	0.29775	0.71069	534.0	147.0	0.24187	GF_000502	0.1538	4.2717	7.0	0.036	159.0	Platycerium_bifurcatum_scaffold997.p1	Platycerium_bifurcatum_scaffold9069.p1	0.5	1.0
Platycerium_bifurcatum_scaffold3986.p1__Platycerium_bifurcatum_scaffold997.p1	0.66292	0.63277	534.0	147.0	0.57419	GF_000502	0.2843	8.6397	8.0	0.0329	354.0	Platycerium_bifurcatum_scaffold3986.p1	Platycerium_bifurcatum_scaffold997.p1	0.16667	0.0
Platycerium_bifurcatum_scaffold3986.p1__Platycerium_bifurcatum_scaffold9085.p2	0.64607	0.67246	534.0	147.0	0.49068	GF_000502	0.2777	1.4029	8.0	0.198	345.0	Platycerium_bifurcatum_scaffold3986.p1	Platycerium_bifurcatum_scaffold9085.p2	0.16667	0.5
Platycerium_bifurcatum_scaffold3986.p1__Platycerium_bifurcatum_scaffold9069.p1	0.27528	0.66667	534.0	147.0	0.53188	GF_000502	0.3012	8.1546	8.0	0.0369	147.0	Platycerium_bifurcatum_scaffold3986.p1	Platycerium_bifurcatum_scaffold9069.p1	0.16667	0.0
Platycerium_bifurcatum_scaffold3987.p1__Platycerium_bifurcatum_scaffold997.p1	0.54494	0.61512	534.0	147.0	0.57418	GF_000502	0.2843	8.6397	8.0	0.0329	291.0	Platycerium_bifurcatum_scaffold3987.p1	Platycerium_bifurcatum_scaffold997.p1	0.16667	0.0
Platycerium_bifurcatum_scaffold3987.p1__Platycerium_bifurcatum_scaffold9085.p2	0.53933	0.65625	534.0	147.0	0.49067	GF_000502	0.2777	1.4029	8.0	0.198	288.0	Platycerium_bifurcatum_scaffold3987.p1	Platycerium_bifurcatum_scaffold9085.p2	0.16667	0.5
Platycerium_bifurcatum_scaffold3987.p1__Platycerium_bifurcatum_scaffold9069.p1	0.27528	0.66667	534.0	147.0	0.53187	GF_000502	0.3012	8.1546	8.0	0.0369	147.0	Platycerium_bifurcatum_scaffold3987.p1	Platycerium_bifurcatum_scaffold9069.p1	0.16667	0.0
Platycerium_bifurcatum_C311523.p1__Platycerium_bifurcatum_scaffold3110.p1	0.25	0.77832	2472.0	81.0	0.06961	GF_000011	0.0042	4.1652	34.0	0.001	618.0	Platycerium_bifurcatum_scaffold3110.p1	Platycerium_bifurcatum_C311523.p1	1.0	1.0
Platycerium_bifurcatum_scaffold3110.p1__Platycerium_bifurcatum_scaffold8827.p1	0.23301	0.48438	2472.0	81.0	1.23049	GF_000011	0.8381	46.9668	35.0	0.0178	576.0	Platycerium_bifurcatum_scaffold8827.p1	Platycerium_bifurcatum_scaffold3110.p1	0.5	0.0
Platycerium_bifurcatum_C311523.p1__Platycerium_bifurcatum_scaffold8827.p1	0.23301	0.49306	2472.0	81.0	1.26076	GF_000011	0.8974	7.0356	35.0	0.1276	576.0	Platycerium_bifurcatum_scaffold8827.p1	Platycerium_bifurcatum_C311523.p1	0.5	0.0
Platycerium_bifurcatum_scaffold2759.p1__Platycerium_bifurcatum_scaffold8827.p1	0.20146	0.3996	2472.0	81.0	2.4981	GF_000011	5.7462	0.3823	36.0	15.0306	498.0	Platycerium_bifurcatum_scaffold2759.p1	Platycerium_bifurcatum_scaffold8827.p1	0.33333	0.33333
Platycerium_bifurcatum_scaffold2759.p1__Platycerium_bifurcatum_scaffold3110.p1	0.20631	0.41373	2472.0	81.0	1.99905	GF_000011	1.4831	3.7503	36.0	0.3955	510.0	Platycerium_bifurcatum_scaffold2759.p1	Platycerium_bifurcatum_scaffold3110.p1	0.33333	0.33333
Platycerium_bifurcatum_C311523.p1__Platycerium_bifurcatum_scaffold2759.p1	0.20631	0.41373	2472.0	81.0	2.02932	GF_000011	1.3939	3.9832	36.0	0.35	510.0	Platycerium_bifurcatum_scaffold2759.p1	Platycerium_bifurcatum_C311523.p1	0.33333	0.33333
Platycerium_bifurcatum_scaffold6234.p1__Platycerium_bifurcatum_scaffold7324.p1	0.2682	0.8175	2472.0	81.0	0.02211	GF_000011	0.0042	4.2376	37.0	0.001	663.0	Platycerium_bifurcatum_scaffold6234.p1	Platycerium_bifurcatum_scaffold7324.p1	1.0	1.0
Platycerium_bifurcatum_scaffold6234.p1__Platycerium_bifurcatum_scaffold6839.p1	0.2682	0.77376	2472.0	81.0	0.08858	GF_000011	0.0318	2.9199	38.0	0.0109	663.0	Platycerium_bifurcatum_scaffold6839.p1	Platycerium_bifurcatum_scaffold6234.p1	0.5	0.5
Platycerium_bifurcatum_scaffold6839.p1__Platycerium_bifurcatum_scaffold7324.p1	0.2682	0.78582	2472.0	81.0	0.10917	GF_000011	0.0311	1.3534	38.0	0.023	663.0	Platycerium_bifurcatum_scaffold6839.p1	Platycerium_bifurcatum_scaffold7324.p1	0.5	0.5
Platycerium_bifurcatum_scaffold6732.p1__Platycerium_bifurcatum_scaffold6839.p1	0.26092	0.76279	2472.0	81.0	0.08829	GF_000011	0.0153	15.2928	39.0	0.001	645.0	Platycerium_bifurcatum_scaffold6732.p1	Platycerium_bifurcatum_scaffold6839.p1	0.33333	0.0
Platycerium_bifurcatum_scaffold6234.p1__Platycerium_bifurcatum_scaffold6732.p1	0.26092	0.8031	2472.0	81.0	0.02377	GF_000011	0.0158	4.4983	39.0	0.0035	645.0	Platycerium_bifurcatum_scaffold6732.p1	Platycerium_bifurcatum_scaffold6234.p1	0.33333	1.0
Platycerium_bifurcatum_scaffold6732.p1__Platycerium_bifurcatum_scaffold7324.p1	0.26092	0.80775	2472.0	81.0	0.04436	GF_000011	0.0194	19.4386	39.0	0.001	645.0	Platycerium_bifurcatum_scaffold6732.p1	Platycerium_bifurcatum_scaffold7324.p1	0.33333	0.0
Platycerium_bifurcatum_C313995.p1__Platycerium_bifurcatum_scaffold9572.p1	0.24029	0.82997	2472.0	81.0	0.03879	GF_000011	0.0008	0.8028	40.0	0.001	594.0	Platycerium_bifurcatum_scaffold9572.p1	Platycerium_bifurcatum_C313995.p1	1.0	1.0
Platycerium_bifurcatum_C311753.p1__Platycerium_bifurcatum_scaffold9572.p1	0.23908	0.76481	2472.0	81.0	0.09512	GF_000011	0.0024	2.4029	41.0	0.001	591.0	Platycerium_bifurcatum_C311753.p1	Platycerium_bifurcatum_scaffold9572.p1	0.5	0.5
Platycerium_bifurcatum_C311753.p1__Platycerium_bifurcatum_C313995.p1	0.23908	0.7665	2472.0	81.0	0.10805	GF_000011	0.0035	3.5224	41.0	0.001	591.0	Platycerium_bifurcatum_C311753.p1	Platycerium_bifurcatum_C313995.p1	0.5	0.5
Platycerium_bifurcatum_C311753.p1__Platycerium_bifurcatum_scaffold7385.p1	0.22087	0.42674	2472.0	81.0	1.80656	GF_000011	1.2482	3.352	42.0	0.3724	546.0	Platycerium_bifurcatum_scaffold7385.p1	Platycerium_bifurcatum_C311753.p1	0.33333	0.5
Platycerium_bifurcatum_scaffold7385.p1__Platycerium_bifurcatum_scaffold9572.p1	0.22209	0.4408	2472.0	81.0	1.7746	GF_000011	1.1468	3.0035	42.0	0.3818	549.0	Platycerium_bifurcatum_scaffold7385.p1	Platycerium_bifurcatum_scaffold9572.p1	0.33333	0.5
Platycerium_bifurcatum_C313995.p1__Platycerium_bifurcatum_scaffold7385.p1	0.22209	0.41166	2472.0	81.0	1.78753	GF_000011	1.1637	7.7666	42.0	0.1498	549.0	Platycerium_bifurcatum_scaffold7385.p1	Platycerium_bifurcatum_C313995.p1	0.33333	0.0
Platycerium_bifurcatum_scaffold6732.p1__Platycerium_bifurcatum_scaffold7385.p1	0.25607	0.36177	2472.0	81.0	2.65577	GF_000011	1.9289	0.8028	43.0	2.4029	633.0	Platycerium_bifurcatum_scaffold6732.p1	Platycerium_bifurcatum_scaffold7385.p1	0.0625	0.14286
Platycerium_bifurcatum_C311753.p1__Platycerium_bifurcatum_scaffold6732.p1	0.20874	0.39535	2472.0	81.0	2.04131	GF_000011	1.4052	1.5242	43.0	0.9219	516.0	Platycerium_bifurcatum_scaffold6732.p1	Platycerium_bifurcatum_C311753.p1	0.0625	0.14286
Platycerium_bifurcatum_scaffold6732.p1__Platycerium_bifurcatum_scaffold9572.p1	0.20995	0.37958	2472.0	81.0	2.00935	GF_000011	10.0307	0.1013	43.0	99.0	519.0	Platycerium_bifurcatum_scaffold6732.p1	Platycerium_bifurcatum_scaffold9572.p1	0.0625	0.14286
Platycerium_bifurcatum_C313995.p1__Platycerium_bifurcatum_scaffold6732.p1	0.20995	0.3815	2472.0	81.0	2.02228	GF_000011	1.4046	16.5107	43.0	0.0851	519.0	Platycerium_bifurcatum_scaffold6732.p1	Platycerium_bifurcatum_C313995.p1	0.0625	0.0
Platycerium_bifurcatum_scaffold6839.p1__Platycerium_bifurcatum_scaffold7385.p1	0.26456	0.3685	2472.0	81.0	2.7407	GF_000011	1.5372	1.8474	43.0	0.8321	654.0	Platycerium_bifurcatum_scaffold6839.p1	Platycerium_bifurcatum_scaffold7385.p1	0.0625	0.14286
Platycerium_bifurcatum_C311753.p1__Platycerium_bifurcatum_scaffold6839.p1	0.20874	0.39922	2472.0	81.0	2.12624	GF_000011	1.4357	1.022	43.0	1.4048	516.0	Platycerium_bifurcatum_scaffold6839.p1	Platycerium_bifurcatum_C311753.p1	0.0625	0.14286
Platycerium_bifurcatum_scaffold6839.p1__Platycerium_bifurcatum_scaffold9572.p1	0.20995	0.39499	2472.0	81.0	2.09428	GF_000011	1.5772	11.6327	43.0	0.1356	519.0	Platycerium_bifurcatum_scaffold6839.p1	Platycerium_bifurcatum_scaffold9572.p1	0.0625	0.0
Platycerium_bifurcatum_C313995.p1__Platycerium_bifurcatum_scaffold6839.p1	0.20995	0.39114	2472.0	81.0	2.10721	GF_000011	1.5322	11.3029	43.0	0.1356	519.0	Platycerium_bifurcatum_scaffold6839.p1	Platycerium_bifurcatum_C313995.p1	0.0625	0.0
Platycerium_bifurcatum_scaffold6234.p1__Platycerium_bifurcatum_scaffold7385.p1	0.26335	0.36866	2472.0	81.0	2.67618	GF_000011	1.5017	23.0485	43.0	0.0652	651.0	Platycerium_bifurcatum_scaffold6234.p1	Platycerium_bifurcatum_scaffold7385.p1	0.0625	0.0
Platycerium_bifurcatum_C311753.p1__Platycerium_bifurcatum_scaffold6234.p1	0.20874	0.40116	2472.0	81.0	2.06172	GF_000011	1.4297	1.0798	43.0	1.324	516.0	Platycerium_bifurcatum_scaffold6234.p1	Platycerium_bifurcatum_C311753.p1	0.0625	0.14286
