	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Phegopteris_ducursive-pinnata_scaffold13318.p1__Phegopteris_ducursive-pinnata_scaffold13319.p2	0.64194	1.0	930.0	558.0	0.0	GF_001925	0.0	0.0	3.0	0.001	597.0	Phegopteris_ducursive-pinnata_scaffold13318.p1	Phegopteris_ducursive-pinnata_scaffold13319.p2	1.0	0.0
Phegopteris_ducursive-pinnata_scaffold13318.p1__Phegopteris_ducursive-pinnata_scaffold13319.p1	0.6	0.51075	930.0	558.0	1.15836	GF_001925	0.5942	41.7744	4.0	0.0142	558.0	Phegopteris_ducursive-pinnata_scaffold13318.p1	Phegopteris_ducursive-pinnata_scaffold13319.p1	0.5	0.0
Phegopteris_ducursive-pinnata_scaffold13319.p1__Phegopteris_ducursive-pinnata_scaffold13319.p2	0.6	0.51075	930.0	558.0	1.15836	GF_001925	0.5942	42.0647	4.0	0.0141	558.0	Phegopteris_ducursive-pinnata_scaffold13319.p2	Phegopteris_ducursive-pinnata_scaffold13319.p1	0.5	0.0
Phegopteris_ducursive-pinnata_scaffold12257.p1__Phegopteris_ducursive-pinnata_scaffold18446.p1	0.54338	0.78431	1314.0	702.0	0.15171	GF_000502	0.0878	1.1895	7.0	0.0738	714.0	Phegopteris_ducursive-pinnata_scaffold18446.p1	Phegopteris_ducursive-pinnata_scaffold12257.p1	1.0	1.0
Phegopteris_ducursive-pinnata_scaffold12371.p1__Phegopteris_ducursive-pinnata_scaffold20413.p1	0.67808	0.71605	1314.0	702.0	0.28836	GF_000502	0.1291	2.3807	8.0	0.0542	891.0	Phegopteris_ducursive-pinnata_scaffold20413.p1	Phegopteris_ducursive-pinnata_scaffold12371.p1	1.0	1.0
Phegopteris_ducursive-pinnata_C620890.p1__Phegopteris_ducursive-pinnata_scaffold20413.p1	0.73744	0.54283	1314.0	702.0	0.89791	GF_000502	0.3734	58.7674	9.0	0.0064	969.0	Phegopteris_ducursive-pinnata_C620890.p1	Phegopteris_ducursive-pinnata_scaffold20413.p1	0.5	0.0
Phegopteris_ducursive-pinnata_C620890.p1__Phegopteris_ducursive-pinnata_scaffold12371.p1	0.68493	0.55111	1314.0	702.0	0.88545	GF_000502	0.3881	65.3666	9.0	0.0059	900.0	Phegopteris_ducursive-pinnata_C620890.p1	Phegopteris_ducursive-pinnata_scaffold12371.p1	0.5	0.0
Phegopteris_ducursive-pinnata_C620890.p1__Phegopteris_ducursive-pinnata_scaffold18446.p1	0.68037	0.48658	1314.0	702.0	1.473	GF_000502	0.6668	2.9354	10.0	0.2272	894.0	Phegopteris_ducursive-pinnata_scaffold18446.p1	Phegopteris_ducursive-pinnata_C620890.p1	0.16667	0.5
Phegopteris_ducursive-pinnata_scaffold18446.p1__Phegopteris_ducursive-pinnata_scaffold20413.p1	0.68037	0.47427	1314.0	702.0	1.47179	GF_000502	0.6491	66.3054	10.0	0.0098	894.0	Phegopteris_ducursive-pinnata_scaffold18446.p1	Phegopteris_ducursive-pinnata_scaffold20413.p1	0.16667	0.0
Phegopteris_ducursive-pinnata_scaffold12371.p1__Phegopteris_ducursive-pinnata_scaffold18446.p1	0.621	0.48039	1314.0	702.0	1.45933	GF_000502	0.6368	36.7413	10.0	0.0173	816.0	Phegopteris_ducursive-pinnata_scaffold18446.p1	Phegopteris_ducursive-pinnata_scaffold12371.p1	0.16667	0.0
