	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Dicksonia_antarctica_C335532.p1__Dicksonia_antarctica_scaffold7113.p1	0.22179	0.86513	2340.0	18.0	0.27663	GF_001925	0.0004	0.4285	3.0	0.001	519.0	Dicksonia_antarctica_scaffold7113.p1	Dicksonia_antarctica_C335532.p1	1.0	1.0
Dicksonia_antarctica_C310954.p1__Dicksonia_antarctica_scaffold7113.p1	0.15256	0.55182	2340.0	18.0	0.68375	GF_001925	0.6965	12.1303	4.0	0.0574	357.0	Dicksonia_antarctica_C310954.p1	Dicksonia_antarctica_scaffold7113.p1	0.5	0.0
Dicksonia_antarctica_C310954.p1__Dicksonia_antarctica_C335532.p1	0.00769	0.44444	2340.0	18.0	0.9593	GF_001925	0.6871	64.1103	4.0	0.0107	18.0	Dicksonia_antarctica_C310954.p1	Dicksonia_antarctica_C335532.p1	0.5	0.0
Dicksonia_antarctica_C357695.p1__Dicksonia_antarctica_C368692.p1	0.59023	0.50531	798.0	471.0	1.33122	GF_003247	0.6397	8.0161	2.0	0.0798	471.0	Dicksonia_antarctica_C357695.p1	Dicksonia_antarctica_C368692.p1	1.0	0.0
Dicksonia_antarctica_C348354.p1__Dicksonia_antarctica_scaffold2360.p1	0.91327	0.85289	588.0	537.0	0.25176	GF_003125	0.1236	0.2926	2.0	0.4226	537.0	Dicksonia_antarctica_C348354.p1	Dicksonia_antarctica_scaffold2360.p1	1.0	1.0
Dicksonia_antarctica_scaffold15479.p1__Dicksonia_antarctica_scaffold15480.p1	0.98754	1.0	963.0	321.0	0.0	GF_002318	0.0	0.0	3.0	0.4314	951.0	Dicksonia_antarctica_scaffold15480.p1	Dicksonia_antarctica_scaffold15479.p1	1.0	0.0
Dicksonia_antarctica_C367076.p1__Dicksonia_antarctica_scaffold15480.p1	0.33333	0.90343	963.0	321.0	0.15532	GF_002318	0.0756	0.1944	4.0	0.3886	321.0	Dicksonia_antarctica_C367076.p1	Dicksonia_antarctica_scaffold15480.p1	0.5	0.5
Dicksonia_antarctica_C367076.p1__Dicksonia_antarctica_scaffold15479.p1	0.33333	0.90343	963.0	321.0	0.15532	GF_002318	0.0756	0.1944	4.0	0.3886	321.0	Dicksonia_antarctica_C367076.p1	Dicksonia_antarctica_scaffold15479.p1	0.5	0.5
Dicksonia_antarctica_scaffold7750.p1__Dicksonia_antarctica_scaffold7751.p1	0.69549	0.94955	1596.0	972.0	0.03981	GF_002403	0.0229	0.1477	3.0	0.1554	1110.0	Dicksonia_antarctica_scaffold7751.p1	Dicksonia_antarctica_scaffold7750.p1	1.0	1.0
Dicksonia_antarctica_C373060.p1__Dicksonia_antarctica_scaffold7751.p1	0.60902	0.40638	1596.0	972.0	1.58311	GF_002403	0.9016	55.1176	4.0	0.0164	972.0	Dicksonia_antarctica_C373060.p1	Dicksonia_antarctica_scaffold7751.p1	0.5	0.0
Dicksonia_antarctica_C373060.p1__Dicksonia_antarctica_scaffold7750.p1	0.60902	0.41049	1596.0	972.0	1.59104	GF_002403	0.9127	55.3797	4.0	0.0165	972.0	Dicksonia_antarctica_C373060.p1	Dicksonia_antarctica_scaffold7750.p1	0.5	0.0
Dicksonia_antarctica_C341004.p1__Dicksonia_antarctica_C350381.p1	0.71905	0.83444	630.0	453.0	0.25096	GF_003057	0.139	0.4255	2.0	0.3267	453.0	Dicksonia_antarctica_C341004.p1	Dicksonia_antarctica_C350381.p1	1.0	1.0
Dicksonia_antarctica_scaffold6859.p1__Dicksonia_antarctica_scaffold6861.p1	0.99553	0.96255	1341.0	726.0	0.02313	GF_002556	0.0	0.0	3.0	0.4263	1335.0	Dicksonia_antarctica_scaffold6859.p1	Dicksonia_antarctica_scaffold6861.p1	1.0	0.0
Dicksonia_antarctica_scaffold6859.p1__Dicksonia_antarctica_scaffold6860.p1	0.54139	0.88292	1341.0	726.0	0.19258	GF_002556	0.0847	0.3	4.0	0.2822	726.0	Dicksonia_antarctica_scaffold6860.p1	Dicksonia_antarctica_scaffold6859.p1	0.5	0.5
Dicksonia_antarctica_scaffold6860.p1__Dicksonia_antarctica_scaffold6861.p1	0.54139	0.88292	1341.0	726.0	0.19433	GF_002556	0.0847	0.3	4.0	0.2822	726.0	Dicksonia_antarctica_scaffold6860.p1	Dicksonia_antarctica_scaffold6861.p1	0.5	0.5
Dicksonia_antarctica_scaffold9578.p2__Dicksonia_antarctica_scaffold9579.p2	1.0	0.875	384.0	384.0	0.17236	GF_004491	0.0758	0.3922	2.0	0.1933	384.0	Dicksonia_antarctica_scaffold9578.p2	Dicksonia_antarctica_scaffold9579.p2	1.0	1.0
Dicksonia_antarctica_C365096.p1__Dicksonia_antarctica_C372902.p1	0.79153	0.61591	921.0	729.0	0.61404	GF_003393	0.3426	60.0373	2.0	0.0057	729.0	Dicksonia_antarctica_C365096.p1	Dicksonia_antarctica_C372902.p1	1.0	0.0
Dicksonia_antarctica_scaffold18565.p1__Dicksonia_antarctica_scaffold7265.p1	0.38737	0.89312	1425.0	552.0	0.18931	GF_001680	0.0852	0.2144	4.0	0.3975	552.0	Dicksonia_antarctica_scaffold18565.p1	Dicksonia_antarctica_scaffold7265.p1	1.0	1.0
Dicksonia_antarctica_C375602.p1__Dicksonia_antarctica_scaffold5504.p1	0.66316	0.58095	1425.0	552.0	0.7212	GF_001680	0.3671	6.1016	5.0	0.0602	945.0	Dicksonia_antarctica_C375602.p1	Dicksonia_antarctica_scaffold5504.p1	1.0	0.0
Dicksonia_antarctica_C375602.p1__Dicksonia_antarctica_scaffold18565.p1	0.89684	0.57746	1425.0	552.0	0.7683	GF_001680	0.3155	7.8834	6.0	0.04	1278.0	Dicksonia_antarctica_scaffold18565.p1	Dicksonia_antarctica_C375602.p1	0.25	0.0
Dicksonia_antarctica_scaffold18565.p1__Dicksonia_antarctica_scaffold5504.p1	0.63158	0.60778	1425.0	552.0	0.82868	GF_001680	0.3263	60.016	6.0	0.0054	900.0	Dicksonia_antarctica_scaffold18565.p1	Dicksonia_antarctica_scaffold5504.p1	0.25	0.0
Dicksonia_antarctica_C375602.p1__Dicksonia_antarctica_scaffold7265.p1	0.38737	0.59601	1425.0	552.0	0.67215	GF_001680	0.286	56.5993	6.0	0.0051	552.0	Dicksonia_antarctica_scaffold7265.p1	Dicksonia_antarctica_C375602.p1	0.25	0.0
Dicksonia_antarctica_scaffold5504.p1__Dicksonia_antarctica_scaffold7265.p1	0.38737	0.61413	1425.0	552.0	0.73253	GF_001680	0.3313	6.3919	6.0	0.0518	552.0	Dicksonia_antarctica_scaffold7265.p1	Dicksonia_antarctica_scaffold5504.p1	0.25	0.0
Dicksonia_antarctica_scaffold11138.p1__Dicksonia_antarctica_scaffold11139.p1	0.83565	0.89778	1077.0	900.0	0.13548	GF_003808	0.066	0.2502	2.0	0.2637	900.0	Dicksonia_antarctica_scaffold11138.p1	Dicksonia_antarctica_scaffold11139.p1	1.0	1.0
Dicksonia_antarctica_scaffold15769.p2__Dicksonia_antarctica_scaffold20392.p1	0.23288	0.74265	1752.0	138.0	0.27551	GF_002601	0.1124	0.8065	3.0	0.1394	408.0	Dicksonia_antarctica_scaffold20392.p1	Dicksonia_antarctica_scaffold15769.p2	1.0	1.0
Dicksonia_antarctica_scaffold15769.p1__Dicksonia_antarctica_scaffold20392.p1	0.53082	0.67634	1752.0	138.0	0.49484	GF_002601	1.3001	3.3223	4.0	0.3913	930.0	Dicksonia_antarctica_scaffold15769.p1	Dicksonia_antarctica_scaffold20392.p1	0.5	1.0
Dicksonia_antarctica_scaffold15769.p1__Dicksonia_antarctica_scaffold15769.p2	0.07877	0.37681	1752.0	138.0	0.73991	GF_002601	1.1623	6.1047	4.0	0.1904	138.0	Dicksonia_antarctica_scaffold15769.p1	Dicksonia_antarctica_scaffold15769.p2	0.5	0.0
Dicksonia_antarctica_C358529.p1__Dicksonia_antarctica_scaffold13426.p1	0.7116	0.4141	957.0	681.0	1.87428	GF_003263	1.0441	21.3574	2.0	0.0489	681.0	Dicksonia_antarctica_C358529.p1	Dicksonia_antarctica_scaffold13426.p1	1.0	0.0
Dicksonia_antarctica_scaffold16287.p1__Dicksonia_antarctica_scaffold17493.p1	0.41283	0.82205	1824.0	219.0	0.18119	GF_001947	0.0342	0.4611	3.0	0.0741	753.0	Dicksonia_antarctica_scaffold17493.p1	Dicksonia_antarctica_scaffold16287.p1	1.0	1.0
Dicksonia_antarctica_C314994.p1__Dicksonia_antarctica_scaffold17493.p1	0.18421	0.6131	1824.0	219.0	0.63509	GF_001947	0.2432	7.959	4.0	0.0306	336.0	Dicksonia_antarctica_C314994.p1	Dicksonia_antarctica_scaffold17493.p1	0.5	0.0
Dicksonia_antarctica_C314994.p1__Dicksonia_antarctica_scaffold16287.p1	0.12007	0.61644	1824.0	219.0	0.5768	GF_001947	0.2648	10.5512	4.0	0.0251	219.0	Dicksonia_antarctica_C314994.p1	Dicksonia_antarctica_scaffold16287.p1	0.5	0.0
Dicksonia_antarctica_scaffold2853.p1__Dicksonia_antarctica_scaffold3222.p1	0.94878	0.85604	1230.0	1167.0	0.26508	GF_004307	0.1392	0.2434	2.0	0.5719	1167.0	Dicksonia_antarctica_scaffold2853.p1	Dicksonia_antarctica_scaffold3222.p1	1.0	1.0
Dicksonia_antarctica_scaffold14681.p1__Dicksonia_antarctica_scaffold18621.p1	0.96617	0.88846	798.0	771.0	0.13996	GF_004019	0.0705	0.284	2.0	0.2483	771.0	Dicksonia_antarctica_scaffold14681.p1	Dicksonia_antarctica_scaffold18621.p1	1.0	1.0
Dicksonia_antarctica_C375442.p1__Dicksonia_antarctica_C377206.p1	0.81668	0.44937	2733.0	2232.0	1.50032	GF_003682	0.7215	66.2722	2.0	0.0109	2232.0	Dicksonia_antarctica_C375442.p1	Dicksonia_antarctica_C377206.p1	1.0	0.0
Dicksonia_antarctica_scaffold15803.p1__Dicksonia_antarctica_scaffold19597.p1	0.56944	0.86527	1512.0	861.0	0.22344	GF_004076	0.1109	0.3014	2.0	0.368	861.0	Dicksonia_antarctica_scaffold15803.p1	Dicksonia_antarctica_scaffold19597.p1	1.0	1.0
Dicksonia_antarctica_scaffold4025.p1__Dicksonia_antarctica_scaffold4027.p1	0.64253	1.0	663.0	306.0	0.00108	GF_000305	0.0	0.0	10.0	99.0	426.0	Dicksonia_antarctica_scaffold4025.p1	Dicksonia_antarctica_scaffold4027.p1	1.0	0.0
Dicksonia_antarctica_scaffold10243.p1__Dicksonia_antarctica_scaffold4025.p1	0.61991	0.76642	663.0	306.0	0.18927	GF_000305	0.0392	1.4464	11.0	0.0271	411.0	Dicksonia_antarctica_scaffold4025.p1	Dicksonia_antarctica_scaffold10243.p1	0.5	0.5
Dicksonia_antarctica_scaffold10243.p1__Dicksonia_antarctica_scaffold4027.p1	0.61991	0.76642	663.0	306.0	0.18925	GF_000305	0.0392	1.4464	11.0	0.0271	411.0	Dicksonia_antarctica_scaffold4027.p1	Dicksonia_antarctica_scaffold10243.p1	0.5	0.5
Dicksonia_antarctica_scaffold4025.p1__Dicksonia_antarctica_scaffold4026.p1	0.61991	0.73723	663.0	306.0	0.24709	GF_000305	0.0633	63.2674	12.0	0.001	411.0	Dicksonia_antarctica_scaffold4026.p1	Dicksonia_antarctica_scaffold4025.p1	0.33333	0.0
Dicksonia_antarctica_scaffold4026.p1__Dicksonia_antarctica_scaffold4027.p1	0.61991	0.73723	663.0	306.0	0.24707	GF_000305	0.0633	63.2673	12.0	0.001	411.0	Dicksonia_antarctica_scaffold4026.p1	Dicksonia_antarctica_scaffold4027.p1	0.33333	0.0
Dicksonia_antarctica_scaffold10243.p1__Dicksonia_antarctica_scaffold4026.p1	0.61538	0.7549	663.0	306.0	0.1429	GF_000305	0.0252	25.2351	12.0	0.001	408.0	Dicksonia_antarctica_scaffold4026.p1	Dicksonia_antarctica_scaffold10243.p1	0.33333	0.0
Dicksonia_antarctica_C357559.p1__Dicksonia_antarctica_scaffold9912.p1	0.57466	0.76115	663.0	306.0	0.11272	GF_000305	0.0326	11.9633	13.0	0.0027	381.0	Dicksonia_antarctica_C357559.p1	Dicksonia_antarctica_scaffold9912.p1	1.0	0.0
Dicksonia_antarctica_C344678.p1__Dicksonia_antarctica_scaffold18816.p1	0.52036	0.84928	663.0	306.0	0.02947	GF_000305	0.0139	0.9432	14.0	0.0147	345.0	Dicksonia_antarctica_C344678.p1	Dicksonia_antarctica_scaffold18816.p1	1.0	1.0
Dicksonia_antarctica_C344678.p1__Dicksonia_antarctica_scaffold3699.p1	0.46606	0.79935	663.0	306.0	0.12719	GF_000305	0.0458	1.9346	15.0	0.0237	309.0	Dicksonia_antarctica_scaffold3699.p1	Dicksonia_antarctica_C344678.p1	0.5	1.0
Dicksonia_antarctica_scaffold18816.p1__Dicksonia_antarctica_scaffold3699.p1	0.46606	0.79288	663.0	306.0	0.1533	GF_000305	0.0491	6.3979	15.0	0.0077	309.0	Dicksonia_antarctica_scaffold3699.p1	Dicksonia_antarctica_scaffold18816.p1	0.5	0.0
Dicksonia_antarctica_scaffold3699.p1__Dicksonia_antarctica_scaffold4746.p1	0.49321	0.69419	663.0	306.0	0.31779	GF_000305	0.1068	64.6934	16.0	0.0017	327.0	Dicksonia_antarctica_scaffold4746.p1	Dicksonia_antarctica_scaffold3699.p1	0.33333	0.0
Dicksonia_antarctica_C344678.p1__Dicksonia_antarctica_scaffold4746.p1	0.55656	0.65041	663.0	306.0	0.38736	GF_000305	0.1235	64.8607	16.0	0.0019	369.0	Dicksonia_antarctica_scaffold4746.p1	Dicksonia_antarctica_C344678.p1	0.33333	0.0
Dicksonia_antarctica_scaffold18816.p1__Dicksonia_antarctica_scaffold4746.p1	0.52036	0.68696	663.0	306.0	0.41347	GF_000305	0.1301	63.2415	16.0	0.0021	345.0	Dicksonia_antarctica_scaffold4746.p1	Dicksonia_antarctica_scaffold18816.p1	0.33333	0.0
Dicksonia_antarctica_C357559.p1__Dicksonia_antarctica_scaffold4746.p1	0.58824	0.65897	663.0	306.0	0.32201	GF_000305	0.1016	10.093	17.0	0.0101	390.0	Dicksonia_antarctica_C357559.p1	Dicksonia_antarctica_scaffold4746.p1	0.125	0.0
