	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Azolla_pinnata_scaffold4226.p1__Azolla_pinnata_scaffold4227.p1	1.0	1.0	732.0	732.0	0.0	GF_001925	0.0	0.0	3.0	0.001	732.0	Azolla_pinnata_scaffold4227.p1	Azolla_pinnata_scaffold4226.p1	1.0	0.0
Azolla_pinnata_scaffold4225.p1__Azolla_pinnata_scaffold4227.p1	1.0	0.95492	732.0	732.0	0.05034	GF_001925	0.0256	0.107	4.0	0.2387	732.0	Azolla_pinnata_scaffold4225.p1	Azolla_pinnata_scaffold4227.p1	0.5	0.5
Azolla_pinnata_scaffold4225.p1__Azolla_pinnata_scaffold4226.p1	1.0	0.95492	732.0	732.0	0.05034	GF_001925	0.0256	0.107	4.0	0.2387	732.0	Azolla_pinnata_scaffold4225.p1	Azolla_pinnata_scaffold4226.p1	0.5	0.5
Azolla_pinnata_scaffold13722.p1__Azolla_pinnata_scaffold13723.p2	0.5	0.93333	510.0	255.0	0.09168	GF_003247	0.0453	0.1561	2.0	0.2904	255.0	Azolla_pinnata_scaffold13722.p1	Azolla_pinnata_scaffold13723.p2	1.0	1.0
Azolla_pinnata_scaffold15523.p1__Azolla_pinnata_scaffold15524.p1	1.0	1.0	867.0	867.0	0.0	GF_003125	0.0	0.0	2.0	0.1153	867.0	Azolla_pinnata_scaffold15524.p1	Azolla_pinnata_scaffold15523.p1	1.0	0.0
Azolla_pinnata_scaffold7644.p1__Azolla_pinnata_scaffold7645.p1	0.55794	1.0	699.0	390.0	0.00054	GF_004515	0.0	0.0	2.0	0.4223	390.0	Azolla_pinnata_scaffold7644.p1	Azolla_pinnata_scaffold7645.p1	1.0	0.0
Azolla_pinnata_scaffold35764.p1__Azolla_pinnata_scaffold35765.p1	0.96325	1.0	1143.0	1092.0	0.0	GF_002318	0.0	0.0	3.0	0.001	1101.0	Azolla_pinnata_scaffold35765.p1	Azolla_pinnata_scaffold35764.p1	1.0	0.0
Azolla_pinnata_scaffold35735.p1__Azolla_pinnata_scaffold35765.p1	0.95538	0.77839	1143.0	1092.0	0.21076	GF_002318	0.1009	1.5234	4.0	0.0662	1092.0	Azolla_pinnata_scaffold35735.p1	Azolla_pinnata_scaffold35765.p1	0.5	0.5
Azolla_pinnata_scaffold35735.p1__Azolla_pinnata_scaffold35764.p1	0.95538	0.77839	1143.0	1092.0	0.21076	GF_002318	0.1009	1.5234	4.0	0.0662	1092.0	Azolla_pinnata_scaffold35735.p1	Azolla_pinnata_scaffold35764.p1	0.5	0.5
Azolla_pinnata_C723699.p1__Azolla_pinnata_scaffold31793.p1	0.65468	0.85348	417.0	273.0	0.28366	GF_002403	0.1425	0.2561	2.0	0.5563	273.0	Azolla_pinnata_C723699.p1	Azolla_pinnata_scaffold31793.p1	1.0	1.0
