	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-EEAQ-2004146-Sceptridium_dissectum.p2__scaffold-EEAQ-2080889-Sceptridium_dissectum.p1	0.19763	0.8	759.0	45.0	0.35551	GF_001925	5.8995	0.6105	3.0	9.6628	150.0	scaffold-EEAQ-2004146-Sceptridium_dissectum.p2	scaffold-EEAQ-2080889-Sceptridium_dissectum.p1	1.0	1.0
scaffold-EEAQ-2004146-Sceptridium_dissectum.p2__scaffold-EEAQ-2004147-Sceptridium_dissectum.p1	0.05929	0.46667	759.0	45.0	0.79223	GF_001925	4.9353	0.0499	4.0	99.0	45.0	scaffold-EEAQ-2004147-Sceptridium_dissectum.p1	scaffold-EEAQ-2004146-Sceptridium_dissectum.p2	0.5	0.5
scaffold-EEAQ-2004147-Sceptridium_dissectum.p1__scaffold-EEAQ-2080889-Sceptridium_dissectum.p1	0.49802	0.78042	759.0	45.0	0.43782	GF_001925	0.1614	0.4762	4.0	0.339	378.0	scaffold-EEAQ-2004147-Sceptridium_dissectum.p1	scaffold-EEAQ-2080889-Sceptridium_dissectum.p1	0.5	0.5
scaffold-EEAQ-2014754-Sceptridium_dissectum.p1__scaffold-EEAQ-2018065-Sceptridium_dissectum.p1	0.53803	0.87086	1065.0	3.0	0.17103	GF_000502	0.0	0.0	7.0		573.0	scaffold-EEAQ-2018065-Sceptridium_dissectum.p1	scaffold-EEAQ-2014754-Sceptridium_dissectum.p1	1.0	0.0
scaffold-EEAQ-2002671-Sceptridium_dissectum.p1__scaffold-EEAQ-2002672-Sceptridium_dissectum.p1	0.60563	0.93953	1065.0	3.0	0.08267	GF_000502	0.0	0.0	8.0		645.0	scaffold-EEAQ-2002671-Sceptridium_dissectum.p1	scaffold-EEAQ-2002672-Sceptridium_dissectum.p1	1.0	0.0
scaffold-EEAQ-2002671-Sceptridium_dissectum.p1__scaffold-EEAQ-2078458-Sceptridium_dissectum.p1	0.29296	0.59615	1065.0	3.0	0.6107	GF_000502	0.0	0.0	9.0		312.0	scaffold-EEAQ-2002671-Sceptridium_dissectum.p1	scaffold-EEAQ-2078458-Sceptridium_dissectum.p1	0.5	0.0
scaffold-EEAQ-2002672-Sceptridium_dissectum.p1__scaffold-EEAQ-2078458-Sceptridium_dissectum.p1	0.29296	0.60897	1065.0	3.0	0.59773	GF_000502	0.0	0.0	9.0		312.0	scaffold-EEAQ-2002672-Sceptridium_dissectum.p1	scaffold-EEAQ-2078458-Sceptridium_dissectum.p1	0.5	0.0
scaffold-EEAQ-2002671-Sceptridium_dissectum.p1__scaffold-EEAQ-2073416-Sceptridium_dissectum.p1	0.27606	0.76531	1065.0	3.0	0.38489	GF_000502	0.0	0.0	10.0		294.0	scaffold-EEAQ-2002671-Sceptridium_dissectum.p1	scaffold-EEAQ-2073416-Sceptridium_dissectum.p1	0.33333	0.0
scaffold-EEAQ-2002672-Sceptridium_dissectum.p1__scaffold-EEAQ-2073416-Sceptridium_dissectum.p1	0.27606	0.7483	1065.0	3.0	0.37192	GF_000502	0.0	0.0	10.0		294.0	scaffold-EEAQ-2002672-Sceptridium_dissectum.p1	scaffold-EEAQ-2073416-Sceptridium_dissectum.p1	0.33333	0.0
scaffold-EEAQ-2073416-Sceptridium_dissectum.p1__scaffold-EEAQ-2078458-Sceptridium_dissectum.p1	0.00282	1.0	1065.0	3.0	0.74863	GF_000502	0.0	0.0	10.0		3.0	scaffold-EEAQ-2078458-Sceptridium_dissectum.p1	scaffold-EEAQ-2073416-Sceptridium_dissectum.p1	0.33333	0.0
