	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Hypolepis_punctata_C426106.p1__Hypolepis_punctata_C462758.p1	0.53917	0.60399	651.0	351.0	0.5697	GF_001925	0.3445	2.894	2.0	0.1191	351.0	Hypolepis_punctata_C426106.p1	Hypolepis_punctata_C462758.p1	1.0	1.0
Hypolepis_punctata_scaffold5338.p1__Hypolepis_punctata_scaffold5339.p1	0.625	0.94359	624.0	390.0	0.07236	GF_003247	0.0465	0.1041	2.0	0.447	390.0	Hypolepis_punctata_scaffold5338.p1	Hypolepis_punctata_scaffold5339.p1	1.0	1.0
Hypolepis_punctata_scaffold2409.p1__Hypolepis_punctata_scaffold2410.p1	1.0	0.9921	633.0	633.0	0.0	GF_003125	0.0	0.0302	2.0	0.001	633.0	Hypolepis_punctata_scaffold2409.p1	Hypolepis_punctata_scaffold2410.p1	1.0	1.0
Hypolepis_punctata_C480482.p1__Hypolepis_punctata_scaffold15703.p1	0.99552	0.72523	669.0	666.0	0.40048	GF_002318	0.2039	1.197	2.0	0.1703	666.0	Hypolepis_punctata_C480482.p1	Hypolepis_punctata_scaffold15703.p1	1.0	1.0
Hypolepis_punctata_C485672.p1__Hypolepis_punctata_scaffold21174.p1	0.40592	0.47396	1419.0	576.0	1.29796	GF_002403	0.6948	14.8718	2.0	0.0467	576.0	Hypolepis_punctata_C485672.p1	Hypolepis_punctata_scaffold21174.p1	1.0	0.0
Hypolepis_punctata_scaffold9657.p1__Hypolepis_punctata_scaffold9658.p1	1.0	0.99802	1512.0	1512.0	0.00186	GF_003057	0.001	0.0042	2.0	0.2372	1512.0	Hypolepis_punctata_scaffold9658.p1	Hypolepis_punctata_scaffold9657.p1	1.0	0.0
Hypolepis_punctata_scaffold11597.p1__Hypolepis_punctata_scaffold23078.p1	0.68093	0.59048	771.0	525.0	0.59548	GF_002556	0.3174	64.5175	2.0	0.0049	525.0	Hypolepis_punctata_scaffold11597.p1	Hypolepis_punctata_scaffold23078.p1	1.0	0.0
Hypolepis_punctata_scaffold14850.p1__Hypolepis_punctata_scaffold14851.p1	0.43094	1.0	1629.0	441.0	0.0011	GF_000549	0.0	0.0	6.0	0.001	702.0	Hypolepis_punctata_scaffold14850.p1	Hypolepis_punctata_scaffold14851.p1	1.0	0.0
Hypolepis_punctata_C487240.p1__Hypolepis_punctata_scaffold13520.p1	0.76427	0.67229	1629.0	441.0	0.5544	GF_000549	0.2274	1.1763	7.0	0.1933	1245.0	Hypolepis_punctata_C487240.p1	Hypolepis_punctata_scaffold13520.p1	1.0	1.0
Hypolepis_punctata_C487240.p1__Hypolepis_punctata_scaffold14850.p1	0.74954	0.53071	1629.0	441.0	1.09742	GF_000549	0.3525	7.7918	8.0	0.0452	1221.0	Hypolepis_punctata_scaffold14850.p1	Hypolepis_punctata_C487240.p1	0.25	0.0
Hypolepis_punctata_scaffold13520.p1__Hypolepis_punctata_scaffold14850.p1	0.75322	0.56398	1629.0	441.0	0.86542	GF_000549	0.2479	4.038	8.0	0.0614	1227.0	Hypolepis_punctata_scaffold14850.p1	Hypolepis_punctata_scaffold13520.p1	0.25	0.5
Hypolepis_punctata_C487240.p1__Hypolepis_punctata_scaffold14851.p1	0.39411	0.61059	1629.0	441.0	1.09742	GF_000549	0.3525	7.7918	8.0	0.0452	642.0	Hypolepis_punctata_scaffold14851.p1	Hypolepis_punctata_C487240.p1	0.25	0.0
Hypolepis_punctata_scaffold13520.p1__Hypolepis_punctata_scaffold14851.p1	0.39227	0.65258	1629.0	441.0	0.86542	GF_000549	0.2479	4.038	8.0	0.0614	639.0	Hypolepis_punctata_scaffold14851.p1	Hypolepis_punctata_scaffold13520.p1	0.25	0.5
Hypolepis_punctata_scaffold14850.p1__Hypolepis_punctata_scaffold20655.p1	0.48803	0.50189	1629.0	441.0	1.36324	GF_000549	0.5537	5.7266	9.0	0.0967	795.0	Hypolepis_punctata_scaffold20655.p1	Hypolepis_punctata_scaffold14850.p1	0.25	0.0
Hypolepis_punctata_scaffold14851.p1__Hypolepis_punctata_scaffold20655.p1	0.2744	0.51902	1629.0	441.0	1.36324	GF_000549	0.5537	5.7266	9.0	0.0967	447.0	Hypolepis_punctata_scaffold20655.p1	Hypolepis_punctata_scaffold14851.p1	0.25	0.0
Hypolepis_punctata_C487240.p1__Hypolepis_punctata_scaffold20655.p1	0.49355	0.4602	1629.0	441.0	1.43842	GF_000549	0.5257	10.9437	9.0	0.048	804.0	Hypolepis_punctata_scaffold20655.p1	Hypolepis_punctata_C487240.p1	0.25	0.0
Hypolepis_punctata_scaffold13520.p1__Hypolepis_punctata_scaffold20655.p1	0.49355	0.48507	1629.0	441.0	1.20642	GF_000549	0.5285	62.6849	9.0	0.0084	804.0	Hypolepis_punctata_scaffold20655.p1	Hypolepis_punctata_scaffold13520.p1	0.25	0.0
Hypolepis_punctata_scaffold12243.p1__Hypolepis_punctata_scaffold20655.p1	0.4825	0.41094	1629.0	441.0	2.01694	GF_000549	0.9019	62.5615	10.0	0.0144	786.0	Hypolepis_punctata_scaffold12243.p1	Hypolepis_punctata_scaffold20655.p1	0.2	0.0
Hypolepis_punctata_scaffold12243.p1__Hypolepis_punctata_scaffold14850.p1	0.66114	0.39833	1629.0	441.0	2.58108	GF_000549	1.019	59.8563	10.0	0.017	1077.0	Hypolepis_punctata_scaffold12243.p1	Hypolepis_punctata_scaffold14850.p1	0.2	0.0
