	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Woodsia_ilvensis_scaffold26820.p1__Woodsia_ilvensis_scaffold27001.p1	0.7828	0.47436	1395.0	942.0	1.41508	GF_001925	0.6177	65.832	3.0	0.0094	1092.0	Woodsia_ilvensis_scaffold26820.p1	Woodsia_ilvensis_scaffold27001.p1	1.0	0.0
Woodsia_ilvensis_C813546.p1__Woodsia_ilvensis_scaffold26820.p1	0.70538	0.45732	1395.0	942.0	1.46305	GF_001925	0.66	29.7924	4.0	0.0222	984.0	Woodsia_ilvensis_C813546.p1	Woodsia_ilvensis_scaffold26820.p1	0.5	0.0
Woodsia_ilvensis_C813546.p1__Woodsia_ilvensis_scaffold27001.p1	0.74409	0.43738	1395.0	942.0	1.71273	GF_001925	0.7485	68.1249	4.0	0.011	1038.0	Woodsia_ilvensis_C813546.p1	Woodsia_ilvensis_scaffold27001.p1	0.5	0.0
Woodsia_ilvensis_scaffold25053.p1__Woodsia_ilvensis_scaffold25053.p2	0.00361	1.0	831.0	3.0	0.5111	GF_000502	21.4114	4.3719	7.0		3.0	Woodsia_ilvensis_scaffold25053.p1	Woodsia_ilvensis_scaffold25053.p2	1.0	1.0
Woodsia_ilvensis_scaffold5694.p1__Woodsia_ilvensis_scaffold5695.p1	0.99278	1.0	831.0	3.0	0.0	GF_000502	21.4114	4.3719	8.0		825.0	Woodsia_ilvensis_scaffold5695.p1	Woodsia_ilvensis_scaffold5694.p1	1.0	1.0
Woodsia_ilvensis_C754431.p1__Woodsia_ilvensis_scaffold8356.p1	0.47653	0.64899	831.0	3.0	0.46473	GF_000502	27.9607	1.4903	9.0	18.7614	396.0	Woodsia_ilvensis_C754431.p1	Woodsia_ilvensis_scaffold8356.p1	1.0	1.0
Woodsia_ilvensis_C754431.p1__Woodsia_ilvensis_scaffold5695.p1	0.47653	0.64141	831.0	3.0	0.54129	GF_000502	21.4114	4.3719	10.0	4.8974	396.0	Woodsia_ilvensis_scaffold5695.p1	Woodsia_ilvensis_C754431.p1	0.25	0.25
Woodsia_ilvensis_scaffold5695.p1__Woodsia_ilvensis_scaffold8356.p1	0.98917	0.78589	831.0	3.0	0.1517	GF_000502	21.4114	4.3719	10.0		822.0	Woodsia_ilvensis_scaffold5695.p1	Woodsia_ilvensis_scaffold8356.p1	0.25	0.25
Woodsia_ilvensis_C754431.p1__Woodsia_ilvensis_scaffold5694.p1	0.47653	0.64141	831.0	3.0	0.54129	GF_000502	21.4114	4.3719	10.0		396.0	Woodsia_ilvensis_scaffold5694.p1	Woodsia_ilvensis_C754431.p1	0.25	0.25
Woodsia_ilvensis_scaffold5694.p1__Woodsia_ilvensis_scaffold8356.p1	0.98917	0.78589	831.0	3.0	0.1517	GF_000502	21.4114	4.3719	10.0		822.0	Woodsia_ilvensis_scaffold5694.p1	Woodsia_ilvensis_scaffold8356.p1	0.25	0.25
Woodsia_ilvensis_scaffold28078.p1__Woodsia_ilvensis_scaffold5695.p1	0.98917	0.73966	831.0	3.0	0.1573	GF_000502	21.4114	4.3719	11.0		822.0	Woodsia_ilvensis_scaffold28078.p1	Woodsia_ilvensis_scaffold5695.p1	0.25	0.25
Woodsia_ilvensis_scaffold28078.p1__Woodsia_ilvensis_scaffold5694.p1	0.98917	0.73966	831.0	3.0	0.1573	GF_000502	21.4114	4.3719	11.0		822.0	Woodsia_ilvensis_scaffold28078.p1	Woodsia_ilvensis_scaffold5694.p1	0.25	0.25
Woodsia_ilvensis_C754431.p1__Woodsia_ilvensis_scaffold28078.p1	0.47653	0.61616	831.0	3.0	0.59225	GF_000502	21.4114	4.3719	11.0		396.0	Woodsia_ilvensis_scaffold28078.p1	Woodsia_ilvensis_C754431.p1	0.25	0.25
Woodsia_ilvensis_scaffold28078.p1__Woodsia_ilvensis_scaffold8356.p1	0.98556	0.74237	831.0	3.0	0.20266	GF_000502	21.4114	4.3719	11.0		819.0	Woodsia_ilvensis_scaffold28078.p1	Woodsia_ilvensis_scaffold8356.p1	0.25	0.25
Woodsia_ilvensis_scaffold25053.p1__Woodsia_ilvensis_scaffold28078.p1	0.48014	0.58396	831.0	3.0	0.92163	GF_000502	21.4114	4.3719	12.0		399.0	Woodsia_ilvensis_scaffold25053.p1	Woodsia_ilvensis_scaffold28078.p1	0.1	0.1
Woodsia_ilvensis_scaffold25053.p1__Woodsia_ilvensis_scaffold5695.p1	0.48014	0.57895	831.0	3.0	0.97463	GF_000502	21.4114	4.3719	12.0		399.0	Woodsia_ilvensis_scaffold25053.p1	Woodsia_ilvensis_scaffold5695.p1	0.1	0.1
Woodsia_ilvensis_scaffold25053.p1__Woodsia_ilvensis_scaffold5694.p1	0.48014	0.57895	831.0	3.0	0.97463	GF_000502	21.4114	4.3719	12.0		399.0	Woodsia_ilvensis_scaffold25053.p1	Woodsia_ilvensis_scaffold5694.p1	0.1	0.1
Woodsia_ilvensis_C754431.p1__Woodsia_ilvensis_scaffold25053.p1	0.30686	0.53725	831.0	3.0	1.40958	GF_000502	21.4114	4.3719	12.0		255.0	Woodsia_ilvensis_scaffold25053.p1	Woodsia_ilvensis_C754431.p1	0.1	0.1
Woodsia_ilvensis_scaffold25053.p1__Woodsia_ilvensis_scaffold8356.p1	0.48014	0.55639	831.0	3.0	1.01999	GF_000502	21.4114	4.3719	12.0		399.0	Woodsia_ilvensis_scaffold25053.p1	Woodsia_ilvensis_scaffold8356.p1	0.1	0.1
Woodsia_ilvensis_scaffold25053.p2__Woodsia_ilvensis_scaffold28078.p1	0.47292	0.50127	831.0	3.0	1.43165	GF_000502	21.4114	4.3719	12.0		393.0	Woodsia_ilvensis_scaffold25053.p2	Woodsia_ilvensis_scaffold28078.p1	0.1	0.1
Woodsia_ilvensis_scaffold25053.p2__Woodsia_ilvensis_scaffold5695.p1	0.47292	0.48092	831.0	3.0	1.48465	GF_000502	21.4114	4.3719	12.0		393.0	Woodsia_ilvensis_scaffold25053.p2	Woodsia_ilvensis_scaffold5695.p1	0.1	0.1
