	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Acrostichum_aureum_C213159.p1__Acrostichum_aureum_C228457.p1	0.769	0.65744	987.0	759.0	0.44032	GF_001925	0.2428	2.807	2.0	0.0865	759.0	Acrostichum_aureum_C213159.p1	Acrostichum_aureum_C228457.p1	1.0	1.0
Acrostichum_aureum_C239527.p1__Acrostichum_aureum_C239695.p1	0.72043	0.64179	2790.0	276.0	0.62279	GF_000502	0.2659	2.7171	6.0	0.0979	2010.0	Acrostichum_aureum_C239527.p1	Acrostichum_aureum_C239695.p1	1.0	1.0
Acrostichum_aureum_C235609.p1__Acrostichum_aureum_C236765.p1	0.42581	0.52862	2790.0	276.0	1.08512	GF_000502	0.3362	66.4686	7.0	0.0051	1188.0	Acrostichum_aureum_C236765.p1	Acrostichum_aureum_C235609.p1	1.0	0.0
Acrostichum_aureum_C236765.p1__Acrostichum_aureum_C239527.p1	0.42581	0.4798	2790.0	276.0	1.53914	GF_000502	0.4714	10.8505	8.0	0.0434	1188.0	Acrostichum_aureum_C239527.p1	Acrostichum_aureum_C236765.p1	0.25	0.0
Acrostichum_aureum_C235609.p1__Acrostichum_aureum_C239527.p1	0.54839	0.49346	2790.0	276.0	1.36848	GF_000502	0.3049	1.9995	8.0	0.1525	1530.0	Acrostichum_aureum_C239527.p1	Acrostichum_aureum_C235609.p1	0.25	0.5
Acrostichum_aureum_C236765.p1__Acrostichum_aureum_C239695.p1	0.42366	0.48985	2790.0	276.0	1.50093	GF_000502	0.4416	4.7227	8.0	0.0935	1182.0	Acrostichum_aureum_C239695.p1	Acrostichum_aureum_C236765.p1	0.25	0.5
Acrostichum_aureum_C235609.p1__Acrostichum_aureum_C239695.p1	0.54839	0.49542	2790.0	276.0	1.33027	GF_000502	0.3352	67.8016	8.0	0.0049	1530.0	Acrostichum_aureum_C239695.p1	Acrostichum_aureum_C235609.p1	0.25	0.0
Acrostichum_aureum_C233981.p1__Acrostichum_aureum_C239527.p1	0.4043	0.56028	2790.0	276.0	0.95762	GF_000502	0.2236	13.4511	9.0	0.0166	1128.0	Acrostichum_aureum_C233981.p1	Acrostichum_aureum_C239527.p1	0.25	0.0
Acrostichum_aureum_C233981.p1__Acrostichum_aureum_C239695.p1	0.4043	0.53901	2790.0	276.0	0.91941	GF_000502	0.2434	19.2825	9.0	0.0126	1128.0	Acrostichum_aureum_C233981.p1	Acrostichum_aureum_C239695.p1	0.25	0.0
Acrostichum_aureum_C233981.p1__Acrostichum_aureum_C236765.p1	0.3957	0.5154	2790.0	276.0	1.34578	GF_000502	0.3269	4.3908	9.0	0.0744	1104.0	Acrostichum_aureum_C233981.p1	Acrostichum_aureum_C236765.p1	0.25	0.5
Acrostichum_aureum_C233981.p1__Acrostichum_aureum_C235609.p1	0.40968	0.51706	2790.0	276.0	1.17512	GF_000502	0.3153	2.6538	9.0	0.1188	1143.0	Acrostichum_aureum_C233981.p1	Acrostichum_aureum_C235609.p1	0.25	0.5
Acrostichum_aureum_C233981.p1__Acrostichum_aureum_C235391.p1	0.09892	0.43841	2790.0	276.0	1.79158	GF_000502	0.7869	7.3706	10.0	0.1068	276.0	Acrostichum_aureum_C235391.p1	Acrostichum_aureum_C233981.p1	0.2	0.0
Acrostichum_aureum_C235391.p1__Acrostichum_aureum_C239527.p1	0.48387	0.39407	2790.0	276.0	2.31292	GF_000502	1.1272	8.598	10.0	0.1311	1350.0	Acrostichum_aureum_C235391.p1	Acrostichum_aureum_C239527.p1	0.2	0.0
Acrostichum_aureum_C235391.p1__Acrostichum_aureum_C239695.p1	0.35161	0.41896	2790.0	276.0	2.27471	GF_000502	1.0215	2.9067	10.0	0.3514	981.0	Acrostichum_aureum_C235391.p1	Acrostichum_aureum_C239695.p1	0.2	0.5
Acrostichum_aureum_C235391.p1__Acrostichum_aureum_C236765.p1	0.1043	0.41581	2790.0	276.0	2.70108	GF_000502	0.9474	4.235	10.0	0.2237	291.0	Acrostichum_aureum_C235391.p1	Acrostichum_aureum_C236765.p1	0.2	0.5
Acrostichum_aureum_C235391.p1__Acrostichum_aureum_C235609.p1	0.20968	0.38291	2790.0	276.0	2.53042	GF_000502	0.8941	6.0549	10.0	0.1477	585.0	Acrostichum_aureum_C235391.p1	Acrostichum_aureum_C235609.p1	0.2	0.0
Acrostichum_aureum_scaffold8953.p4__Acrostichum_aureum_scaffold8954.p2	1.0	1.0	321.0	321.0	0.0	GF_003125	0.0	0.0	2.0	0.001	321.0	Acrostichum_aureum_scaffold8953.p4	Acrostichum_aureum_scaffold8954.p2	1.0	0.0
Acrostichum_aureum_C229209.p1__Acrostichum_aureum_C234335.p1	0.67197	0.43787	1509.0	1014.0	1.42354	GF_002318	0.8294	63.2112	2.0	0.0131	1014.0	Acrostichum_aureum_C229209.p1	Acrostichum_aureum_C234335.p1	1.0	0.0
Acrostichum_aureum_C231571.p1__Acrostichum_aureum_scaffold6966.p1	0.75771	0.58527	1362.0	1032.0	0.73372	GF_002403	0.3443	67.225	2.0	0.0051	1032.0	Acrostichum_aureum_C231571.p1	Acrostichum_aureum_scaffold6966.p1	1.0	0.0
Acrostichum_aureum_scaffold7092.p1__Acrostichum_aureum_scaffold7093.p1	0.88119	0.97004	909.0	801.0	0.03574	GF_003057	0.0258	0.0471	2.0	0.5477	801.0	Acrostichum_aureum_scaffold7092.p1	Acrostichum_aureum_scaffold7093.p1	1.0	1.0
Acrostichum_aureum_C236901.p1__Acrostichum_aureum_C238461.p1	0.82186	0.45173	2004.0	1647.0	1.56274	GF_002556	0.8691	3.9994	2.0	0.2173	1647.0	Acrostichum_aureum_C236901.p1	Acrostichum_aureum_C238461.p1	1.0	1.0
Acrostichum_aureum_scaffold4592.p1__Acrostichum_aureum_scaffold4593.p1	0.91429	1.0	2520.0	1653.0	0.0011	GF_001680	0.0	0.0	3.0	0.5246	2304.0	Acrostichum_aureum_scaffold4592.p1	Acrostichum_aureum_scaffold4593.p1	1.0	0.0
Acrostichum_aureum_scaffold4592.p1__Acrostichum_aureum_scaffold9007.p1	0.65595	0.43013	2520.0	1653.0	1.73288	GF_001680	0.8764	69.5996	4.0	0.0126	1653.0	Acrostichum_aureum_scaffold9007.p1	Acrostichum_aureum_scaffold4592.p1	0.5	0.0
Acrostichum_aureum_scaffold4593.p1__Acrostichum_aureum_scaffold9007.p1	0.6631	0.42849	2520.0	1653.0	1.73288	GF_001680	0.8764	69.5997	4.0	0.0126	1671.0	Acrostichum_aureum_scaffold9007.p1	Acrostichum_aureum_scaffold4593.p1	0.5	0.0
