	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Crepidomanes_minutum_scaffold12637.p1__Crepidomanes_minutum_scaffold15661.p1	0.87789	0.60777	909.0	798.0	0.62718	GF_001925	0.3155	61.9438	2.0	0.0051	798.0	Crepidomanes_minutum_scaffold12637.p1	Crepidomanes_minutum_scaffold15661.p1	1.0	0.0
Crepidomanes_minutum_C378799.p1__Crepidomanes_minutum_scaffold13695.p1	0.41553	0.43956	657.0	237.0	1.5358	GF_000502	0.8717	69.1927	5.0	0.0126	273.0	Crepidomanes_minutum_C378799.p1	Crepidomanes_minutum_scaffold13695.p1	1.0	0.0
Crepidomanes_minutum_C369985.p1__Crepidomanes_minutum_scaffold8307.p1	0.61644	0.57037	657.0	237.0	0.85016	GF_000502	0.3736	3.9692	6.0	0.0941	405.0	Crepidomanes_minutum_C369985.p1	Crepidomanes_minutum_scaffold8307.p1	1.0	1.0
Crepidomanes_minutum_C369985.p1__Crepidomanes_minutum_C373601.p1	0.56621	0.55914	657.0	237.0	0.88257	GF_000502	0.2751	3.5931	7.0	0.0766	372.0	Crepidomanes_minutum_C373601.p1	Crepidomanes_minutum_C369985.p1	0.5	1.0
Crepidomanes_minutum_C373601.p1__Crepidomanes_minutum_scaffold8307.p1	0.59361	0.48718	657.0	237.0	1.13233	GF_000502	0.3334	65.5524	7.0	0.0051	390.0	Crepidomanes_minutum_C373601.p1	Crepidomanes_minutum_scaffold8307.p1	0.5	0.0
Crepidomanes_minutum_C373601.p1__Crepidomanes_minutum_C378799.p1	0.42009	0.49275	657.0	237.0	1.41676	GF_000502	0.5867	3.9898	8.0	0.147	276.0	Crepidomanes_minutum_C378799.p1	Crepidomanes_minutum_C373601.p1	0.16667	0.5
Crepidomanes_minutum_C369985.p1__Crepidomanes_minutum_C378799.p1	0.44292	0.45361	657.0	237.0	1.62679	GF_000502	0.7608	4.5312	8.0	0.1679	291.0	Crepidomanes_minutum_C378799.p1	Crepidomanes_minutum_C369985.p1	0.16667	0.5
Crepidomanes_minutum_C378799.p1__Crepidomanes_minutum_scaffold8307.p1	0.45205	0.45118	657.0	237.0	1.87655	GF_000502	0.7875	61.8028	8.0	0.0127	297.0	Crepidomanes_minutum_C378799.p1	Crepidomanes_minutum_scaffold8307.p1	0.16667	0.0
Crepidomanes_minutum_C373601.p1__Crepidomanes_minutum_scaffold13695.p1	0.38356	0.46825	657.0	237.0	1.66834	GF_000502	0.7613	6.4639	8.0	0.1178	252.0	Crepidomanes_minutum_scaffold13695.p1	Crepidomanes_minutum_C373601.p1	0.16667	0.0
Crepidomanes_minutum_C369985.p1__Crepidomanes_minutum_scaffold13695.p1	0.42466	0.39068	657.0	237.0	1.87837	GF_000502	0.769	17.7877	8.0	0.0432	279.0	Crepidomanes_minutum_scaffold13695.p1	Crepidomanes_minutum_C369985.p1	0.16667	0.0
Crepidomanes_minutum_scaffold13695.p1__Crepidomanes_minutum_scaffold8307.p1	0.44749	0.43537	657.0	237.0	2.12813	GF_000502	0.7488	63.1544	8.0	0.0119	294.0	Crepidomanes_minutum_scaffold13695.p1	Crepidomanes_minutum_scaffold8307.p1	0.16667	0.0
Crepidomanes_minutum_scaffold4835.p1__Crepidomanes_minutum_scaffold4837.p1	1.0	1.0	1284.0	1284.0	0.0	GF_002318	0.0	0.0	2.0	0.4534	1284.0	Crepidomanes_minutum_scaffold4835.p1	Crepidomanes_minutum_scaffold4837.p1	1.0	0.0
Crepidomanes_minutum_scaffold7645.p1__Crepidomanes_minutum_scaffold7646.p2	0.41825	1.0	789.0	330.0	0.00054	GF_002403	0.0	0.0	2.0	0.4524	330.0	Crepidomanes_minutum_scaffold7645.p1	Crepidomanes_minutum_scaffold7646.p2	1.0	0.0
