	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-SKYV-2000480-Vittaria_lineata.p3__scaffold-SKYV-2000481-Vittaria_lineata.p3	1.0	0.99742	387.0	387.0	0.0	GF_001925	0.0	0.0075	2.0	0.001	387.0	scaffold-SKYV-2000480-Vittaria_lineata.p3	scaffold-SKYV-2000481-Vittaria_lineata.p3	1.0	1.0
scaffold-SKYV-2002843-Vittaria_lineata.p1__scaffold-SKYV-2063773-Vittaria_lineata.p1	0.36499	0.49593	1011.0	330.0	1.29937	GF_000502	0.5836	5.7089	6.0	0.1022	369.0	scaffold-SKYV-2002843-Vittaria_lineata.p1	scaffold-SKYV-2063773-Vittaria_lineata.p1	1.0	0.0
scaffold-SKYV-2008097-Vittaria_lineata.p1__scaffold-SKYV-2008098-Vittaria_lineata.p1	0.87537	1.0	1011.0	330.0	0.0	GF_000502	0.0	0.0	7.0	99.0	885.0	scaffold-SKYV-2008098-Vittaria_lineata.p1	scaffold-SKYV-2008097-Vittaria_lineata.p1	1.0	0.0
scaffold-SKYV-2003667-Vittaria_lineata.p1__scaffold-SKYV-2008098-Vittaria_lineata.p1	0.87537	0.77853	1011.0	330.0	0.35595	GF_000502	0.1631	0.5959	8.0	0.2736	885.0	scaffold-SKYV-2003667-Vittaria_lineata.p1	scaffold-SKYV-2008098-Vittaria_lineata.p1	0.5	0.5
scaffold-SKYV-2003667-Vittaria_lineata.p1__scaffold-SKYV-2008097-Vittaria_lineata.p1	0.87537	0.77853	1011.0	330.0	0.35595	GF_000502	0.1631	0.5959	8.0	0.2736	885.0	scaffold-SKYV-2003667-Vittaria_lineata.p1	scaffold-SKYV-2008097-Vittaria_lineata.p1	0.5	0.5
scaffold-SKYV-2003667-Vittaria_lineata.p1__scaffold-SKYV-2004647-Vittaria_lineata.p1	0.8724	0.58277	1011.0	330.0	0.85771	GF_000502	0.4286	3.2831	9.0	0.1306	882.0	scaffold-SKYV-2004647-Vittaria_lineata.p1	scaffold-SKYV-2003667-Vittaria_lineata.p1	0.33333	0.33333
scaffold-SKYV-2004647-Vittaria_lineata.p1__scaffold-SKYV-2008098-Vittaria_lineata.p1	0.86944	0.59386	1011.0	330.0	0.8423	GF_000502	0.3853	1.6693	9.0	0.2308	879.0	scaffold-SKYV-2004647-Vittaria_lineata.p1	scaffold-SKYV-2008098-Vittaria_lineata.p1	0.33333	0.33333
scaffold-SKYV-2004647-Vittaria_lineata.p1__scaffold-SKYV-2008097-Vittaria_lineata.p1	0.86944	0.59386	1011.0	330.0	0.8423	GF_000502	0.3853	1.6693	9.0	0.2308	879.0	scaffold-SKYV-2004647-Vittaria_lineata.p1	scaffold-SKYV-2008097-Vittaria_lineata.p1	0.33333	0.33333
scaffold-SKYV-2002843-Vittaria_lineata.p1__scaffold-SKYV-2004647-Vittaria_lineata.p1	0.32641	0.47273	1011.0	330.0	2.11268	GF_000502	0.7814	2.3886	10.0	0.3272	330.0	scaffold-SKYV-2002843-Vittaria_lineata.p1	scaffold-SKYV-2004647-Vittaria_lineata.p1	0.125	0.16667
scaffold-SKYV-2002843-Vittaria_lineata.p1__scaffold-SKYV-2003667-Vittaria_lineata.p1	0.32641	0.45455	1011.0	330.0	1.95017	GF_000502	0.773	69.1348	10.0	0.0112	330.0	scaffold-SKYV-2002843-Vittaria_lineata.p1	scaffold-SKYV-2003667-Vittaria_lineata.p1	0.125	0.0
scaffold-SKYV-2002843-Vittaria_lineata.p1__scaffold-SKYV-2008098-Vittaria_lineata.p1	0.32641	0.46667	1011.0	330.0	1.93476	GF_000502	0.7596	2.8234	10.0	0.269	330.0	scaffold-SKYV-2002843-Vittaria_lineata.p1	scaffold-SKYV-2008098-Vittaria_lineata.p1	0.125	0.16667
scaffold-SKYV-2002843-Vittaria_lineata.p1__scaffold-SKYV-2008097-Vittaria_lineata.p1	0.32641	0.46667	1011.0	330.0	1.93476	GF_000502	0.7596	2.8234	10.0	0.269	330.0	scaffold-SKYV-2002843-Vittaria_lineata.p1	scaffold-SKYV-2008097-Vittaria_lineata.p1	0.125	0.16667
scaffold-SKYV-2004647-Vittaria_lineata.p1__scaffold-SKYV-2063773-Vittaria_lineata.p1	0.80415	0.492	1011.0	330.0	1.45139	GF_000502	0.6678	2.0055	10.0	0.333	813.0	scaffold-SKYV-2063773-Vittaria_lineata.p1	scaffold-SKYV-2004647-Vittaria_lineata.p1	0.125	0.16667
scaffold-SKYV-2003667-Vittaria_lineata.p1__scaffold-SKYV-2063773-Vittaria_lineata.p1	0.78042	0.50824	1011.0	330.0	1.28888	GF_000502	0.4616	62.4774	10.0	0.0074	789.0	scaffold-SKYV-2063773-Vittaria_lineata.p1	scaffold-SKYV-2003667-Vittaria_lineata.p1	0.125	0.0
scaffold-SKYV-2008098-Vittaria_lineata.p1__scaffold-SKYV-2063773-Vittaria_lineata.p1	0.77745	0.51145	1011.0	330.0	1.27347	GF_000502	0.4898	4.2919	10.0	0.1141	786.0	scaffold-SKYV-2063773-Vittaria_lineata.p1	scaffold-SKYV-2008098-Vittaria_lineata.p1	0.125	0.16667
scaffold-SKYV-2008097-Vittaria_lineata.p1__scaffold-SKYV-2063773-Vittaria_lineata.p1	0.77745	0.51145	1011.0	330.0	1.27347	GF_000502	0.4898	4.2919	10.0	0.1141	786.0	scaffold-SKYV-2063773-Vittaria_lineata.p1	scaffold-SKYV-2008097-Vittaria_lineata.p1	0.125	0.16667
scaffold-SKYV-2058974-Vittaria_lineata.p1__scaffold-SKYV-2063355-Vittaria_lineata.p1	0.64017	0.7037	717.0	459.0	0.34716	GF_003247	0.1903	2.8987	2.0	0.0656	459.0	scaffold-SKYV-2058974-Vittaria_lineata.p1	scaffold-SKYV-2063355-Vittaria_lineata.p1	1.0	1.0
scaffold-SKYV-2017050-Vittaria_lineata.p1__scaffold-SKYV-2062728-Vittaria_lineata.p1	0.86066	0.48413	732.0	630.0	1.20494	GF_003125	0.6429	58.7422	2.0	0.0109	630.0	scaffold-SKYV-2017050-Vittaria_lineata.p1	scaffold-SKYV-2062728-Vittaria_lineata.p1	1.0	0.0
scaffold-SKYV-2060411-Vittaria_lineata.p1__scaffold-SKYV-2063667-Vittaria_lineata.p1	0.05599	0.40568	6912.0	54.0	1.36214	GF_000011	1.1287	52.3575	41.0	0.0216	387.0	scaffold-SKYV-2063667-Vittaria_lineata.p1	scaffold-SKYV-2060411-Vittaria_lineata.p1	1.0	0.0
scaffold-SKYV-2063667-Vittaria_lineata.p1__scaffold-SKYV-2064516-Vittaria_lineata.p1	0.10894	0.42497	6912.0	54.0	1.36507	GF_000011	1.0671	43.6884	42.0	0.0244	753.0	scaffold-SKYV-2064516-Vittaria_lineata.p1	scaffold-SKYV-2063667-Vittaria_lineata.p1	0.5	0.0
scaffold-SKYV-2060411-Vittaria_lineata.p1__scaffold-SKYV-2064516-Vittaria_lineata.p1	0.05729	0.44192	6912.0	54.0	1.31101	GF_000011	0.6994	3.7666	42.0	0.1857	396.0	scaffold-SKYV-2064516-Vittaria_lineata.p1	scaffold-SKYV-2060411-Vittaria_lineata.p1	0.5	1.0
scaffold-SKYV-2017708-Vittaria_lineata.p1__scaffold-SKYV-2065007-Vittaria_lineata.p1	0.16623	0.36728	6912.0	54.0	2.43886	GF_000011	13.3374	28.1532	43.0	0.4737	1149.0	scaffold-SKYV-2065007-Vittaria_lineata.p1	scaffold-SKYV-2017708-Vittaria_lineata.p1	1.0	0.0
scaffold-SKYV-2008629-Vittaria_lineata.p1__scaffold-SKYV-2063612-Vittaria_lineata.p1	0.11111	0.33073	6912.0	54.0	2.16514	GF_000011	0.5028	50.703	44.0	0.0099	768.0	scaffold-SKYV-2008629-Vittaria_lineata.p1	scaffold-SKYV-2063612-Vittaria_lineata.p1	1.0	0.0
scaffold-SKYV-2008629-Vittaria_lineata.p1__scaffold-SKYV-2065007-Vittaria_lineata.p1	0.11502	0.3522	6912.0	54.0	2.45939	GF_000011	1.8423	57.2132	45.0	0.0322	795.0	scaffold-SKYV-2065007-Vittaria_lineata.p1	scaffold-SKYV-2008629-Vittaria_lineata.p1	0.25	0.0
scaffold-SKYV-2063612-Vittaria_lineata.p1__scaffold-SKYV-2065007-Vittaria_lineata.p1	0.11068	0.36863	6912.0	54.0	2.51663	GF_000011	1.1892	2.5223	45.0	0.4715	765.0	scaffold-SKYV-2065007-Vittaria_lineata.p1	scaffold-SKYV-2063612-Vittaria_lineata.p1	0.25	1.0
scaffold-SKYV-2008629-Vittaria_lineata.p1__scaffold-SKYV-2017708-Vittaria_lineata.p1	0.11979	0.35386	6912.0	54.0	2.64205	GF_000011	1.1154	59.8378	45.0	0.0186	828.0	scaffold-SKYV-2017708-Vittaria_lineata.p1	scaffold-SKYV-2008629-Vittaria_lineata.p1	0.25	0.0
