	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Diplazium_chinense_C205962.p1__Diplazium_chinense_C210780.p1	0.80576	0.61905	417.0	336.0	0.61224	GF_001925	0.3126	3.5922	2.0	0.087	336.0	Diplazium_chinense_C205962.p1	Diplazium_chinense_C210780.p1	1.0	1.0
Diplazium_chinense_C176063.p1__Diplazium_chinense_scaffold624.p1	0.10703	0.84175	2775.0	270.0	0.22928	GF_000502	0.1133	0.4239	5.0	0.2672	297.0	Diplazium_chinense_scaffold624.p1	Diplazium_chinense_C176063.p1	1.0	1.0
Diplazium_chinense_scaffold624.p1__Diplazium_chinense_scaffold79.p1	0.39676	0.76748	2775.0	270.0	0.3272	GF_000502	0.1711	0.875	6.0	0.1956	1101.0	Diplazium_chinense_scaffold79.p1	Diplazium_chinense_scaffold624.p1	0.5	0.5
Diplazium_chinense_C176063.p1__Diplazium_chinense_scaffold79.p1	0.10703	0.77441	2775.0	270.0	0.2677	GF_000502	0.139	0.99	6.0	0.1404	297.0	Diplazium_chinense_scaffold79.p1	Diplazium_chinense_C176063.p1	0.5	0.5
Diplazium_chinense_C224874.p1__Diplazium_chinense_scaffold79.p1	0.39568	0.67942	2775.0	270.0	0.41507	GF_000502	0.1404	2.0681	7.0	0.0679	1098.0	Diplazium_chinense_C224874.p1	Diplazium_chinense_scaffold79.p1	0.33333	0.5
Diplazium_chinense_C224874.p1__Diplazium_chinense_scaffold624.p1	0.39568	0.64754	2775.0	270.0	0.51733	GF_000502	0.2282	19.3144	7.0	0.0118	1098.0	Diplazium_chinense_C224874.p1	Diplazium_chinense_scaffold624.p1	0.33333	0.0
Diplazium_chinense_C176063.p1__Diplazium_chinense_C224874.p1	0.10703	0.6936	2775.0	270.0	0.45783	GF_000502	0.189	3.0022	7.0	0.063	297.0	Diplazium_chinense_C224874.p1	Diplazium_chinense_C176063.p1	0.33333	0.5
Diplazium_chinense_C224874.p1__Diplazium_chinense_C230986.p1	0.37297	0.42899	2775.0	270.0	1.86533	GF_000502	0.7891	10.3929	8.0	0.0759	1035.0	Diplazium_chinense_C230986.p1	Diplazium_chinense_C224874.p1	0.25	0.0
Diplazium_chinense_C230986.p1__Diplazium_chinense_scaffold79.p1	0.37189	0.44477	2775.0	270.0	1.7771	GF_000502	0.7743	2.3475	8.0	0.3298	1032.0	Diplazium_chinense_C230986.p1	Diplazium_chinense_scaffold79.p1	0.25	0.5
Diplazium_chinense_C230986.p1__Diplazium_chinense_scaffold624.p1	0.37838	0.43048	2775.0	270.0	1.87936	GF_000502	0.9503	2.8215	8.0	0.3368	1050.0	Diplazium_chinense_C230986.p1	Diplazium_chinense_scaffold624.p1	0.25	0.5
Diplazium_chinense_C176063.p1__Diplazium_chinense_C230986.p1	0.0973	0.45556	2775.0	270.0	1.81986	GF_000502	0.8046	13.502	8.0	0.0596	270.0	Diplazium_chinense_C230986.p1	Diplazium_chinense_C176063.p1	0.25	0.0
