	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Nephrolepis_biserrata_C264359.p1__Nephrolepis_biserrata_C305282.p1	0.35985	0.54737	792.0	285.0	1.06934	GF_001925	0.5043	4.8156	2.0	0.1047	285.0	Nephrolepis_biserrata_C264359.p1	Nephrolepis_biserrata_C305282.p1	1.0	1.0
Nephrolepis_biserrata_C306724.p1__Nephrolepis_biserrata_scaffold13892.p2	0.31027	0.46523	1344.0	408.0	1.21915	GF_000502	0.6001	66.6929	6.0	0.009	417.0	Nephrolepis_biserrata_C306724.p1	Nephrolepis_biserrata_scaffold13892.p2	1.0	0.0
Nephrolepis_biserrata_C325702.p1__Nephrolepis_biserrata_scaffold12273.p1	0.79688	0.72456	1344.0	408.0	0.39253	GF_000502	0.1601	1.9955	7.0	0.0802	1071.0	Nephrolepis_biserrata_scaffold12273.p1	Nephrolepis_biserrata_C325702.p1	1.0	1.0
Nephrolepis_biserrata_C329640.p1__Nephrolepis_biserrata_scaffold6571.p1	0.50223	0.69481	1344.0	408.0	0.45223	GF_000502	0.1737	6.0137	8.0	0.0289	675.0	Nephrolepis_biserrata_scaffold6571.p1	Nephrolepis_biserrata_C329640.p1	1.0	0.0
Nephrolepis_biserrata_scaffold12273.p1__Nephrolepis_biserrata_scaffold6571.p1	0.7433	0.48749	1344.0	408.0	1.51618	GF_000502	0.6207	76.7711	9.0	0.0081	999.0	Nephrolepis_biserrata_scaffold12273.p1	Nephrolepis_biserrata_scaffold6571.p1	0.25	0.0
Nephrolepis_biserrata_C329640.p1__Nephrolepis_biserrata_scaffold12273.p1	0.47545	0.53052	1344.0	408.0	1.50883	GF_000502	0.5994	4.2944	9.0	0.1396	639.0	Nephrolepis_biserrata_scaffold12273.p1	Nephrolepis_biserrata_C329640.p1	0.25	0.5
Nephrolepis_biserrata_C325702.p1__Nephrolepis_biserrata_scaffold6571.p1	0.7433	0.47447	1344.0	408.0	1.57407	GF_000502	0.6359	72.511	9.0	0.0088	999.0	Nephrolepis_biserrata_C325702.p1	Nephrolepis_biserrata_scaffold6571.p1	0.25	0.0
Nephrolepis_biserrata_C325702.p1__Nephrolepis_biserrata_C329640.p1	0.47768	0.51246	1344.0	408.0	1.56672	GF_000502	0.6102	4.8589	9.0	0.1256	642.0	Nephrolepis_biserrata_C325702.p1	Nephrolepis_biserrata_C329640.p1	0.25	0.5
Nephrolepis_biserrata_C306724.p1__Nephrolepis_biserrata_scaffold12273.p1	0.59821	0.49627	1344.0	408.0	1.48516	GF_000502	0.6047	19.5839	10.0	0.0309	804.0	Nephrolepis_biserrata_C306724.p1	Nephrolepis_biserrata_scaffold12273.p1	0.125	0.0
Nephrolepis_biserrata_C306724.p1__Nephrolepis_biserrata_C325702.p1	0.60045	0.48203	1344.0	408.0	1.54305	GF_000502	0.5815	13.0515	10.0	0.0446	807.0	Nephrolepis_biserrata_C306724.p1	Nephrolepis_biserrata_C325702.p1	0.125	0.0
Nephrolepis_biserrata_C306724.p1__Nephrolepis_biserrata_scaffold6571.p1	0.61384	0.53455	1344.0	408.0	1.16164	GF_000502	0.5233	3.0554	10.0	0.1713	825.0	Nephrolepis_biserrata_C306724.p1	Nephrolepis_biserrata_scaffold6571.p1	0.125	1.0
Nephrolepis_biserrata_C306724.p1__Nephrolepis_biserrata_C329640.p1	0.45312	0.53202	1344.0	408.0	1.15429	GF_000502	0.5459	8.0576	10.0	0.0678	609.0	Nephrolepis_biserrata_C306724.p1	Nephrolepis_biserrata_C329640.p1	0.125	0.0
Nephrolepis_biserrata_scaffold12273.p1__Nephrolepis_biserrata_scaffold13892.p2	0.31696	0.41549	1344.0	408.0	1.95819	GF_000502	0.8412	67.8681	10.0	0.0124	426.0	Nephrolepis_biserrata_scaffold13892.p2	Nephrolepis_biserrata_scaffold12273.p1	0.125	0.0
Nephrolepis_biserrata_C325702.p1__Nephrolepis_biserrata_scaffold13892.p2	0.3192	0.4289	1344.0	408.0	2.01608	GF_000502	0.8133	61.692	10.0	0.0132	429.0	Nephrolepis_biserrata_scaffold13892.p2	Nephrolepis_biserrata_C325702.p1	0.125	0.0
Nephrolepis_biserrata_scaffold13892.p2__Nephrolepis_biserrata_scaffold6571.p1	0.31696	0.49765	1344.0	408.0	1.63467	GF_000502	0.5968	5.6953	10.0	0.1048	426.0	Nephrolepis_biserrata_scaffold13892.p2	Nephrolepis_biserrata_scaffold6571.p1	0.125	0.0
Nephrolepis_biserrata_C329640.p1__Nephrolepis_biserrata_scaffold13892.p2	0.31696	0.48592	1344.0	408.0	1.62732	GF_000502	0.5869	66.5559	10.0	0.0088	426.0	Nephrolepis_biserrata_scaffold13892.p2	Nephrolepis_biserrata_C329640.p1	0.125	0.0
Nephrolepis_biserrata_scaffold7423.p2__Nephrolepis_biserrata_scaffold7424.p2	1.0	1.0	336.0	336.0	0.0	GF_003247	0.0	0.0	2.0	0.3603	336.0	Nephrolepis_biserrata_scaffold7423.p2	Nephrolepis_biserrata_scaffold7424.p2	1.0	0.0
Nephrolepis_biserrata_scaffold4552.p1__Nephrolepis_biserrata_scaffold4553.p1	1.0	1.0	582.0	582.0	0.0	GF_003125	0.0	0.0	2.0	0.001	582.0	Nephrolepis_biserrata_scaffold4552.p1	Nephrolepis_biserrata_scaffold4553.p1	1.0	0.0
Nephrolepis_biserrata_C319138.p1__Nephrolepis_biserrata_scaffold10933.p2	0.31111	0.81905	675.0	210.0	0.26048	GF_002318	0.1352	0.4668	2.0	0.2897	210.0	Nephrolepis_biserrata_C319138.p1	Nephrolepis_biserrata_scaffold10933.p2	1.0	1.0
Nephrolepis_biserrata_scaffold13781.p1__Nephrolepis_biserrata_scaffold14377.p1	0.99743	0.80155	1167.0	1164.0	0.08554	GF_002403	0.0416	1.988	2.0	0.0209	1164.0	Nephrolepis_biserrata_scaffold13781.p1	Nephrolepis_biserrata_scaffold14377.p1	1.0	1.0
Nephrolepis_biserrata_scaffold2877.p4__Nephrolepis_biserrata_scaffold2878.p3	1.0	1.0	306.0	306.0	0.0	GF_003057	0.0	0.0	2.0	0.2614	306.0	Nephrolepis_biserrata_scaffold2877.p4	Nephrolepis_biserrata_scaffold2878.p3	1.0	0.0
Nephrolepis_biserrata_C329834.p1__Nephrolepis_biserrata_scaffold793.p1	0.94416	0.6356	1773.0	1674.0	0.61328	GF_002556	0.345	1.958	2.0	0.1762	1674.0	Nephrolepis_biserrata_C329834.p1	Nephrolepis_biserrata_scaffold793.p1	1.0	1.0
