	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Leucostegia_immersa_C225216.p1__Leucostegia_immersa_C233004.p1	0.86813	0.48945	546.0	474.0	1.04152	GF_001925	0.5849	11.2094	2.0	0.0522	474.0	Leucostegia_immersa_C225216.p1	Leucostegia_immersa_C233004.p1	1.0	0.0
Leucostegia_immersa_scaffold9742.p1__Leucostegia_immersa_scaffold9743.p1	0.76613	1.0	744.0	309.0	0.0	GF_000502	0.0	0.0	6.0	0.001	570.0	Leucostegia_immersa_scaffold9743.p1	Leucostegia_immersa_scaffold9742.p1	1.0	0.0
Leucostegia_immersa_C244636.p1__Leucostegia_immersa_scaffold9919.p1	0.44758	0.75375	744.0	309.0	0.19247	GF_000502	0.0731	20.1955	7.0	0.0036	333.0	Leucostegia_immersa_C244636.p1	Leucostegia_immersa_scaffold9919.p1	1.0	0.0
Leucostegia_immersa_C244636.p1__Leucostegia_immersa_C256825.p1	0.43952	0.63303	744.0	309.0	1.06703	GF_000502	0.2317	68.7067	8.0	0.0034	327.0	Leucostegia_immersa_C256825.p1	Leucostegia_immersa_C244636.p1	0.5	0.0
Leucostegia_immersa_C256825.p1__Leucostegia_immersa_scaffold9919.p1	0.83871	0.50801	744.0	309.0	1.14988	GF_000502	0.238	67.8415	8.0	0.0035	624.0	Leucostegia_immersa_C256825.p1	Leucostegia_immersa_scaffold9919.p1	0.5	0.0
Leucostegia_immersa_C248092.p1__Leucostegia_immersa_C256825.p1	0.81452	0.50165	744.0	309.0	1.24322	GF_000502	0.3721	63.1286	9.0	0.0059	606.0	Leucostegia_immersa_C248092.p1	Leucostegia_immersa_C256825.p1	0.33333	0.0
Leucostegia_immersa_C244636.p1__Leucostegia_immersa_C248092.p1	0.43548	0.62037	744.0	309.0	0.85823	GF_000502	0.273	6.4765	9.0	0.0422	324.0	Leucostegia_immersa_C248092.p1	Leucostegia_immersa_C244636.p1	0.33333	0.0
Leucostegia_immersa_C248092.p1__Leucostegia_immersa_scaffold9919.p1	0.82661	0.53333	744.0	309.0	0.94108	GF_000502	0.2712	64.6219	9.0	0.0042	615.0	Leucostegia_immersa_C248092.p1	Leucostegia_immersa_scaffold9919.p1	0.33333	0.0
Leucostegia_immersa_C248092.p1__Leucostegia_immersa_scaffold9743.p1	0.72581	0.44259	744.0	309.0	1.7072	GF_000502	0.7874	53.9313	10.0	0.0146	540.0	Leucostegia_immersa_scaffold9743.p1	Leucostegia_immersa_C248092.p1	0.125	0.0
Leucostegia_immersa_C256825.p1__Leucostegia_immersa_scaffold9743.p1	0.71774	0.42509	744.0	309.0	2.09924	GF_000502	0.6988	54.6248	10.0	0.0128	534.0	Leucostegia_immersa_scaffold9743.p1	Leucostegia_immersa_C256825.p1	0.125	0.0
Leucostegia_immersa_C244636.p1__Leucostegia_immersa_scaffold9743.p1	0.41935	0.48077	744.0	309.0	1.71425	GF_000502	0.6094	55.0065	10.0	0.0111	312.0	Leucostegia_immersa_scaffold9743.p1	Leucostegia_immersa_C244636.p1	0.125	0.0
Leucostegia_immersa_scaffold9743.p1__Leucostegia_immersa_scaffold9919.p1	0.75	0.43369	744.0	309.0	1.7971	GF_000502	0.5997	54.6359	10.0	0.011	558.0	Leucostegia_immersa_scaffold9743.p1	Leucostegia_immersa_scaffold9919.p1	0.125	0.0
Leucostegia_immersa_C248092.p1__Leucostegia_immersa_scaffold9742.p1	0.72581	0.44259	744.0	309.0	1.7072	GF_000502	0.7874	53.9313	10.0	0.0146	540.0	Leucostegia_immersa_scaffold9742.p1	Leucostegia_immersa_C248092.p1	0.125	0.0
Leucostegia_immersa_C256825.p1__Leucostegia_immersa_scaffold9742.p1	0.71774	0.42509	744.0	309.0	2.09924	GF_000502	0.6988	54.6249	10.0	0.0128	534.0	Leucostegia_immersa_scaffold9742.p1	Leucostegia_immersa_C256825.p1	0.125	0.0
Leucostegia_immersa_C244636.p1__Leucostegia_immersa_scaffold9742.p1	0.41935	0.48077	744.0	309.0	1.71425	GF_000502	0.6094	55.0064	10.0	0.0111	312.0	Leucostegia_immersa_scaffold9742.p1	Leucostegia_immersa_C244636.p1	0.125	0.0
Leucostegia_immersa_scaffold9742.p1__Leucostegia_immersa_scaffold9919.p1	0.75	0.43369	744.0	309.0	1.7971	GF_000502	0.5993	54.7172	10.0	0.011	558.0	Leucostegia_immersa_scaffold9742.p1	Leucostegia_immersa_scaffold9919.p1	0.125	0.0
Leucostegia_immersa_scaffold7052.p3__Leucostegia_immersa_scaffold7053.p3	1.0	1.0	318.0	318.0	0.0	GF_003125	0.0	0.0	2.0	0.5021	318.0	Leucostegia_immersa_scaffold7052.p3	Leucostegia_immersa_scaffold7053.p3	1.0	0.0
Leucostegia_immersa_scaffold3782.p1__Leucostegia_immersa_scaffold3783.p1	0.42926	1.0	3711.0	18.0	0.0	GF_000011	0.0	0.0	35.0	1.9958	1593.0	Leucostegia_immersa_scaffold3783.p1	Leucostegia_immersa_scaffold3782.p1	1.0	0.0
Leucostegia_immersa_C266197.p1__Leucostegia_immersa_C266487.p1	0.26758	0.49245	3711.0	18.0	1.30905	GF_000011	3.8681	40.6789	36.0	0.0951	993.0	Leucostegia_immersa_C266487.p1	Leucostegia_immersa_C266197.p1	1.0	0.0
Leucostegia_immersa_C266487.p1__Leucostegia_immersa_scaffold10440.p1	0.25788	0.47649	3711.0	18.0	1.433	GF_000011	2.2241	10.9763	37.0	0.2026	957.0	Leucostegia_immersa_scaffold10440.p1	Leucostegia_immersa_C266487.p1	0.5	0.0
Leucostegia_immersa_C266197.p1__Leucostegia_immersa_scaffold10440.p1	0.26031	0.47205	3711.0	18.0	1.47001	GF_000011	18.8001	10.9263	37.0	1.7206	966.0	Leucostegia_immersa_scaffold10440.p1	Leucostegia_immersa_C266197.p1	0.5	0.0
Leucostegia_immersa_scaffold10440.p1__Leucostegia_immersa_scaffold3783.p1	0.21423	0.39119	3711.0	18.0	2.70664	GF_000011	11.6092	0.1173	38.0	99.0	795.0	Leucostegia_immersa_scaffold3783.p1	Leucostegia_immersa_scaffold10440.p1	0.16667	0.25
Leucostegia_immersa_C266487.p1__Leucostegia_immersa_scaffold3783.p1	0.21827	0.35309	3711.0	18.0	2.8272	GF_000011	3.5491	4.8741	38.0	0.7281	810.0	Leucostegia_immersa_scaffold3783.p1	Leucostegia_immersa_C266487.p1	0.16667	0.25
Leucostegia_immersa_C266197.p1__Leucostegia_immersa_scaffold3783.p1	0.22312	0.37802	3711.0	18.0	2.86421	GF_000011	19.1889	10.2099	38.0	1.8794	828.0	Leucostegia_immersa_scaffold3783.p1	Leucostegia_immersa_C266197.p1	0.16667	0.0
Leucostegia_immersa_scaffold10440.p1__Leucostegia_immersa_scaffold3782.p1	0.21423	0.39119	3711.0	18.0	2.70664	GF_000011	11.6092	0.1173	38.0	99.0	795.0	Leucostegia_immersa_scaffold3782.p1	Leucostegia_immersa_scaffold10440.p1	0.16667	0.25
Leucostegia_immersa_C266487.p1__Leucostegia_immersa_scaffold3782.p1	0.21827	0.35309	3711.0	18.0	2.8272	GF_000011	3.5491	4.8741	38.0	0.7281	810.0	Leucostegia_immersa_scaffold3782.p1	Leucostegia_immersa_C266487.p1	0.16667	0.25
Leucostegia_immersa_C266197.p1__Leucostegia_immersa_scaffold3782.p1	0.22312	0.37802	3711.0	18.0	2.86421	GF_000011	19.3672	9.7119	38.0	1.9942	828.0	Leucostegia_immersa_scaffold3782.p1	Leucostegia_immersa_C266197.p1	0.16667	0.0
Leucostegia_immersa_C263075.p1__Leucostegia_immersa_scaffold8700.p1	0.28052	0.46302	3711.0	18.0	1.71248	GF_000011	15.818	19.7544	39.0	0.8007	1041.0	Leucostegia_immersa_scaffold8700.p1	Leucostegia_immersa_C263075.p1	1.0	0.0
Leucostegia_immersa_scaffold8693.p1__Leucostegia_immersa_scaffold8700.p1	0.30396	0.38475	3711.0	18.0	2.19018	GF_000011	22.2089	2.2993	40.0	9.6592	1128.0	Leucostegia_immersa_scaffold8700.p1	Leucostegia_immersa_scaffold8693.p1	0.5	1.0
Leucostegia_immersa_C263075.p1__Leucostegia_immersa_scaffold8693.p1	0.21989	0.38113	3711.0	18.0	2.59128	GF_000011	4.4822	13.1934	40.0	0.3397	816.0	Leucostegia_immersa_C263075.p1	Leucostegia_immersa_scaffold8693.p1	0.5	0.0
Leucostegia_immersa_scaffold5004.p1__Leucostegia_immersa_scaffold8700.p1	0.27324	0.40927	3711.0	18.0	1.81962	GF_000011	10.458	0.1056	41.0	99.0	1014.0	Leucostegia_immersa_scaffold8700.p1	Leucostegia_immersa_scaffold5004.p1	0.33333	1.0
Leucostegia_immersa_C263075.p1__Leucostegia_immersa_scaffold5004.p1	0.19644	0.37723	3711.0	18.0	2.22072	GF_000011	16.2111	19.7319	41.0	0.8216	729.0	Leucostegia_immersa_C263075.p1	Leucostegia_immersa_scaffold5004.p1	0.33333	0.0
Leucostegia_immersa_scaffold5004.p1__Leucostegia_immersa_scaffold8693.p1	0.26677	0.39697	3711.0	18.0	2.3229	GF_000011	5.1118	471.7492	41.0	0.0108	990.0	Leucostegia_immersa_scaffold8693.p1	Leucostegia_immersa_scaffold5004.p1	0.33333	0.0
Leucostegia_immersa_scaffold3783.p1__Leucostegia_immersa_scaffold8700.p1	0.17623	0.40826	3711.0	18.0	2.94373	GF_000011	19.088	11.6533	42.0	1.638	654.0	Leucostegia_immersa_scaffold3783.p1	Leucostegia_immersa_scaffold8700.p1	0.05	0.0
Leucostegia_immersa_C263075.p1__Leucostegia_immersa_scaffold3783.p1	0.11318	0.47381	3711.0	18.0	3.34483	GF_000011	2.1318	1.595	42.0	1.3365	420.0	Leucostegia_immersa_scaffold3783.p1	Leucostegia_immersa_C263075.p1	0.05	0.1
Leucostegia_immersa_scaffold3783.p1__Leucostegia_immersa_scaffold8693.p1	0.23605	0.38128	3711.0	18.0	3.44701	GF_000011	0.823	3.5593	42.0	0.2312	876.0	Leucostegia_immersa_scaffold3783.p1	Leucostegia_immersa_scaffold8693.p1	0.05	0.1
Leucostegia_immersa_scaffold3783.p1__Leucostegia_immersa_scaffold5004.p1	0.20534	0.39633	3711.0	18.0	2.64827	GF_000011	21.537	0.2367	42.0	91.0028	762.0	Leucostegia_immersa_scaffold3783.p1	Leucostegia_immersa_scaffold5004.p1	0.05	0.1
Leucostegia_immersa_scaffold3782.p1__Leucostegia_immersa_scaffold8700.p1	0.17623	0.40826	3711.0	18.0	2.94373	GF_000011	19.088	11.6534	42.0	1.638	654.0	Leucostegia_immersa_scaffold3782.p1	Leucostegia_immersa_scaffold8700.p1	0.05	0.0
Leucostegia_immersa_C263075.p1__Leucostegia_immersa_scaffold3782.p1	0.11318	0.47381	3711.0	18.0	3.34483	GF_000011	2.1318	1.595	42.0	1.3365	420.0	Leucostegia_immersa_scaffold3782.p1	Leucostegia_immersa_C263075.p1	0.05	0.1
Leucostegia_immersa_scaffold3782.p1__Leucostegia_immersa_scaffold8693.p1	0.23605	0.38128	3711.0	18.0	3.44701	GF_000011	0.823	3.5593	42.0	0.2312	876.0	Leucostegia_immersa_scaffold3782.p1	Leucostegia_immersa_scaffold8693.p1	0.05	0.1
Leucostegia_immersa_scaffold3782.p1__Leucostegia_immersa_scaffold5004.p1	0.20534	0.39633	3711.0	18.0	2.64827	GF_000011	1.8912	4.8323	42.0	0.3914	762.0	Leucostegia_immersa_scaffold3782.p1	Leucostegia_immersa_scaffold5004.p1	0.05	0.1
Leucostegia_immersa_scaffold10440.p1__Leucostegia_immersa_scaffold8700.p1	0.20695	0.3763	3711.0	18.0	2.85109	GF_000011	3.4656	8.5123	42.0	0.4071	768.0	Leucostegia_immersa_scaffold10440.p1	Leucostegia_immersa_scaffold8700.p1	0.05	0.0
Leucostegia_immersa_C263075.p1__Leucostegia_immersa_scaffold10440.p1	0.17866	0.38763	3711.0	18.0	3.25219	GF_000011	3.7251	50.2927	42.0	0.0741	663.0	Leucostegia_immersa_scaffold10440.p1	Leucostegia_immersa_C263075.p1	0.05	0.0
Leucostegia_immersa_scaffold10440.p1__Leucostegia_immersa_scaffold8693.p1	0.24171	0.36232	3711.0	18.0	3.35437	GF_000011	2.9673	4.2504	42.0	0.6981	897.0	Leucostegia_immersa_scaffold10440.p1	Leucostegia_immersa_scaffold8693.p1	0.05	0.1
Leucostegia_immersa_scaffold10440.p1__Leucostegia_immersa_scaffold5004.p1	0.21261	0.33967	3711.0	18.0	2.55563	GF_000011	2.8087	51.0449	42.0	0.055	789.0	Leucostegia_immersa_scaffold10440.p1	Leucostegia_immersa_scaffold5004.p1	0.05	0.0
Leucostegia_immersa_C266487.p1__Leucostegia_immersa_scaffold8700.p1	0.22555	0.39307	3711.0	18.0	2.97165	GF_000011	7.3513	33.9922	42.0	0.2163	837.0	Leucostegia_immersa_C266487.p1	Leucostegia_immersa_scaffold8700.p1	0.05	0.0
Leucostegia_immersa_C263075.p1__Leucostegia_immersa_C266487.p1	0.17138	0.38994	3711.0	18.0	3.37275	GF_000011	2.2986	16.4796	42.0	0.1395	636.0	Leucostegia_immersa_C266487.p1	Leucostegia_immersa_C263075.p1	0.05	0.0
Leucostegia_immersa_C266487.p1__Leucostegia_immersa_scaffold8693.p1	0.25707	0.35744	3711.0	18.0	3.47493	GF_000011	12.6457	30.3968	42.0	0.416	954.0	Leucostegia_immersa_C266487.p1	Leucostegia_immersa_scaffold8693.p1	0.05	0.0
Leucostegia_immersa_C266487.p1__Leucostegia_immersa_scaffold5004.p1	0.22635	0.36905	3711.0	18.0	2.67619	GF_000011	10.3647	44.7394	42.0	0.2317	840.0	Leucostegia_immersa_C266487.p1	Leucostegia_immersa_scaffold5004.p1	0.05	0.0
Leucostegia_immersa_C266197.p1__Leucostegia_immersa_scaffold8700.p1	0.22959	0.38028	3711.0	18.0	3.00866	GF_000011	5.9651	0.3996	42.0	14.9264	852.0	Leucostegia_immersa_C266197.p1	Leucostegia_immersa_scaffold8700.p1	0.05	0.1
Leucostegia_immersa_C263075.p1__Leucostegia_immersa_C266197.p1	0.17947	0.35285	3711.0	18.0	3.40976	GF_000011	20.4611	1.016	42.0	20.1396	666.0	Leucostegia_immersa_C266197.p1	Leucostegia_immersa_C263075.p1	0.05	0.1
Leucostegia_immersa_C266197.p1__Leucostegia_immersa_scaffold8693.p1	0.25869	0.34167	3711.0	18.0	3.51194	GF_000011	16.2049	18.8004	42.0	0.8619	960.0	Leucostegia_immersa_C266197.p1	Leucostegia_immersa_scaffold8693.p1	0.05	0.0
