	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Christensenia_aescuilfolira_C270850.p1__Christensenia_aescuilfolira_C279131.p1	0.35055	0.70877	813.0	285.0	0.28754	GF_001925	0.1427	4.8891	2.0	0.0292	285.0	Christensenia_aescuilfolira_C270850.p1	Christensenia_aescuilfolira_C279131.p1	1.0	1.0
Christensenia_aescuilfolira_scaffold4659.p1__Christensenia_aescuilfolira_scaffold4661.p1	0.44468	0.92496	2847.0	174.0	0.06429	GF_000502	0.0	0.0	6.0	0.5516	1266.0	Christensenia_aescuilfolira_scaffold4659.p1	Christensenia_aescuilfolira_scaffold4661.p1	1.0	0.0
Christensenia_aescuilfolira_scaffold4659.p1__Christensenia_aescuilfolira_scaffold4660.p1	0.44152	0.96738	2847.0	174.0	0.0468	GF_000502	0.1971	0.3456	7.0	0.5703	1257.0	Christensenia_aescuilfolira_scaffold4660.p1	Christensenia_aescuilfolira_scaffold4659.p1	0.5	0.5
Christensenia_aescuilfolira_scaffold4660.p1__Christensenia_aescuilfolira_scaffold4661.p1	0.44152	0.89181	2847.0	174.0	0.10999	GF_000502	0.1971	0.3456	7.0	0.5703	1257.0	Christensenia_aescuilfolira_scaffold4660.p1	Christensenia_aescuilfolira_scaffold4661.p1	0.5	0.5
Christensenia_aescuilfolira_scaffold4660.p1__Christensenia_aescuilfolira_scaffold8636.p1	0.34036	0.76161	2847.0	174.0	0.24452	GF_000502	0.2648	0.6284	8.0	0.4214	969.0	Christensenia_aescuilfolira_scaffold8636.p1	Christensenia_aescuilfolira_scaffold4660.p1	0.33333	0.33333
Christensenia_aescuilfolira_scaffold4659.p1__Christensenia_aescuilfolira_scaffold8636.p1	0.196	0.82258	2847.0	174.0	0.23648	GF_000502	0.223	1.2129	8.0	0.1838	558.0	Christensenia_aescuilfolira_scaffold8636.p1	Christensenia_aescuilfolira_scaffold4659.p1	0.33333	0.33333
Christensenia_aescuilfolira_scaffold4661.p1__Christensenia_aescuilfolira_scaffold8636.p1	0.196	0.82258	2847.0	174.0	0.29967	GF_000502	0.223	1.2129	8.0	0.1838	558.0	Christensenia_aescuilfolira_scaffold8636.p1	Christensenia_aescuilfolira_scaffold4661.p1	0.33333	0.33333
Christensenia_aescuilfolira_scaffold14439.p1__Christensenia_aescuilfolira_scaffold8636.p1	0.29926	0.44953	2847.0	174.0	1.50877	GF_000502	0.7151	14.2185	9.0	0.0503	852.0	Christensenia_aescuilfolira_scaffold14439.p1	Christensenia_aescuilfolira_scaffold8636.p1	0.25	0.0
Christensenia_aescuilfolira_scaffold14439.p1__Christensenia_aescuilfolira_scaffold4660.p1	0.30348	0.43056	2847.0	174.0	1.75217	GF_000502	0.9928	55.2724	9.0	0.018	864.0	Christensenia_aescuilfolira_scaffold14439.p1	Christensenia_aescuilfolira_scaffold4660.p1	0.25	0.0
Christensenia_aescuilfolira_scaffold14439.p1__Christensenia_aescuilfolira_scaffold4659.p1	0.17071	0.47942	2847.0	174.0	1.74413	GF_000502	0.8225	56.056	9.0	0.0147	486.0	Christensenia_aescuilfolira_scaffold14439.p1	Christensenia_aescuilfolira_scaffold4659.p1	0.25	0.0
Christensenia_aescuilfolira_scaffold14439.p1__Christensenia_aescuilfolira_scaffold4661.p1	0.17071	0.47942	2847.0	174.0	1.80732	GF_000502	0.8225	56.056	9.0	0.0147	486.0	Christensenia_aescuilfolira_scaffold14439.p1	Christensenia_aescuilfolira_scaffold4661.p1	0.25	0.0
Christensenia_aescuilfolira_scaffold11869.p1__Christensenia_aescuilfolira_scaffold14439.p1	0.16017	0.36184	2847.0	174.0	1.91867	GF_000502	1.2151	5.7633	10.0	0.2108	456.0	Christensenia_aescuilfolira_scaffold11869.p1	Christensenia_aescuilfolira_scaffold14439.p1	0.2	0.0
Christensenia_aescuilfolira_scaffold11869.p1__Christensenia_aescuilfolira_scaffold8636.p1	0.13066	0.36828	2847.0	174.0	1.81856	GF_000502	1.5467	2.9827	10.0	0.5186	372.0	Christensenia_aescuilfolira_scaffold11869.p1	Christensenia_aescuilfolira_scaffold8636.p1	0.2	0.33333
Christensenia_aescuilfolira_scaffold11869.p1__Christensenia_aescuilfolira_scaffold4660.p1	0.14647	0.35971	2847.0	174.0	2.06196	GF_000502	5.2638	1.3413	10.0	3.9243	417.0	Christensenia_aescuilfolira_scaffold11869.p1	Christensenia_aescuilfolira_scaffold4660.p1	0.2	0.33333
Christensenia_aescuilfolira_scaffold11869.p1__Christensenia_aescuilfolira_scaffold4659.p1	0.07271	0.42029	2847.0	174.0	2.05392	GF_000502	1.4682	2.024	10.0	0.7254	207.0	Christensenia_aescuilfolira_scaffold11869.p1	Christensenia_aescuilfolira_scaffold4659.p1	0.2	0.33333
