	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Davallia_repens_C430604.p1__Davallia_repens_C434042.p1	0.65625	0.65873	576.0	378.0	0.44532	GF_001925	0.2419	3.0716	2.0	0.0787	378.0	Davallia_repens_C430604.p1	Davallia_repens_C434042.p1	1.0	1.0
Davallia_repens_C456261.p1__Davallia_repens_scaffold8005.p1	0.13947	0.69	2151.0	171.0	0.4814	GF_000502	0.2039	10.4497	6.0	0.0195	300.0	Davallia_repens_C456261.p1	Davallia_repens_scaffold8005.p1	1.0	0.0
Davallia_repens_C456261.p1__Davallia_repens_C459521.p1	0.17713	0.49869	2151.0	171.0	1.36321	GF_000502	0.4767	3.2981	7.0	0.1445	381.0	Davallia_repens_C459521.p1	Davallia_repens_C456261.p1	0.5	1.0
Davallia_repens_C459521.p1__Davallia_repens_scaffold8005.p1	0.43654	0.4196	2151.0	171.0	1.59027	GF_000502	0.5548	7.075	7.0	0.0784	939.0	Davallia_repens_C459521.p1	Davallia_repens_scaffold8005.p1	0.5	0.0
Davallia_repens_C442694.p1__Davallia_repens_scaffold1639.p1	0.20921	0.73556	2151.0	171.0	0.26076	GF_000502	0.1201	2.1589	8.0	0.0556	450.0	Davallia_repens_C442694.p1	Davallia_repens_scaffold1639.p1	1.0	1.0
Davallia_repens_C442694.p1__Davallia_repens_C444404.p1	0.13947	0.55333	2151.0	171.0	0.83644	GF_000502	0.2334	13.1441	9.0	0.0178	300.0	Davallia_repens_C444404.p1	Davallia_repens_C442694.p1	0.5	0.0
Davallia_repens_C444404.p1__Davallia_repens_scaffold1639.p1	0.15202	0.5474	2151.0	171.0	1.01598	GF_000502	0.2835	5.0569	9.0	0.0561	327.0	Davallia_repens_C444404.p1	Davallia_repens_scaffold1639.p1	0.5	0.0
Davallia_repens_C444404.p1__Davallia_repens_C459521.p1	0.08926	0.41146	2151.0	171.0	3.08373	GF_000502	12.1262	25.5018	10.0	0.4755	192.0	Davallia_repens_C459521.p1	Davallia_repens_C444404.p1	0.11111	0.0
Davallia_repens_C442694.p1__Davallia_repens_C459521.p1	0.13808	0.35354	2151.0	171.0	2.87647	GF_000502	1.322	58.9299	10.0	0.0224	297.0	Davallia_repens_C459521.p1	Davallia_repens_C442694.p1	0.11111	0.0
Davallia_repens_C459521.p1__Davallia_repens_scaffold1639.p1	0.30126	0.33025	2151.0	171.0	3.05601	GF_000502	1.2734	16.6363	10.0	0.0765	648.0	Davallia_repens_C459521.p1	Davallia_repens_scaffold1639.p1	0.11111	0.0
Davallia_repens_C444404.p1__Davallia_repens_C456261.p1	0.15063	0.33333	2151.0	171.0	2.46422	GF_000502	3.1462	45.3737	10.0	0.0693	324.0	Davallia_repens_C456261.p1	Davallia_repens_C444404.p1	0.11111	0.0
Davallia_repens_C442694.p1__Davallia_repens_C456261.p1	0.16876	0.3719	2151.0	171.0	2.25696	GF_000502	1.2071	69.0181	10.0	0.0175	363.0	Davallia_repens_C456261.p1	Davallia_repens_C442694.p1	0.11111	0.0
Davallia_repens_C456261.p1__Davallia_repens_scaffold1639.p1	0.31102	0.35725	2151.0	171.0	2.4365	GF_000502	1.5281	65.782	10.0	0.0232	669.0	Davallia_repens_C456261.p1	Davallia_repens_scaffold1639.p1	0.11111	0.0
Davallia_repens_C444404.p1__Davallia_repens_scaffold8005.p1	0.08368	0.35	2151.0	171.0	2.69128	GF_000502	1.2427	55.8076	10.0	0.0223	180.0	Davallia_repens_scaffold8005.p1	Davallia_repens_C444404.p1	0.11111	0.0
Davallia_repens_C442694.p1__Davallia_repens_scaffold8005.p1	0.1311	0.32624	2151.0	171.0	2.48402	GF_000502	1.0283	32.3773	10.0	0.0318	282.0	Davallia_repens_scaffold8005.p1	Davallia_repens_C442694.p1	0.11111	0.0
Davallia_repens_scaffold1639.p1__Davallia_repens_scaffold8005.p1	0.35425	0.32808	2151.0	171.0	2.66356	GF_000502	1.3304	18.2527	10.0	0.0729	762.0	Davallia_repens_scaffold8005.p1	Davallia_repens_scaffold1639.p1	0.11111	0.0
Davallia_repens_C460851.p1__Davallia_repens_scaffold12296.p1	0.33429	0.60969	1050.0	351.0	0.47782	GF_002318	0.2971	55.1125	2.0	0.0054	351.0	Davallia_repens_C460851.p1	Davallia_repens_scaffold12296.p1	1.0	0.0
Davallia_repens_C464493.p1__Davallia_repens_scaffold9640.p1	0.86384	0.49785	1344.0	1161.0	1.20778	GF_002403	0.6269	63.3137	2.0	0.0099	1161.0	Davallia_repens_C464493.p1	Davallia_repens_scaffold9640.p1	1.0	0.0
Davallia_repens_C470829.p1__Davallia_repens_scaffold12487.p1	0.61154	0.4102	2340.0	1431.0	1.92822	GF_002556	1.0178	26.6516	2.0	0.0382	1431.0	Davallia_repens_C470829.p1	Davallia_repens_scaffold12487.p1	1.0	0.0
Davallia_repens_scaffold10173.p2__Davallia_repens_scaffold12301.p1	0.125	0.57143	2016.0	216.0	0.64285	GF_000549	0.4022	14.8803	6.0	0.027	252.0	Davallia_repens_scaffold12301.p1	Davallia_repens_scaffold10173.p2	1.0	0.0
Davallia_repens_scaffold4019.p1__Davallia_repens_scaffold4020.p1	0.84226	1.0	2016.0	216.0	0.00109	GF_000549	0.0	0.0	7.0	0.0825	1698.0	Davallia_repens_scaffold4020.p1	Davallia_repens_scaffold4019.p1	1.0	0.0
Davallia_repens_C468553.p1__Davallia_repens_scaffold7443.p1	0.65774	0.68326	2016.0	216.0	0.53263	GF_000549	0.4303	62.3365	8.0	0.0069	1326.0	Davallia_repens_C468553.p1	Davallia_repens_scaffold7443.p1	1.0	0.0
Davallia_repens_C468553.p1__Davallia_repens_scaffold4020.p1	0.88542	0.59944	2016.0	216.0	0.82484	GF_000549	0.5996	15.8976	9.0	0.0377	1785.0	Davallia_repens_scaffold4020.p1	Davallia_repens_C468553.p1	0.25	0.0
Davallia_repens_scaffold4020.p1__Davallia_repens_scaffold7443.p1	0.65774	0.65234	2016.0	216.0	0.72443	GF_000549	0.5885	74.9145	9.0	0.0079	1326.0	Davallia_repens_scaffold4020.p1	Davallia_repens_scaffold7443.p1	0.25	0.0
Davallia_repens_C468553.p1__Davallia_repens_scaffold4019.p1	0.82887	0.60563	2016.0	216.0	0.82485	GF_000549	0.5996	15.8998	9.0	0.0377	1671.0	Davallia_repens_scaffold4019.p1	Davallia_repens_C468553.p1	0.25	0.0
Davallia_repens_scaffold4019.p1__Davallia_repens_scaffold7443.p1	0.63542	0.65964	2016.0	216.0	0.72444	GF_000549	0.5885	74.9146	9.0	0.0079	1281.0	Davallia_repens_scaffold4019.p1	Davallia_repens_scaffold7443.p1	0.25	0.0
Davallia_repens_scaffold12301.p1__Davallia_repens_scaffold4020.p1	0.86012	0.6188	2016.0	216.0	0.70101	GF_000549	0.6464	11.4689	10.0	0.0564	1734.0	Davallia_repens_scaffold12301.p1	Davallia_repens_scaffold4020.p1	0.125	0.0
Davallia_repens_scaffold12301.p1__Davallia_repens_scaffold4019.p1	0.81399	0.62584	2016.0	216.0	0.70102	GF_000549	0.6464	11.4689	10.0	0.0564	1641.0	Davallia_repens_scaffold12301.p1	Davallia_repens_scaffold4019.p1	0.125	0.0
Davallia_repens_C468553.p1__Davallia_repens_scaffold12301.p1	0.8631	0.58908	2016.0	216.0	0.87245	GF_000549	0.7809	7.041	10.0	0.1109	1740.0	Davallia_repens_scaffold12301.p1	Davallia_repens_C468553.p1	0.125	0.0
Davallia_repens_scaffold12301.p1__Davallia_repens_scaffold7443.p1	0.6622	0.62772	2016.0	216.0	0.77204	GF_000549	0.7686	8.2171	10.0	0.0935	1335.0	Davallia_repens_scaffold12301.p1	Davallia_repens_scaffold7443.p1	0.125	0.0
Davallia_repens_scaffold10173.p2__Davallia_repens_scaffold4020.p1	0.12202	0.48374	2016.0	216.0	1.02406	GF_000549	0.6562	3.7949	10.0	0.1729	246.0	Davallia_repens_scaffold10173.p2	Davallia_repens_scaffold4020.p1	0.125	0.33333
Davallia_repens_scaffold10173.p2__Davallia_repens_scaffold4019.p1	0.11458	0.48052	2016.0	216.0	1.02407	GF_000549	0.6562	3.7949	10.0	0.1729	231.0	Davallia_repens_scaffold10173.p2	Davallia_repens_scaffold4019.p1	0.125	0.33333
