	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Anemia_phyllitidis_scaffold19392.p1__Anemia_phyllitidis_scaffold20042.p1	0.08607	0.94444	1464.0	126.0	0.11078	GF_001925	0.0578	0.0621	3.0	0.9317	126.0	Anemia_phyllitidis_scaffold19392.p1	Anemia_phyllitidis_scaffold20042.p1	1.0	1.0
Anemia_phyllitidis_scaffold19392.p1__Anemia_phyllitidis_scaffold2847.p1	0.46926	0.51674	1464.0	126.0	1.11811	GF_001925	0.676	1.527	4.0	0.4427	687.0	Anemia_phyllitidis_scaffold2847.p1	Anemia_phyllitidis_scaffold19392.p1	0.5	0.5
Anemia_phyllitidis_scaffold20042.p1__Anemia_phyllitidis_scaffold2847.p1	0.14959	0.47489	1464.0	126.0	1.00841	GF_001925	0.5806	2.1035	4.0	0.276	219.0	Anemia_phyllitidis_scaffold2847.p1	Anemia_phyllitidis_scaffold20042.p1	0.5	0.5
Anemia_phyllitidis_scaffold30143.p1__Anemia_phyllitidis_scaffold30144.p1	0.22486	1.0	2775.0	570.0	0.0	GF_000502	0.0	0.0	7.0	0.001	624.0	Anemia_phyllitidis_scaffold30144.p1	Anemia_phyllitidis_scaffold30143.p1	1.0	0.0
Anemia_phyllitidis_scaffold11145.p1__Anemia_phyllitidis_scaffold30122.p1	0.91784	0.5689	2775.0	570.0	0.90223	GF_000502	0.2747	2.3288	8.0	0.118	2547.0	Anemia_phyllitidis_scaffold11145.p1	Anemia_phyllitidis_scaffold30122.p1	1.0	1.0
Anemia_phyllitidis_scaffold11145.p1__Anemia_phyllitidis_scaffold30375.p1	0.88757	0.5741	2775.0	570.0	1.02459	GF_000502	0.3168	3.1253	9.0	0.1014	2463.0	Anemia_phyllitidis_scaffold30375.p1	Anemia_phyllitidis_scaffold11145.p1	0.5	1.0
Anemia_phyllitidis_scaffold30122.p1__Anemia_phyllitidis_scaffold30375.p1	0.87568	0.58272	2775.0	570.0	0.92954	GF_000502	0.3026	5.7678	9.0	0.0525	2430.0	Anemia_phyllitidis_scaffold30375.p1	Anemia_phyllitidis_scaffold30122.p1	0.5	0.0
Anemia_phyllitidis_scaffold16081.p1__Anemia_phyllitidis_scaffold30375.p1	0.88	0.61671	2775.0	570.0	0.73843	GF_000502	0.2085	2.4894	10.0	0.0837	2442.0	Anemia_phyllitidis_scaffold16081.p1	Anemia_phyllitidis_scaffold30375.p1	0.33333	0.5
Anemia_phyllitidis_scaffold11145.p1__Anemia_phyllitidis_scaffold16081.p1	0.92541	0.57204	2775.0	570.0	0.92472	GF_000502	0.2788	62.1355	10.0	0.0045	2568.0	Anemia_phyllitidis_scaffold16081.p1	Anemia_phyllitidis_scaffold11145.p1	0.33333	0.0
Anemia_phyllitidis_scaffold16081.p1__Anemia_phyllitidis_scaffold30122.p1	0.90919	0.59136	2775.0	570.0	0.82967	GF_000502	0.2648	3.651	10.0	0.0725	2523.0	Anemia_phyllitidis_scaffold16081.p1	Anemia_phyllitidis_scaffold30122.p1	0.33333	0.5
