	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Loxogramme_biformis_C247024.p1__Loxogramme_biformis_C262982.p1	0.33469	0.61789	735.0	246.0	0.6254	GF_001925	0.3063	4.0311	2.0	0.076	246.0	Loxogramme_biformis_C247024.p1	Loxogramme_biformis_C262982.p1	1.0	1.0
Loxogramme_biformis_C283096.p1__Loxogramme_biformis_scaffold9353.p1	0.63277	0.60268	1062.0	561.0	0.83323	GF_000502	0.31	33.0654	6.0	0.0094	672.0	Loxogramme_biformis_scaffold9353.p1	Loxogramme_biformis_C283096.p1	1.0	0.0
Loxogramme_biformis_C273502.p1__Loxogramme_biformis_scaffold9472.p1	0.80508	0.58246	1062.0	561.0	0.82934	GF_000502	0.2988	1.7387	7.0	0.1718	855.0	Loxogramme_biformis_scaffold9472.p1	Loxogramme_biformis_C273502.p1	1.0	1.0
Loxogramme_biformis_scaffold9353.p1__Loxogramme_biformis_scaffold9472.p1	0.64124	0.57709	1062.0	561.0	1.1133	GF_000502	0.3543	68.0128	8.0	0.0052	681.0	Loxogramme_biformis_scaffold9353.p1	Loxogramme_biformis_scaffold9472.p1	0.25	0.0
Loxogramme_biformis_C273502.p1__Loxogramme_biformis_scaffold9353.p1	0.63559	0.53926	1062.0	561.0	1.33474	GF_000502	0.4217	71.8827	8.0	0.0059	675.0	Loxogramme_biformis_scaffold9353.p1	Loxogramme_biformis_C273502.p1	0.25	0.0
Loxogramme_biformis_C283096.p1__Loxogramme_biformis_scaffold9472.p1	0.66667	0.61441	1062.0	561.0	0.74197	GF_000502	0.2462	15.4149	8.0	0.016	708.0	Loxogramme_biformis_C283096.p1	Loxogramme_biformis_scaffold9472.p1	0.25	0.0
Loxogramme_biformis_C273502.p1__Loxogramme_biformis_C283096.p1	0.66384	0.59291	1062.0	561.0	0.96341	GF_000502	0.3172	2.8347	8.0	0.1119	705.0	Loxogramme_biformis_C283096.p1	Loxogramme_biformis_C273502.p1	0.25	1.0
Loxogramme_biformis_C273712.p1__Loxogramme_biformis_scaffold9353.p1	0.60169	0.41941	1062.0	561.0	2.06519	GF_000502	0.7283	25.8984	9.0	0.0281	639.0	Loxogramme_biformis_C273712.p1	Loxogramme_biformis_scaffold9353.p1	0.25	0.0
Loxogramme_biformis_C273712.p1__Loxogramme_biformis_C283096.p1	0.59887	0.43711	1062.0	561.0	1.69386	GF_000502	0.7645	62.5643	9.0	0.0122	636.0	Loxogramme_biformis_C273712.p1	Loxogramme_biformis_C283096.p1	0.25	0.0
Loxogramme_biformis_C273712.p1__Loxogramme_biformis_scaffold9472.p1	0.67797	0.43611	1062.0	561.0	1.77189	GF_000502	0.7634	64.1148	9.0	0.0119	720.0	Loxogramme_biformis_C273712.p1	Loxogramme_biformis_scaffold9472.p1	0.25	0.0
Loxogramme_biformis_C273502.p1__Loxogramme_biformis_C273712.p1	0.67514	0.43375	1062.0	561.0	1.99333	GF_000502	0.7655	64.8684	9.0	0.0118	717.0	Loxogramme_biformis_C273712.p1	Loxogramme_biformis_C273502.p1	0.25	0.0
Loxogramme_biformis_C260508.p1__Loxogramme_biformis_C273712.p1	0.56497	0.435	1062.0	561.0	2.12948	GF_000502	0.8619	33.7771	10.0	0.0255	600.0	Loxogramme_biformis_C260508.p1	Loxogramme_biformis_C273712.p1	0.2	0.0
Loxogramme_biformis_C260508.p1__Loxogramme_biformis_scaffold9353.p1	0.54802	0.46735	1062.0	561.0	2.19313	GF_000502	0.6966	66.1996	10.0	0.0105	582.0	Loxogramme_biformis_C260508.p1	Loxogramme_biformis_scaffold9353.p1	0.2	0.0
Loxogramme_biformis_C260508.p1__Loxogramme_biformis_C283096.p1	0.5452	0.45078	1062.0	561.0	1.8218	GF_000502	0.765	65.8868	10.0	0.0116	579.0	Loxogramme_biformis_C260508.p1	Loxogramme_biformis_C283096.p1	0.2	0.0
Loxogramme_biformis_C260508.p1__Loxogramme_biformis_scaffold9472.p1	0.57627	0.46405	1062.0	561.0	1.89983	GF_000502	0.7326	65.8688	10.0	0.0111	612.0	Loxogramme_biformis_C260508.p1	Loxogramme_biformis_scaffold9472.p1	0.2	0.0
Loxogramme_biformis_C260508.p1__Loxogramme_biformis_C273502.p1	0.58192	0.44013	1062.0	561.0	2.12127	GF_000502	0.8018	66.0392	10.0	0.0121	618.0	Loxogramme_biformis_C260508.p1	Loxogramme_biformis_C273502.p1	0.2	0.0
