	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Asplenium_ruprechtii_C323892.p1__Asplenium_ruprechtii_C348130.p1	0.1942	0.47619	2379.0	462.0	1.2429	GF_001925	0.7465	2.3352	2.0	0.3197	462.0	Asplenium_ruprechtii_C323892.p1	Asplenium_ruprechtii_C348130.p1	1.0	1.0
Asplenium_ruprechtii_C331000.p1__Asplenium_ruprechtii_scaffold8812.p1	0.113	0.80822	1938.0	219.0	0.28509	GF_000502	0.1462	0.5433	6.0	0.2692	219.0	Asplenium_ruprechtii_C331000.p1	Asplenium_ruprechtii_scaffold8812.p1	1.0	1.0
Asplenium_ruprechtii_C331000.p1__Asplenium_ruprechtii_scaffold9058.p1	0.41641	0.69888	1938.0	219.0	0.51593	GF_000502	0.2446	0.8253	7.0	0.2964	807.0	Asplenium_ruprechtii_scaffold9058.p1	Asplenium_ruprechtii_C331000.p1	0.5	0.5
Asplenium_ruprechtii_scaffold8812.p1__Asplenium_ruprechtii_scaffold9058.p1	0.25697	0.80522	1938.0	219.0	0.31092	GF_000502	0.1509	0.708	7.0	0.2132	498.0	Asplenium_ruprechtii_scaffold9058.p1	Asplenium_ruprechtii_scaffold8812.p1	0.5	0.5
Asplenium_ruprechtii_C348196.p1__Asplenium_ruprechtii_scaffold8760.p1	0.89474	0.70761	1938.0	219.0	0.34951	GF_000502	0.0821	77.4339	8.0	0.0011	1734.0	Asplenium_ruprechtii_C348196.p1	Asplenium_ruprechtii_scaffold8760.p1	1.0	0.0
Asplenium_ruprechtii_C347308.p1__Asplenium_ruprechtii_C348196.p1	0.95666	0.55502	1938.0	219.0	0.9842	GF_000502	0.2218	4.3769	9.0	0.0507	1854.0	Asplenium_ruprechtii_C347308.p1	Asplenium_ruprechtii_C348196.p1	0.5	1.0
Asplenium_ruprechtii_C347308.p1__Asplenium_ruprechtii_scaffold8760.p1	0.88854	0.54588	1938.0	219.0	1.05027	GF_000502	0.269	79.5313	9.0	0.0034	1722.0	Asplenium_ruprechtii_C347308.p1	Asplenium_ruprechtii_scaffold8760.p1	0.5	0.0
Asplenium_ruprechtii_C347308.p1__Asplenium_ruprechtii_scaffold9058.p1	0.94737	0.48856	1938.0	219.0	1.52871	GF_000502	0.6602	10.4895	10.0	0.0629	1836.0	Asplenium_ruprechtii_scaffold9058.p1	Asplenium_ruprechtii_C347308.p1	0.11111	0.0
Asplenium_ruprechtii_C348196.p1__Asplenium_ruprechtii_scaffold9058.p1	0.95356	0.47727	1938.0	219.0	1.54439	GF_000502	0.5732	63.2167	10.0	0.0091	1848.0	Asplenium_ruprechtii_scaffold9058.p1	Asplenium_ruprechtii_C348196.p1	0.11111	0.0
Asplenium_ruprechtii_scaffold8760.p1__Asplenium_ruprechtii_scaffold9058.p1	0.87926	0.4865	1938.0	219.0	1.61046	GF_000502	0.63	9.0918	10.0	0.0693	1704.0	Asplenium_ruprechtii_scaffold9058.p1	Asplenium_ruprechtii_scaffold8760.p1	0.11111	0.0
