	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Cephalomanes_javanicum_C253209.p1__Cephalomanes_javanicum_scaffold5616.p1	0.21538	0.89524	975.0	210.0	0.26616	GF_001925	0.1312	0.0762	2.0	1.7223	210.0	Cephalomanes_javanicum_C253209.p1	Cephalomanes_javanicum_scaffold5616.p1	1.0	1.0
Cephalomanes_javanicum_C295798.p1__Cephalomanes_javanicum_scaffold10295.p2	0.21923	0.36725	3900.0	3.0	2.92567	GF_000502		6.1644	6.0		855.0	Cephalomanes_javanicum_scaffold10295.p2	Cephalomanes_javanicum_C295798.p1	1.0	0.0
Cephalomanes_javanicum_C265500.p1__Cephalomanes_javanicum_C296206.p1	0.11231	0.42237	3900.0	3.0	1.82439	GF_000502		5.9684	7.0	0.483	438.0	Cephalomanes_javanicum_C296206.p1	Cephalomanes_javanicum_C265500.p1	1.0	0.0
Cephalomanes_javanicum_C296206.p1__Cephalomanes_javanicum_C296838.p1	0.61692	0.4468	3900.0	3.0	1.57477	GF_000502		6.3715	8.0	0.3478	2406.0	Cephalomanes_javanicum_C296838.p1	Cephalomanes_javanicum_C296206.p1	0.5	0.0
Cephalomanes_javanicum_C265500.p1__Cephalomanes_javanicum_C296838.p1	0.13308	0.4027	3900.0	3.0	1.94946	GF_000502		5.0679	8.0	0.45	519.0	Cephalomanes_javanicum_C296838.p1	Cephalomanes_javanicum_C265500.p1	0.5	0.0
Cephalomanes_javanicum_C295240.p1__Cephalomanes_javanicum_C296838.p1	0.52231	0.41041	3900.0	3.0	1.82047	GF_000502	13.113		9.0	0.2551	2037.0	Cephalomanes_javanicum_C295240.p1	Cephalomanes_javanicum_C296838.p1	0.5	0.0
Cephalomanes_javanicum_C295240.p1__Cephalomanes_javanicum_C296206.p1	0.49385	0.37279	3900.0	3.0	2.14892	GF_000502	12.2283	36.148	9.0	0.3383	1926.0	Cephalomanes_javanicum_C295240.p1	Cephalomanes_javanicum_C296206.p1	0.5	0.0
Cephalomanes_javanicum_C265500.p1__Cephalomanes_javanicum_C295240.p1	0.00077	0.0	3900.0	3.0	2.52361	GF_000502	18.0867	1.0461	9.0	17.2896	3.0	Cephalomanes_javanicum_C295240.p1	Cephalomanes_javanicum_C265500.p1	0.5	1.0
Cephalomanes_javanicum_C295240.p1__Cephalomanes_javanicum_scaffold10295.p2	0.17462	0.38913	3900.0	3.0	2.59067	GF_000502		6.1644	10.0		681.0	Cephalomanes_javanicum_scaffold10295.p2	Cephalomanes_javanicum_C295240.p1	0.125	0.0
Cephalomanes_javanicum_C296838.p1__Cephalomanes_javanicum_scaffold10295.p2	0.29846	0.37113	3900.0	3.0	2.64212	GF_000502		6.1644	10.0		1164.0	Cephalomanes_javanicum_scaffold10295.p2	Cephalomanes_javanicum_C296838.p1	0.125	0.0
Cephalomanes_javanicum_C296206.p1__Cephalomanes_javanicum_scaffold10295.p2	0.28308	0.36141	3900.0	3.0	2.97057	GF_000502		6.1644	10.0		1104.0	Cephalomanes_javanicum_scaffold10295.p2	Cephalomanes_javanicum_C296206.p1	0.125	0.0
Cephalomanes_javanicum_C265500.p1__Cephalomanes_javanicum_scaffold10295.p2	0.12308	0.40625	3900.0	3.0	3.34526	GF_000502		6.1644	10.0		480.0	Cephalomanes_javanicum_scaffold10295.p2	Cephalomanes_javanicum_C265500.p1	0.125	0.0
Cephalomanes_javanicum_C295240.p1__Cephalomanes_javanicum_C295798.p1	0.54692	0.38162	3900.0	3.0	2.28622	GF_000502		6.1644	10.0		2133.0	Cephalomanes_javanicum_C295798.p1	Cephalomanes_javanicum_C295240.p1	0.125	0.0
Cephalomanes_javanicum_C295798.p1__Cephalomanes_javanicum_C296838.p1	0.53769	0.37482	3900.0	3.0	2.33767	GF_000502		6.1644	10.0		2097.0	Cephalomanes_javanicum_C295798.p1	Cephalomanes_javanicum_C296838.p1	0.125	0.0
Cephalomanes_javanicum_C295798.p1__Cephalomanes_javanicum_C296206.p1	0.49769	0.38022	3900.0	3.0	2.66612	GF_000502		6.1644	10.0	0.1736	1941.0	Cephalomanes_javanicum_C295798.p1	Cephalomanes_javanicum_C296206.p1	0.125	0.0
Cephalomanes_javanicum_C265500.p1__Cephalomanes_javanicum_C295798.p1	0.04538	0.40113	3900.0	3.0	3.04081	GF_000502		6.1994	10.0	0.1979	177.0	Cephalomanes_javanicum_C295798.p1	Cephalomanes_javanicum_C265500.p1	0.125	0.0
Cephalomanes_javanicum_C279902.p1__Cephalomanes_javanicum_C280890.p1	0.40173	0.46057	1389.0	558.0	1.19678	GF_002318	0.6656	70.2423	2.0	0.0095	558.0	Cephalomanes_javanicum_C279902.p1	Cephalomanes_javanicum_C280890.p1	1.0	0.0
Cephalomanes_javanicum_C282892.p1__Cephalomanes_javanicum_scaffold7498.p1	0.47158	0.60091	2322.0	1095.0	0.7033	GF_002403	0.3776	65.8678	2.0	0.0057	1095.0	Cephalomanes_javanicum_C282892.p1	Cephalomanes_javanicum_scaffold7498.p1	1.0	0.0
Cephalomanes_javanicum_scaffold8158.p1__Cephalomanes_javanicum_scaffold9160.p1	0.94079	0.79254	456.0	429.0	0.11366	GF_003057	0.0627	1.3802	2.0	0.0455	429.0	Cephalomanes_javanicum_scaffold8158.p1	Cephalomanes_javanicum_scaffold9160.p1	1.0	1.0
