	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Tmesipteris_tannensis_scaffold12777.p1__Tmesipteris_tannensis_scaffold12778.p1	0.46224	0.9281	993.0	459.0	0.11694	GF_001925	0.0497	0.1519	3.0	0.3273	459.0	Tmesipteris_tannensis_scaffold12777.p1	Tmesipteris_tannensis_scaffold12778.p1	1.0	1.0
Tmesipteris_tannensis_scaffold12777.p1__Tmesipteris_tannensis_scaffold17635.p1	0.93353	0.83064	993.0	459.0	0.28151	GF_001925	0.1115	0.4617	4.0	0.2415	927.0	Tmesipteris_tannensis_scaffold17635.p1	Tmesipteris_tannensis_scaffold12777.p1	0.5	0.5
Tmesipteris_tannensis_scaffold12778.p1__Tmesipteris_tannensis_scaffold17635.p1	0.47432	0.84076	993.0	459.0	0.27477	GF_001925	0.1132	0.4048	4.0	0.2796	471.0	Tmesipteris_tannensis_scaffold17635.p1	Tmesipteris_tannensis_scaffold12778.p1	0.5	0.5
Tmesipteris_tannensis_scaffold13317.p1__Tmesipteris_tannensis_scaffold4069.p1	0.7247	0.89013	741.0	537.0	0.18418	GF_003247	0.0959	0.2696	2.0	0.3559	537.0	Tmesipteris_tannensis_scaffold13317.p1	Tmesipteris_tannensis_scaffold4069.p1	1.0	1.0
Tmesipteris_tannensis_scaffold10994.p1__Tmesipteris_tannensis_scaffold10995.p1	0.53461	1.0	1257.0	672.0	0.00054	GF_003125	0.0	0.0	2.0	0.3887	672.0	Tmesipteris_tannensis_scaffold10994.p1	Tmesipteris_tannensis_scaffold10995.p1	1.0	0.0
Tmesipteris_tannensis_scaffold17291.p1__Tmesipteris_tannensis_scaffold17734.p1	0.77812	0.84115	987.0	768.0	0.15206	GF_002318	0.0821	0.5396	2.0	0.1522	768.0	Tmesipteris_tannensis_scaffold17291.p1	Tmesipteris_tannensis_scaffold17734.p1	1.0	1.0
Tmesipteris_tannensis_C500675.p1__Tmesipteris_tannensis_C515763.p1	0.46352	0.8642	699.0	324.0	0.20266	GF_002403	0.1374	0.237	2.0	0.5799	324.0	Tmesipteris_tannensis_C500675.p1	Tmesipteris_tannensis_C515763.p1	1.0	1.0
Tmesipteris_tannensis_C546170.p1__Tmesipteris_tannensis_scaffold9685.p1	0.76628	0.45068	2580.0	1977.0	1.72032	GF_003057	0.8608	14.2972	2.0	0.0602	1977.0	Tmesipteris_tannensis_C546170.p1	Tmesipteris_tannensis_scaffold9685.p1	1.0	0.0
Tmesipteris_tannensis_C517101.p1__Tmesipteris_tannensis_scaffold10837.p1	0.40491	0.70202	489.0	198.0	0.37942	GF_002556	0.2033	5.2301	2.0	0.0389	198.0	Tmesipteris_tannensis_C517101.p1	Tmesipteris_tannensis_scaffold10837.p1	1.0	0.0
Tmesipteris_tannensis_C523264.p1__Tmesipteris_tannensis_C538730.p1	0.4188	0.66497	1404.0	441.0	0.36082	GF_000549	0.1717	26.4073	6.0	0.0065	588.0	Tmesipteris_tannensis_C523264.p1	Tmesipteris_tannensis_C538730.p1	1.0	0.0
Tmesipteris_tannensis_scaffold15688.p1__Tmesipteris_tannensis_scaffold15689.p1	0.8547	1.0	1404.0	441.0	0.0	GF_000549	0.0	0.0	7.0	0.001	1200.0	Tmesipteris_tannensis_scaffold15689.p1	Tmesipteris_tannensis_scaffold15688.p1	1.0	0.0
Tmesipteris_tannensis_C538630.p1__Tmesipteris_tannensis_scaffold15689.p1	0.66453	0.54019	1404.0	441.0	0.83239	GF_000549	0.3638	9.7829	8.0	0.0372	933.0	Tmesipteris_tannensis_C538630.p1	Tmesipteris_tannensis_scaffold15689.p1	0.5	0.0
Tmesipteris_tannensis_C538630.p1__Tmesipteris_tannensis_scaffold15688.p1	0.66453	0.54019	1404.0	441.0	0.83239	GF_000549	0.3638	9.7824	8.0	0.0372	933.0	Tmesipteris_tannensis_C538630.p1	Tmesipteris_tannensis_scaffold15688.p1	0.5	0.0
Tmesipteris_tannensis_C523264.p1__Tmesipteris_tannensis_C538630.p1	0.42735	0.58333	1404.0	441.0	0.80893	GF_000549	0.355	2.8752	9.0	0.1235	600.0	Tmesipteris_tannensis_C523264.p1	Tmesipteris_tannensis_C538630.p1	0.16667	0.33333
Tmesipteris_tannensis_C523264.p1__Tmesipteris_tannensis_scaffold15689.p1	0.36538	0.55361	1404.0	441.0	1.118	GF_000549	0.4322	4.6721	9.0	0.0925	513.0	Tmesipteris_tannensis_C523264.p1	Tmesipteris_tannensis_scaffold15689.p1	0.16667	0.33333
Tmesipteris_tannensis_C523264.p1__Tmesipteris_tannensis_scaffold15688.p1	0.36538	0.55361	1404.0	441.0	1.118	GF_000549	0.4322	4.6721	9.0	0.0925	513.0	Tmesipteris_tannensis_C523264.p1	Tmesipteris_tannensis_scaffold15688.p1	0.16667	0.33333
Tmesipteris_tannensis_C538630.p1__Tmesipteris_tannensis_C538730.p1	0.71581	0.5403	1404.0	441.0	0.84619	GF_000549	0.3811	34.3854	9.0	0.0111	1005.0	Tmesipteris_tannensis_C538730.p1	Tmesipteris_tannensis_C538630.p1	0.16667	0.0
Tmesipteris_tannensis_C538730.p1__Tmesipteris_tannensis_scaffold15689.p1	0.69872	0.49541	1404.0	441.0	1.15526	GF_000549	0.4073	74.173	9.0	0.0055	981.0	Tmesipteris_tannensis_C538730.p1	Tmesipteris_tannensis_scaffold15689.p1	0.16667	0.0
