	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-EWXK-2012691-Thyrsopteris_elegans.p1__scaffold-EWXK-2024592-Thyrsopteris_elegans.p1	0.09347	0.54088	1701.0	18.0	0.4922	GF_001925	0.2262	46.5501	3.0	0.0049	159.0	scaffold-EWXK-2024592-Thyrsopteris_elegans.p1	scaffold-EWXK-2012691-Thyrsopteris_elegans.p1	1.0	0.0
scaffold-EWXK-2001955-Thyrsopteris_elegans.p1__scaffold-EWXK-2024592-Thyrsopteris_elegans.p1	0.18342	0.58974	1701.0	18.0	0.62407	GF_001925	17.7786	11.2032	4.0	1.5869	312.0	scaffold-EWXK-2001955-Thyrsopteris_elegans.p1	scaffold-EWXK-2024592-Thyrsopteris_elegans.p1	0.5	0.0
scaffold-EWXK-2001955-Thyrsopteris_elegans.p1__scaffold-EWXK-2012691-Thyrsopteris_elegans.p1	0.01058	0.61111	1701.0	18.0	0.68723	GF_001925	12.7355	43.4642	4.0	0.293	18.0	scaffold-EWXK-2001955-Thyrsopteris_elegans.p1	scaffold-EWXK-2012691-Thyrsopteris_elegans.p1	0.5	0.0
scaffold-EWXK-2005351-Thyrsopteris_elegans.p1__scaffold-EWXK-2005352-Thyrsopteris_elegans.p1	1.0	0.9771	393.0	393.0	0.03948	GF_003247	0.0176	0.0425	2.0	0.4145	393.0	scaffold-EWXK-2005351-Thyrsopteris_elegans.p1	scaffold-EWXK-2005352-Thyrsopteris_elegans.p1	1.0	1.0
scaffold-EWXK-2003519-Thyrsopteris_elegans.p1__scaffold-EWXK-2003520-Thyrsopteris_elegans.p2	1.0	1.0	402.0	402.0	0.0	GF_003125	0.0	0.0	2.0	0.001	402.0	scaffold-EWXK-2003519-Thyrsopteris_elegans.p1	scaffold-EWXK-2003520-Thyrsopteris_elegans.p2	1.0	0.0
scaffold-EWXK-2023131-Thyrsopteris_elegans.p1__scaffold-EWXK-2024056-Thyrsopteris_elegans.p1	0.58621	0.8671	783.0	459.0	0.22268	GF_004515	0.1228	0.2315	2.0	0.5306	459.0	scaffold-EWXK-2023131-Thyrsopteris_elegans.p1	scaffold-EWXK-2024056-Thyrsopteris_elegans.p1	1.0	1.0
scaffold-EWXK-2009697-Thyrsopteris_elegans.p1__scaffold-EWXK-2009698-Thyrsopteris_elegans.p1	0.77083	0.98198	432.0	267.0	0.01773	GF_002318	0.0253	0.0183	3.0	1.3816	333.0	scaffold-EWXK-2009697-Thyrsopteris_elegans.p1	scaffold-EWXK-2009698-Thyrsopteris_elegans.p1	1.0	1.0
scaffold-EWXK-2009697-Thyrsopteris_elegans.p1__scaffold-EWXK-2009699-Thyrsopteris_elegans.p1	0.61806	0.61798	432.0	267.0	0.5535	GF_002318	0.4828	0.9748	4.0	0.4953	267.0	scaffold-EWXK-2009699-Thyrsopteris_elegans.p1	scaffold-EWXK-2009697-Thyrsopteris_elegans.p1	0.5	0.5
scaffold-EWXK-2009698-Thyrsopteris_elegans.p1__scaffold-EWXK-2009699-Thyrsopteris_elegans.p1	0.76389	0.70909	432.0	267.0	0.53687	GF_002318	0.4325	0.9222	4.0	0.4689	330.0	scaffold-EWXK-2009699-Thyrsopteris_elegans.p1	scaffold-EWXK-2009698-Thyrsopteris_elegans.p1	0.5	0.5
scaffold-EWXK-2011455-Thyrsopteris_elegans.p1__scaffold-EWXK-2011456-Thyrsopteris_elegans.p1	0.32482	0.88764	822.0	267.0	0.17639	GF_002403	0.1007	0.2152	3.0	0.4678	267.0	scaffold-EWXK-2011455-Thyrsopteris_elegans.p1	scaffold-EWXK-2011456-Thyrsopteris_elegans.p1	1.0	1.0
