	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Cystopteris_fragilis_C402409.p1__Cystopteris_fragilis_scaffold16072.p1	0.48867	0.6777	927.0	453.0	0.42614	GF_001925	0.2306	43.7716	2.0	0.0053	453.0	Cystopteris_fragilis_C402409.p1	Cystopteris_fragilis_scaffold16072.p1	1.0	0.0
Cystopteris_fragilis_C407168.p2__Cystopteris_fragilis_scaffold18076.p1	0.67097	0.58974	465.0	312.0	0.7381	GF_000502	0.3392	6.6854	6.0	0.0507	312.0	Cystopteris_fragilis_C407168.p2	Cystopteris_fragilis_scaffold18076.p1	1.0	0.0
Cystopteris_fragilis_scaffold7009.p1__Cystopteris_fragilis_scaffold7010.p1	0.8	0.88172	465.0	312.0	0.21131	GF_000502	0.0586	0.0344	7.0	1.7059	372.0	Cystopteris_fragilis_scaffold7009.p1	Cystopteris_fragilis_scaffold7010.p1	1.0	1.0
Cystopteris_fragilis_scaffold6814.p1__Cystopteris_fragilis_scaffold7009.p1	0.77419	0.69722	465.0	312.0	0.53309	GF_000502	0.1992	2.1311	8.0	0.0935	360.0	Cystopteris_fragilis_scaffold6814.p1	Cystopteris_fragilis_scaffold7009.p1	0.5	0.5
Cystopteris_fragilis_scaffold6814.p1__Cystopteris_fragilis_scaffold7010.p1	0.7871	0.64754	465.0	312.0	0.74332	GF_000502	0.2477	1.9478	8.0	0.1272	366.0	Cystopteris_fragilis_scaffold6814.p1	Cystopteris_fragilis_scaffold7010.p1	0.5	0.5
Cystopteris_fragilis_C419276.p1__Cystopteris_fragilis_scaffold6814.p1	0.7871	0.65574	465.0	312.0	0.75118	GF_000502	0.3019	2.091	9.0	0.1444	366.0	Cystopteris_fragilis_C419276.p1	Cystopteris_fragilis_scaffold6814.p1	0.33333	0.33333
Cystopteris_fragilis_C419276.p1__Cystopteris_fragilis_scaffold7009.p1	0.8	0.6371	465.0	312.0	0.84495	GF_000502	0.2785	1.7996	9.0	0.1548	372.0	Cystopteris_fragilis_C419276.p1	Cystopteris_fragilis_scaffold7009.p1	0.33333	0.33333
Cystopteris_fragilis_C419276.p1__Cystopteris_fragilis_scaffold7010.p1	0.81935	0.60105	465.0	312.0	1.05518	GF_000502	0.2864	1.7232	9.0	0.1662	381.0	Cystopteris_fragilis_C419276.p1	Cystopteris_fragilis_scaffold7010.p1	0.33333	0.33333
Cystopteris_fragilis_C407168.p2__Cystopteris_fragilis_C419276.p1	0.67097	0.57692	465.0	312.0	1.06125	GF_000502	0.4197	4.3174	10.0	0.0972	312.0	Cystopteris_fragilis_C407168.p2	Cystopteris_fragilis_C419276.p1	0.125	0.16667
Cystopteris_fragilis_C407168.p2__Cystopteris_fragilis_scaffold6814.p1	0.67097	0.55449	465.0	312.0	1.20493	GF_000502	0.516	3.1374	10.0	0.1645	312.0	Cystopteris_fragilis_C407168.p2	Cystopteris_fragilis_scaffold6814.p1	0.125	0.16667
Cystopteris_fragilis_C407168.p2__Cystopteris_fragilis_scaffold7009.p1	0.67097	0.55449	465.0	312.0	1.2987	GF_000502	0.4591	68.8881	10.0	0.0067	312.0	Cystopteris_fragilis_C407168.p2	Cystopteris_fragilis_scaffold7009.p1	0.125	0.0
Cystopteris_fragilis_C407168.p2__Cystopteris_fragilis_scaffold7010.p1	0.67742	0.54603	465.0	312.0	1.50893	GF_000502	0.4699	71.3567	10.0	0.0066	315.0	Cystopteris_fragilis_C407168.p2	Cystopteris_fragilis_scaffold7010.p1	0.125	0.0
Cystopteris_fragilis_C419276.p1__Cystopteris_fragilis_scaffold18076.p1	0.81935	0.73228	465.0	312.0	0.37777	GF_000502	0.1423	1.498	10.0	0.095	381.0	Cystopteris_fragilis_scaffold18076.p1	Cystopteris_fragilis_C419276.p1	0.125	0.16667
Cystopteris_fragilis_scaffold18076.p1__Cystopteris_fragilis_scaffold6814.p1	0.7871	0.68033	465.0	312.0	0.52145	GF_000502	0.2563	3.0045	10.0	0.0853	366.0	Cystopteris_fragilis_scaffold18076.p1	Cystopteris_fragilis_scaffold6814.p1	0.125	0.16667
Cystopteris_fragilis_scaffold18076.p1__Cystopteris_fragilis_scaffold7009.p1	0.8	0.69624	465.0	312.0	0.61522	GF_000502	0.2029	1.495	10.0	0.1357	372.0	Cystopteris_fragilis_scaffold18076.p1	Cystopteris_fragilis_scaffold7009.p1	0.125	0.16667
Cystopteris_fragilis_scaffold18076.p1__Cystopteris_fragilis_scaffold7010.p1	0.81935	0.6378	465.0	312.0	0.82545	GF_000502	0.2441	1.5127	10.0	0.1614	381.0	Cystopteris_fragilis_scaffold18076.p1	Cystopteris_fragilis_scaffold7010.p1	0.125	0.16667
Cystopteris_fragilis_scaffold9709.p2__Cystopteris_fragilis_scaffold9710.p2	1.0	1.0	480.0	480.0	0.0	GF_003247	0.0	0.0	2.0	0.3901	480.0	Cystopteris_fragilis_scaffold9709.p2	Cystopteris_fragilis_scaffold9710.p2	1.0	0.0
Cystopteris_fragilis_scaffold5832.p1__Cystopteris_fragilis_scaffold5833.p1	1.0	1.0	1992.0	1992.0	0.0	GF_003125	0.0	0.0	2.0	0.001	1992.0	Cystopteris_fragilis_scaffold5832.p1	Cystopteris_fragilis_scaffold5833.p1	1.0	0.0
Cystopteris_fragilis_C439918.p1__Cystopteris_fragilis_scaffold4776.p1	0.45096	0.45951	2355.0	1062.0	1.45362	GF_002318	0.7857	2.7998	2.0	0.2806	1062.0	Cystopteris_fragilis_C439918.p1	Cystopteris_fragilis_scaffold4776.p1	1.0	1.0
Cystopteris_fragilis_scaffold18412.p1__Cystopteris_fragilis_scaffold19981.p1	0.77365	0.76978	1617.0	1251.0	0.14934	GF_002403	0.0848	1.6846	2.0	0.0503	1251.0	Cystopteris_fragilis_scaffold18412.p1	Cystopteris_fragilis_scaffold19981.p1	1.0	1.0
Cystopteris_fragilis_scaffold4298.p1__Cystopteris_fragilis_scaffold4299.p1	1.0	1.0	333.0	333.0	0.0	GF_003057	0.0	0.0	2.0	0.001	333.0	Cystopteris_fragilis_scaffold4298.p1	Cystopteris_fragilis_scaffold4299.p1	1.0	0.0
Cystopteris_fragilis_scaffold4805.p1__Cystopteris_fragilis_scaffold9770.p1	0.95551	0.57576	1416.0	1353.0	0.78848	GF_002556	0.3747	5.9897	2.0	0.0626	1353.0	Cystopteris_fragilis_scaffold4805.p1	Cystopteris_fragilis_scaffold9770.p1	1.0	0.0
Cystopteris_fragilis_scaffold14878.p1__Cystopteris_fragilis_scaffold18469.p1	0.30727	0.69428	1650.0	399.0	0.51592	GF_000549	0.2714	1.6652	6.0	0.163	507.0	Cystopteris_fragilis_scaffold14878.p1	Cystopteris_fragilis_scaffold18469.p1	1.0	1.0
Cystopteris_fragilis_scaffold13019.p1__Cystopteris_fragilis_scaffold14878.p1	0.38	0.58373	1650.0	399.0	0.92009	GF_000549	0.4539	62.79	7.0	0.0072	627.0	Cystopteris_fragilis_scaffold13019.p1	Cystopteris_fragilis_scaffold14878.p1	0.5	0.0
Cystopteris_fragilis_scaffold13019.p1__Cystopteris_fragilis_scaffold18469.p1	0.26909	0.6036	1650.0	399.0	0.86289	GF_000549	0.3968	16.3731	7.0	0.0242	444.0	Cystopteris_fragilis_scaffold13019.p1	Cystopteris_fragilis_scaffold18469.p1	0.5	0.0
Cystopteris_fragilis_C436988.p1__Cystopteris_fragilis_C441734.p1	0.60182	0.68177	1650.0	399.0	0.54205	GF_000549	0.2098	1.346	8.0	0.1558	993.0	Cystopteris_fragilis_C436988.p1	Cystopteris_fragilis_C441734.p1	1.0	1.0
Cystopteris_fragilis_C436988.p1__Cystopteris_fragilis_scaffold16919.p1	0.57273	0.53968	1650.0	399.0	1.1045	GF_000549	0.3807	2.3285	9.0	0.1635	945.0	Cystopteris_fragilis_scaffold16919.p1	Cystopteris_fragilis_C436988.p1	0.5	0.5
Cystopteris_fragilis_C441734.p1__Cystopteris_fragilis_scaffold16919.p1	0.63273	0.50766	1650.0	399.0	1.32061	GF_000549	0.3429	4.3828	9.0	0.0782	1044.0	Cystopteris_fragilis_scaffold16919.p1	Cystopteris_fragilis_C441734.p1	0.5	0.5
Cystopteris_fragilis_scaffold13019.p1__Cystopteris_fragilis_scaffold16919.p1	0.44182	0.43484	1650.0	399.0	2.02197	GF_000549	0.757	3.9121	10.0	0.1935	729.0	Cystopteris_fragilis_scaffold13019.p1	Cystopteris_fragilis_scaffold16919.p1	0.11111	1.0
