	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Danaea_nodosa_scaffold1783.p3__Danaea_nodosa_scaffold1786.p2	1.0	1.0	315.0	315.0	0.0	GF_001925	0.0	0.0	3.0	0.001	315.0	Danaea_nodosa_scaffold1786.p2	Danaea_nodosa_scaffold1783.p3	1.0	0.0
Danaea_nodosa_scaffold1782.p3__Danaea_nodosa_scaffold1786.p2	1.0	1.0	315.0	315.0	0.0	GF_001925	0.0	0.0	4.0	0.475	315.0	Danaea_nodosa_scaffold1782.p3	Danaea_nodosa_scaffold1786.p2	0.5	0.0
Danaea_nodosa_scaffold1782.p3__Danaea_nodosa_scaffold1783.p3	1.0	1.0	315.0	315.0	0.0	GF_001925	0.0	0.0	4.0	0.001	315.0	Danaea_nodosa_scaffold1782.p3	Danaea_nodosa_scaffold1783.p3	0.5	0.0
Danaea_nodosa_scaffold4756.p1__Danaea_nodosa_scaffold4757.p1	1.0	1.0	471.0	471.0	0.0	GF_003247	0.0	0.0	2.0	0.4781	471.0	Danaea_nodosa_scaffold4756.p1	Danaea_nodosa_scaffold4757.p1	1.0	0.0
Danaea_nodosa_scaffold2364.p1__Danaea_nodosa_scaffold2365.p1	0.51295	0.90909	579.0	297.0	0.1488	GF_003125	0.0958	0.1071	2.0	0.8945	297.0	Danaea_nodosa_scaffold2364.p1	Danaea_nodosa_scaffold2365.p1	1.0	1.0
Danaea_nodosa_C335851.p1__Danaea_nodosa_C341311.p1	0.81416	0.64855	678.0	552.0	0.3762	GF_002318	0.2322	7.8321	2.0	0.0297	552.0	Danaea_nodosa_C335851.p1	Danaea_nodosa_C341311.p1	1.0	0.0
Danaea_nodosa_C354243.p1__Danaea_nodosa_scaffold6513.p1	0.77158	0.71873	1668.0	1287.0	0.42992	GF_002403	0.2132	1.0071	2.0	0.2117	1287.0	Danaea_nodosa_scaffold6513.p1	Danaea_nodosa_C354243.p1	1.0	1.0
Danaea_nodosa_scaffold13929.p1__Danaea_nodosa_scaffold13930.p1	1.0	1.0	942.0	942.0	0.0	GF_003057	0.0	0.0	2.0	0.476	942.0	Danaea_nodosa_scaffold13929.p1	Danaea_nodosa_scaffold13930.p1	1.0	0.0
Danaea_nodosa_scaffold3433.p1__Danaea_nodosa_scaffold3434.p1	1.0	1.0	1161.0	1161.0	0.0	GF_002556	0.0	0.0	2.0	0.001	1161.0	Danaea_nodosa_scaffold3434.p1	Danaea_nodosa_scaffold3433.p1	1.0	0.0
Danaea_nodosa_C329691.p1__Danaea_nodosa_C362179.p1	0.2203	0.43979	2601.0	285.0	1.70507	GF_000549	0.6626	4.7846	6.0	0.1385	573.0	Danaea_nodosa_C329691.p1	Danaea_nodosa_C362179.p1	1.0	1.0
Danaea_nodosa_scaffold10779.p1__Danaea_nodosa_scaffold13371.p1	0.6609	0.75916	2601.0	285.0	0.32849	GF_000549	0.0509	0.8239	7.0	0.0618	1719.0	Danaea_nodosa_scaffold10779.p1	Danaea_nodosa_scaffold13371.p1	1.0	1.0
Danaea_nodosa_scaffold10779.p1__Danaea_nodosa_scaffold6971.p1	0.64591	0.63988	2601.0	285.0	0.5682	GF_000549	0.0816	3.3858	8.0	0.0241	1680.0	Danaea_nodosa_scaffold6971.p1	Danaea_nodosa_scaffold10779.p1	0.5	1.0
Danaea_nodosa_scaffold13371.p1__Danaea_nodosa_scaffold6971.p1	0.68973	0.63935	2601.0	285.0	0.53961	GF_000549	0.0884	5.145	8.0	0.0172	1794.0	Danaea_nodosa_scaffold6971.p1	Danaea_nodosa_scaffold13371.p1	0.5	0.0
Danaea_nodosa_C329691.p1__Danaea_nodosa_scaffold6971.p1	0.21684	0.43262	2601.0	285.0	1.92704	GF_000549	0.726	35.9727	9.0	0.0202	564.0	Danaea_nodosa_C329691.p1	Danaea_nodosa_scaffold6971.p1	0.16667	0.0
Danaea_nodosa_C329691.p1__Danaea_nodosa_scaffold10779.p1	0.21799	0.46384	2601.0	285.0	1.98454	GF_000549	0.6728	12.3783	9.0	0.0544	567.0	Danaea_nodosa_C329691.p1	Danaea_nodosa_scaffold10779.p1	0.16667	0.0
