	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
C228214.p1__scaffold8400.p1	0.46883	0.60694	1107.0	519.0	0.627	GF_001925	0.3126	63.517	2.0	0.0049	519.0	C228214.p1	scaffold8400.p1	1.0	0.0
scaffold2551.p1__scaffold2552.p1	0.19853	1.0	1632.0	300.0	0.00109	GF_000502	0.0	0.0	6.0	0.2278	324.0	scaffold2552.p1	scaffold2551.p1	1.0	0.0
scaffold2552.p1__scaffold7911.p1	0.43934	0.841	1632.0	300.0	0.21274	GF_000502	0.1659	0.5869	7.0	0.2826	717.0	scaffold7911.p1	scaffold2552.p1	0.5	0.5
scaffold2551.p1__scaffold7911.p1	0.19669	0.79128	1632.0	300.0	0.21273	GF_000502	0.1659	0.5869	7.0	0.2826	321.0	scaffold7911.p1	scaffold2551.p1	0.5	0.5
C244958.p1__scaffold7911.p1	0.4375	0.62325	1632.0	300.0	0.65491	GF_000502	0.3746	4.3715	8.0	0.0857	714.0	C244958.p1	scaffold7911.p1	0.33333	0.33333
C244958.p1__scaffold2552.p1	0.43934	0.61506	1632.0	300.0	0.73287	GF_000502	0.4347	3.47	8.0	0.1253	717.0	C244958.p1	scaffold2552.p1	0.33333	0.33333
C244958.p1__scaffold2551.p1	0.19853	0.57407	1632.0	300.0	0.73286	GF_000502	0.4347	3.47	8.0	0.1253	324.0	C244958.p1	scaffold2551.p1	0.33333	0.33333
C244958.p1__C258335.p1	0.42096	0.45124	1632.0	300.0	1.75976	GF_000502	0.7607	62.5714	9.0	0.0122	687.0	C258335.p1	C244958.p1	0.25	0.0
C258335.p1__scaffold7911.p1	0.46691	0.40157	1632.0	300.0	1.91857	GF_000502	0.905	69.75	9.0	0.013	762.0	C258335.p1	scaffold7911.p1	0.25	0.0
C258335.p1__scaffold2552.p1	0.42279	0.41739	1632.0	300.0	1.99653	GF_000502	0.8645	68.1469	9.0	0.0127	690.0	C258335.p1	scaffold2552.p1	0.25	0.0
C258335.p1__scaffold2551.p1	0.18934	0.41748	1632.0	300.0	1.99652	GF_000502	0.8645	68.147	9.0	0.0127	309.0	C258335.p1	scaffold2551.p1	0.25	0.0
C258335.p1__scaffold10789.p1	0.67647	0.38949	1632.0	300.0	2.18531	GF_000502	1.0662	4.1753	10.0	0.2554	1104.0	scaffold10789.p1	C258335.p1	0.2	1.0
C244958.p1__scaffold10789.p1	0.3989	0.42857	1632.0	300.0	1.90437	GF_000502	0.9124	64.7633	10.0	0.0141	651.0	scaffold10789.p1	C244958.p1	0.2	0.0
scaffold10789.p1__scaffold7911.p1	0.42831	0.40486	1632.0	300.0	2.06318	GF_000502	0.9899	6.9291	10.0	0.1429	699.0	scaffold10789.p1	scaffold7911.p1	0.2	0.0
scaffold10789.p1__scaffold2552.p1	0.3989	0.39171	1632.0	300.0	2.14114	GF_000502	1.0301	12.1801	10.0	0.0846	651.0	scaffold10789.p1	scaffold2552.p1	0.2	0.0
scaffold10789.p1__scaffold2551.p1	0.19485	0.38679	1632.0	300.0	2.14113	GF_000502	1.0301	12.1799	10.0	0.0846	318.0	scaffold10789.p1	scaffold2551.p1	0.2	0.0
C254731.p1__scaffold6921.p1	0.67117	0.47651	666.0	447.0	1.35408	GF_002318	0.6608	64.7322	2.0	0.0102	447.0	C254731.p1	scaffold6921.p1	1.0	0.0
C258215.p1__C260035.p1	0.82164	0.76868	1026.0	843.0	0.1999	GF_002403	0.096	1.9228	2.0	0.0499	843.0	C258215.p1	C260035.p1	1.0	1.0
scaffold9575.p1__scaffold9859.p1	0.83603	0.65698	1482.0	1239.0	0.50602	GF_003057	0.2497	9.3283	2.0	0.0268	1239.0	scaffold9575.p1	scaffold9859.p1	1.0	0.0
C264698.p1__scaffold8370.p1	0.9071	0.54518	1098.0	996.0	0.89774	GF_002556	0.4379	5.3264	2.0	0.0822	996.0	C264698.p1	scaffold8370.p1	1.0	0.0
scaffold10747.p1__scaffold11770.p1	0.84274	0.61563	1488.0	723.0	0.71957	GF_000971	0.3481	2.0969	4.0	0.166	1254.0	scaffold10747.p1	scaffold11770.p1	1.0	1.0
C261229.p1__scaffold10747.p1	0.76815	0.46194	1488.0	723.0	1.56581	GF_000971	0.7204	5.3117	5.0	0.1356	1143.0	C261229.p1	scaffold10747.p1	0.5	0.0
C261229.p1__scaffold11770.p1	0.75	0.44265	1488.0	723.0	1.69856	GF_000971	0.7914	4.1326	5.0	0.1915	1116.0	C261229.p1	scaffold11770.p1	0.5	1.0
C261229.p1__scaffold7746.p1	0.50403	0.372	1488.0	723.0	2.24633	GF_000971	1.0412	64.4049	6.0	0.0162	750.0	scaffold7746.p1	C261229.p1	0.33333	0.0
scaffold10747.p1__scaffold7746.p1	0.51411	0.42222	1488.0	723.0	1.74682	GF_000971	0.8063	62.121	6.0	0.013	765.0	scaffold7746.p1	scaffold10747.p1	0.33333	0.0
scaffold11770.p1__scaffold7746.p1	0.5121	0.41076	1488.0	723.0	1.87957	GF_000971	0.8633	40.3956	6.0	0.0214	762.0	scaffold7746.p1	scaffold11770.p1	0.33333	0.0
C266964.p1__scaffold11081.p1	0.69886	0.50949	2640.0	1845.0	1.154	GF_002601	0.5656	71.4354	2.0	0.0079	1845.0	C266964.p1	scaffold11081.p1	1.0	0.0
C261487.p1__scaffold7445.p1	0.87674	0.66225	1290.0	1107.0	0.46275	GF_001253	0.2239	3.7542	3.0	0.0596	1131.0	scaffold7445.p1	C261487.p1	1.0	1.0
C258351.p1__scaffold7445.p1	0.85814	0.41644	1290.0	1107.0	2.28348	GF_001253	1.0742	3.3357	4.0	0.322	1107.0	C258351.p1	scaffold7445.p1	0.5	1.0
C258351.p1__C261487.p1	0.85814	0.40199	1290.0	1107.0	2.14059	GF_001253	1.0165	62.9007	4.0	0.0162	1107.0	C258351.p1	C261487.p1	0.5	0.0
scaffold3080.p1__scaffold8088.p1	0.7694	0.4707	1353.0	969.0	1.47327	GF_001727	0.6641	66.8671	3.0	0.0099	1041.0	scaffold3080.p1	scaffold8088.p1	1.0	0.0
scaffold2225.p1__scaffold3080.p1	0.73171	0.46263	1353.0	969.0	1.5027	GF_001727	0.7168	11.6106	4.0	0.0617	990.0	scaffold2225.p1	scaffold3080.p1	0.5	0.0
scaffold2225.p1__scaffold8088.p1	0.81596	0.43569	1353.0	969.0	1.68605	GF_001727	0.7099	70.8231	4.0	0.01	1104.0	scaffold2225.p1	scaffold8088.p1	0.5	0.0
C231480.p1__C268904.p1	0.1341	0.54921	2349.0	315.0	0.72984	GF_001947	0.4259	11.1188	2.0	0.0383	315.0	C231480.p1	C268904.p1	1.0	0.0
C247508.p1__C259437.p1	0.19881	0.56385	3033.0	33.0	0.83924	GF_000577	0.4592	2.2846	5.0	0.201	603.0	C247508.p1	C259437.p1	1.0	1.0
C210345.p1__C247508.p1	0.02868	0.54023	3033.0	33.0	0.75293	GF_000577	0.4191	112.1249	6.0	0.0037	87.0	C210345.p1	C247508.p1	0.5	0.0
C210345.p1__C259437.p1	0.11276	0.71637	3033.0	33.0	0.39515	GF_000577	0.0914	0.581	6.0	0.1572	342.0	C210345.p1	C259437.p1	0.5	1.0
C264512.p1__C266090.p1	0.31454	0.41719	3033.0	33.0	1.85324	GF_000577	2.6904	73.0219	7.0	0.0368	954.0	C266090.p1	C264512.p1	1.0	0.0
C210345.p1__C266090.p1	0.07715	0.39316	3033.0	33.0	1.31942	GF_000577	1.2233	2.2697	8.0	0.5389	234.0	C210345.p1	C266090.p1	0.16667	0.25
C210345.p1__C264512.p1	0.03264	0.42424	3033.0	33.0	1.33262	GF_000577	1.0489	11.586	8.0	0.0905	99.0	C210345.p1	C264512.p1	0.16667	0.0
C247508.p1__C266090.p1	0.16123	0.41104	3033.0	33.0	1.89569	GF_000577	1.0318	3.7168	8.0	0.2776	489.0	C247508.p1	C266090.p1	0.16667	0.25
C247508.p1__C264512.p1	0.16419	0.39357	3033.0	33.0	1.90889	GF_000577	3.8053	0.0384	8.0	99.0	498.0	C247508.p1	C264512.p1	0.16667	0.25
C259437.p1__C266090.p1	0.32047	0.41255	3033.0	33.0	1.53791	GF_000577	1.2132	2.5064	8.0	0.484	972.0	C259437.p1	C266090.p1	0.16667	0.25
C259437.p1__C264512.p1	0.26607	0.44486	3033.0	33.0	1.55111	GF_000577	5.0248	34.5404	8.0	0.1455	807.0	C259437.p1	C264512.p1	0.16667	0.0
C251570.p1__C252836.p1	0.95111	0.76636	675.0	642.0	0.16414	GF_001381	0.0854	3.73	3.0	0.0229	642.0	C251570.p1	C252836.p1	1.0	1.0
C245412.p1__C251570.p1	0.96889	0.68502	675.0	642.0	0.29264	GF_001381	0.1371	63.8983	4.0	0.0021	654.0	C245412.p1	C251570.p1	0.5	0.0
C245412.p1__C252836.p1	0.96	0.68519	675.0	642.0	0.3758	GF_001381	0.1853	62.5909	4.0	0.003	648.0	C245412.p1	C252836.p1	0.5	0.0
C258105.p1__scaffold428.p1	0.87593	0.58829	1209.0	1059.0	0.63324	GF_002401	0.3364	26.2627	2.0	0.0128	1059.0	C258105.p1	scaffold428.p1	1.0	0.0
scaffold2166.p1__scaffold2167.p1	0.57239	1.0	891.0	504.0	0.0011	GF_001414	0.0	0.0	3.0	0.1072	510.0	scaffold2166.p1	scaffold2167.p1	1.0	0.0
C251036.p1__scaffold2166.p1	0.83502	0.42608	891.0	504.0	1.56012	GF_001414	0.755	63.1092	4.0	0.012	744.0	C251036.p1	scaffold2166.p1	0.5	0.0
C251036.p1__scaffold2167.p1	0.56566	0.41865	891.0	504.0	1.56012	GF_001414	0.755	63.0725	4.0	0.012	504.0	C251036.p1	scaffold2167.p1	0.5	0.0
scaffold2981.p1__scaffold2982.p1	1.0	1.0	378.0	378.0	0.0	GF_002835	0.0	0.0	2.0	0.5178	378.0	scaffold2981.p1	scaffold2982.p1	1.0	0.0
C226896.p1__C261215.p1	0.28364	0.5	1650.0	399.0	1.24617	GF_000870	0.5452	66.3953	4.0	0.0082	468.0	C226896.p1	C261215.p1	1.0	0.0
C254231.p1__C254893.p1	0.51455	0.404	1650.0	399.0	2.11841	GF_000870	0.9148	29.8467	5.0	0.0307	849.0	C254231.p1	C254893.p1	1.0	0.0
C226896.p1__C254231.p1	0.25818	0.45305	1650.0	399.0	2.14742	GF_000870	0.7289	16.4722	6.0	0.0442	426.0	C226896.p1	C254231.p1	0.25	0.0
C226896.p1__C254893.p1	0.27091	0.36465	1650.0	399.0	2.54017	GF_000870	0.9506	68.338	6.0	0.0139	447.0	C226896.p1	C254893.p1	0.25	0.0
