	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Lomagramma_sumatrana_scaffold8715.p1__Lomagramma_sumatrana_scaffold8716.p1	1.0	1.0	1350.0	1350.0	0.0	GF_001925	0.0	0.0	3.0	99.0	1350.0	Lomagramma_sumatrana_scaffold8716.p1	Lomagramma_sumatrana_scaffold8715.p1	1.0	0.0
Lomagramma_sumatrana_scaffold8714.p1__Lomagramma_sumatrana_scaffold8716.p1	1.0	1.0	1350.0	1350.0	0.0	GF_001925	0.0	0.0	4.0	99.0	1350.0	Lomagramma_sumatrana_scaffold8714.p1	Lomagramma_sumatrana_scaffold8716.p1	0.5	0.0
Lomagramma_sumatrana_scaffold8714.p1__Lomagramma_sumatrana_scaffold8715.p1	1.0	1.0	1350.0	1350.0	0.0	GF_001925	0.0	0.0	4.0	1.9742	1350.0	Lomagramma_sumatrana_scaffold8714.p1	Lomagramma_sumatrana_scaffold8715.p1	0.5	0.0
Lomagramma_sumatrana_scaffold5786.p1__Lomagramma_sumatrana_scaffold5787.p2	1.0	1.0	399.0	399.0	0.0	GF_003247	0.0	0.0	2.0	99.0	399.0	Lomagramma_sumatrana_scaffold5786.p1	Lomagramma_sumatrana_scaffold5787.p2	1.0	0.0
Lomagramma_sumatrana_scaffold3278.p1__Lomagramma_sumatrana_scaffold3279.p1	1.0	1.0	879.0	879.0	0.0	GF_003125	0.0	0.0	2.0	0.001	879.0	Lomagramma_sumatrana_scaffold3278.p1	Lomagramma_sumatrana_scaffold3279.p1	1.0	0.0
Lomagramma_sumatrana_C280302.p1__Lomagramma_sumatrana_C287314.p1	0.60486	0.43049	987.0	597.0	1.52158	GF_002318	0.7718	67.0745	2.0	0.0115	597.0	Lomagramma_sumatrana_C280302.p1	Lomagramma_sumatrana_C287314.p1	1.0	0.0
Lomagramma_sumatrana_C284828.p1__Lomagramma_sumatrana_C288516.p1	0.85079	0.45149	945.0	804.0	1.67638	GF_002403	0.8242	61.3166	2.0	0.0134	804.0	Lomagramma_sumatrana_C284828.p1	Lomagramma_sumatrana_C288516.p1	1.0	0.0
Lomagramma_sumatrana_scaffold194.p2__Lomagramma_sumatrana_scaffold195.p1	1.0	1.0	360.0	360.0	0.0	GF_003057	0.0	0.0	2.0	0.001	360.0	Lomagramma_sumatrana_scaffold194.p2	Lomagramma_sumatrana_scaffold195.p1	1.0	0.0
Lomagramma_sumatrana_C290698.p1__Lomagramma_sumatrana_scaffold10835.p1	0.72509	0.55608	873.0	633.0	1.12202	GF_002556	0.6009	1.3739	2.0	0.4374	633.0	Lomagramma_sumatrana_C290698.p1	Lomagramma_sumatrana_scaffold10835.p1	1.0	1.0
Lomagramma_sumatrana_scaffold2410.p1__Lomagramma_sumatrana_scaffold2411.p1	0.68627	1.0	765.0	519.0	0.0	GF_000549	0.0	0.0	6.0	0.2309	525.0	Lomagramma_sumatrana_scaffold2411.p1	Lomagramma_sumatrana_scaffold2410.p1	1.0	0.0
Lomagramma_sumatrana_C278654.p1__Lomagramma_sumatrana_scaffold2411.p1	0.68235	0.62069	765.0	519.0	0.69716	GF_000549	0.3357	2.6051	7.0	0.1288	522.0	Lomagramma_sumatrana_C278654.p1	Lomagramma_sumatrana_scaffold2411.p1	0.5	0.5
Lomagramma_sumatrana_C278654.p1__Lomagramma_sumatrana_scaffold2410.p1	0.68235	0.62069	765.0	519.0	0.69716	GF_000549	0.3357	2.6051	7.0	0.1288	522.0	Lomagramma_sumatrana_C278654.p1	Lomagramma_sumatrana_scaffold2410.p1	0.5	0.5
Lomagramma_sumatrana_C290972.p1__Lomagramma_sumatrana_scaffold739.p1	0.84314	0.62481	765.0	519.0	0.48561	GF_000549	0.1913	37.9591	8.0	0.005	645.0	Lomagramma_sumatrana_scaffold739.p1	Lomagramma_sumatrana_C290972.p1	1.0	0.0
Lomagramma_sumatrana_C282064.p1__Lomagramma_sumatrana_scaffold739.p1	0.78431	0.54833	765.0	519.0	0.85391	GF_000549	0.3146	61.8472	9.0	0.0051	600.0	Lomagramma_sumatrana_C282064.p1	Lomagramma_sumatrana_scaffold739.p1	0.5	0.0
Lomagramma_sumatrana_C282064.p1__Lomagramma_sumatrana_C290972.p1	0.76471	0.56752	765.0	519.0	0.88154	GF_000549	0.2959	62.8617	9.0	0.0047	585.0	Lomagramma_sumatrana_C282064.p1	Lomagramma_sumatrana_C290972.p1	0.5	0.0
Lomagramma_sumatrana_C278654.p1__Lomagramma_sumatrana_C282064.p1	0.73725	0.51241	765.0	519.0	1.17317	GF_000549	0.4584	65.6442	10.0	0.007	564.0	Lomagramma_sumatrana_C278654.p1	Lomagramma_sumatrana_C282064.p1	0.11111	0.0
Lomagramma_sumatrana_C278654.p1__Lomagramma_sumatrana_scaffold739.p1	0.8	0.50327	765.0	519.0	1.21322	GF_000549	0.4193	5.6016	10.0	0.0749	612.0	Lomagramma_sumatrana_C278654.p1	Lomagramma_sumatrana_scaffold739.p1	0.11111	0.0
Lomagramma_sumatrana_C278654.p1__Lomagramma_sumatrana_C290972.p1	0.79216	0.4934	765.0	519.0	1.24085	GF_000549	0.4397	61.582	10.0	0.0071	606.0	Lomagramma_sumatrana_C278654.p1	Lomagramma_sumatrana_C290972.p1	0.11111	0.0
Lomagramma_sumatrana_C282064.p1__Lomagramma_sumatrana_scaffold2411.p1	0.68235	0.54023	765.0	519.0	0.99113	GF_000549	0.4074	65.1832	10.0	0.0063	522.0	Lomagramma_sumatrana_scaffold2411.p1	Lomagramma_sumatrana_C282064.p1	0.11111	0.0
Lomagramma_sumatrana_scaffold2411.p1__Lomagramma_sumatrana_scaffold739.p1	0.68235	0.56705	765.0	519.0	1.03118	GF_000549	0.3917	63.7421	10.0	0.0061	522.0	Lomagramma_sumatrana_scaffold2411.p1	Lomagramma_sumatrana_scaffold739.p1	0.11111	0.0
Lomagramma_sumatrana_C290972.p1__Lomagramma_sumatrana_scaffold2411.p1	0.68235	0.55172	765.0	519.0	1.05881	GF_000549	0.4378	61.5671	10.0	0.0071	522.0	Lomagramma_sumatrana_scaffold2411.p1	Lomagramma_sumatrana_C290972.p1	0.11111	0.0
Lomagramma_sumatrana_C282064.p1__Lomagramma_sumatrana_scaffold2410.p1	0.68235	0.54023	765.0	519.0	0.99113	GF_000549	0.4076	65.1377	10.0	0.0063	522.0	Lomagramma_sumatrana_scaffold2410.p1	Lomagramma_sumatrana_C282064.p1	0.11111	0.0
Lomagramma_sumatrana_scaffold2410.p1__Lomagramma_sumatrana_scaffold739.p1	0.68235	0.56705	765.0	519.0	1.03118	GF_000549	0.3917	63.7422	10.0	0.0061	522.0	Lomagramma_sumatrana_scaffold2410.p1	Lomagramma_sumatrana_scaffold739.p1	0.11111	0.0
Lomagramma_sumatrana_C290972.p1__Lomagramma_sumatrana_scaffold2410.p1	0.68235	0.55172	765.0	519.0	1.05881	GF_000549	0.4378	61.5673	10.0	0.0071	522.0	Lomagramma_sumatrana_scaffold2410.p1	Lomagramma_sumatrana_C290972.p1	0.11111	0.0
Lomagramma_sumatrana_scaffold9055.p3__Lomagramma_sumatrana_scaffold9056.p1	1.0	1.0	357.0	357.0	0.0	GF_003393	0.0	0.0	2.0	0.3322	357.0	Lomagramma_sumatrana_scaffold9055.p3	Lomagramma_sumatrana_scaffold9056.p1	1.0	0.0
Lomagramma_sumatrana_C292358.p1__Lomagramma_sumatrana_C293824.p1	0.71747	0.74698	1614.0	948.0	0.20565	GF_001680	0.0971	3.073	3.0	0.0316	1158.0	Lomagramma_sumatrana_C292358.p1	Lomagramma_sumatrana_C293824.p1	1.0	1.0
Lomagramma_sumatrana_C292358.p1__Lomagramma_sumatrana_C294904.p1	0.58736	0.4346	1614.0	948.0	1.76977	GF_001680	0.8664	35.3601	4.0	0.0245	948.0	Lomagramma_sumatrana_C294904.p1	Lomagramma_sumatrana_C292358.p1	0.5	0.0
Lomagramma_sumatrana_C293824.p1__Lomagramma_sumatrana_C294904.p1	0.58736	0.44304	1614.0	948.0	1.6765	GF_001680	0.8537	20.8197	4.0	0.041	948.0	Lomagramma_sumatrana_C294904.p1	Lomagramma_sumatrana_C293824.p1	0.5	0.0
Lomagramma_sumatrana_C269074.p1__Lomagramma_sumatrana_C295968.p1	0.35934	0.53905	1461.0	126.0	0.94084	GF_000971	0.3857	5.5275	4.0	0.0698	525.0	Lomagramma_sumatrana_C295968.p1	Lomagramma_sumatrana_C269074.p1	1.0	0.0
Lomagramma_sumatrana_C288896.p1__Lomagramma_sumatrana_C295968.p1	0.63039	0.48317	1461.0	126.0	1.1948	GF_000971	0.5388	58.3828	5.0	0.0092	921.0	Lomagramma_sumatrana_C288896.p1	Lomagramma_sumatrana_C295968.p1	0.5	0.0
