	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Azolla_pinnata_scaffold10115.p1__Azolla_pinnata_scaffold10116.p1	0.72185	1.0	453.0	216.0	0.0	GF_001925	0.0	0.0	3.0	0.001	327.0	Azolla_pinnata_scaffold10115.p1	Azolla_pinnata_scaffold10116.p1	1.0	0.0
Azolla_pinnata_scaffold10115.p1__Azolla_pinnata_scaffold25224.p1	0.47682	0.86574	453.0	216.0	0.2025	GF_001925	0.1074	0.3333	4.0	0.3222	216.0	Azolla_pinnata_scaffold10115.p1	Azolla_pinnata_scaffold25224.p1	0.5	0.5
Azolla_pinnata_scaffold10116.p1__Azolla_pinnata_scaffold25224.p1	0.47682	0.86574	453.0	216.0	0.2025	GF_001925	0.1074	0.3333	4.0	0.3222	216.0	Azolla_pinnata_scaffold10116.p1	Azolla_pinnata_scaffold25224.p1	0.5	0.5
Azolla_pinnata_scaffold24152.p1__Azolla_pinnata_scaffold24153.p1	0.81139	0.99435	1527.0	342.0	0.00289	GF_000502	0.004	0.0763	7.0	0.0522	1239.0	Azolla_pinnata_scaffold24153.p1	Azolla_pinnata_scaffold24152.p1	1.0	1.0
Azolla_pinnata_scaffold24151.p1__Azolla_pinnata_scaffold24153.p1	0.44794	1.0	1527.0	342.0	0.00164	GF_000502	0.0	0.0	8.0	0.001	684.0	Azolla_pinnata_scaffold24151.p1	Azolla_pinnata_scaffold24153.p1	0.5	0.0
Azolla_pinnata_scaffold24151.p1__Azolla_pinnata_scaffold24152.p1	0.44794	0.98977	1527.0	342.0	0.00343	GF_000502	0.004	0.0763	8.0	0.0522	684.0	Azolla_pinnata_scaffold24151.p1	Azolla_pinnata_scaffold24152.p1	0.5	1.0
Azolla_pinnata_scaffold27892.p1__Azolla_pinnata_scaffold6619.p1	0.48919	0.69344	1527.0	342.0	0.29333	GF_000502	0.0669	40.9194	9.0	0.0016	747.0	Azolla_pinnata_scaffold27892.p1	Azolla_pinnata_scaffold6619.p1	1.0	0.0
Azolla_pinnata_scaffold24151.p1__Azolla_pinnata_scaffold27892.p1	0.44794	0.63596	1527.0	342.0	0.68481	GF_000502	0.2489	59.3479	10.0	0.0042	684.0	Azolla_pinnata_scaffold24151.p1	Azolla_pinnata_scaffold27892.p1	0.16667	0.0
Azolla_pinnata_scaffold24151.p1__Azolla_pinnata_scaffold6619.p1	0.23183	0.64124	1527.0	342.0	0.74304	GF_000502	0.2415	64.4049	10.0	0.0037	354.0	Azolla_pinnata_scaffold24151.p1	Azolla_pinnata_scaffold6619.p1	0.16667	0.0
Azolla_pinnata_scaffold24153.p1__Azolla_pinnata_scaffold27892.p1	0.67583	0.60368	1527.0	342.0	0.68535	GF_000502	0.2489	59.3178	10.0	0.0042	1032.0	Azolla_pinnata_scaffold24153.p1	Azolla_pinnata_scaffold27892.p1	0.16667	0.0
