	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-UOMY-2080623-Osmunda_sp.-gametophyte.p1__scaffold-UOMY-2080698-Osmunda_sp.-gametophyte.p1	0.98718	0.80087	1170.0	1155.0	0.13488	GF_001925	0.0736	1.0286	2.0	0.0716	1155.0	scaffold-UOMY-2080698-Osmunda_sp.-gametophyte.p1	scaffold-UOMY-2080623-Osmunda_sp.-gametophyte.p1	1.0	1.0
scaffold-UOMY-2078181-Osmunda_sp.-gametophyte.p1__scaffold-UOMY-2081562-Osmunda_sp.-gametophyte.p1	0.35587	0.45843	3549.0	1263.0	1.2111	GF_003247	0.6882	68.0824	2.0	0.0101	1263.0	scaffold-UOMY-2078181-Osmunda_sp.-gametophyte.p1	scaffold-UOMY-2081562-Osmunda_sp.-gametophyte.p1	1.0	0.0
scaffold-UOMY-2074041-Osmunda_sp.-gametophyte.p1__scaffold-UOMY-2077390-Osmunda_sp.-gametophyte.p1	0.88341	0.44162	669.0	591.0	1.78298	GF_003125	0.9721	3.7686	2.0	0.2579	591.0	scaffold-UOMY-2074041-Osmunda_sp.-gametophyte.p1	scaffold-UOMY-2077390-Osmunda_sp.-gametophyte.p1	1.0	1.0
scaffold-UOMY-2004712-Osmunda_sp.-gametophyte.p1__scaffold-UOMY-2080574-Osmunda_sp.-gametophyte.p1	0.56888	0.52616	2352.0	1338.0	0.98664	GF_002318	0.5431	6.0695	2.0	0.0895	1338.0	scaffold-UOMY-2004712-Osmunda_sp.-gametophyte.p1	scaffold-UOMY-2080574-Osmunda_sp.-gametophyte.p1	1.0	0.0
scaffold-UOMY-2006045-Osmunda_sp.-gametophyte.p1__scaffold-UOMY-2006046-Osmunda_sp.-gametophyte.p1	0.69536	0.91429	453.0	315.0	0.18504	GF_002403	0.0822	0.1232	2.0	0.6677	315.0	scaffold-UOMY-2006045-Osmunda_sp.-gametophyte.p1	scaffold-UOMY-2006046-Osmunda_sp.-gametophyte.p1	1.0	1.0
scaffold-UOMY-2067784-Osmunda_sp.-gametophyte.p1__scaffold-UOMY-2080885-Osmunda_sp.-gametophyte.p1	0.21179	0.44674	1374.0	291.0	1.35998	GF_003057	0.8004	24.1859	2.0	0.0331	291.0	scaffold-UOMY-2067784-Osmunda_sp.-gametophyte.p1	scaffold-UOMY-2080885-Osmunda_sp.-gametophyte.p1	1.0	0.0
scaffold-UOMY-2007789-Osmunda_sp.-gametophyte.p1__scaffold-UOMY-2067693-Osmunda_sp.-gametophyte.p2	0.83333	0.56333	360.0	300.0	0.76144	GF_002556	0.3925	72.3746	2.0	0.0054	300.0	scaffold-UOMY-2007789-Osmunda_sp.-gametophyte.p1	scaffold-UOMY-2067693-Osmunda_sp.-gametophyte.p2	1.0	0.0
scaffold-UOMY-2012727-Osmunda_sp.-gametophyte.p1__scaffold-UOMY-2078329-Osmunda_sp.-gametophyte.p1	0.75517	0.67732	870.0	495.0	0.40515	GF_000549	0.1648	3.5015	6.0	0.0471	657.0	scaffold-UOMY-2078329-Osmunda_sp.-gametophyte.p1	scaffold-UOMY-2012727-Osmunda_sp.-gametophyte.p1	1.0	1.0
scaffold-UOMY-2078149-Osmunda_sp.-gametophyte.p1__scaffold-UOMY-2078258-Osmunda_sp.-gametophyte.p1	0.75862	0.82273	870.0	495.0	0.11771	GF_000549	0.0553	1.3136	7.0	0.0421	660.0	scaffold-UOMY-2078149-Osmunda_sp.-gametophyte.p1	scaffold-UOMY-2078258-Osmunda_sp.-gametophyte.p1	1.0	1.0
scaffold-UOMY-2008371-Osmunda_sp.-gametophyte.p1__scaffold-UOMY-2078149-Osmunda_sp.-gametophyte.p1	0.76207	0.727	870.0	495.0	0.26905	GF_000549	0.1287	10.5684	8.0	0.0122	663.0	scaffold-UOMY-2008371-Osmunda_sp.-gametophyte.p1	scaffold-UOMY-2078149-Osmunda_sp.-gametophyte.p1	0.5	0.0
