	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Acystopteris_tenuisectaa_scaffold5684.p1__Acystopteris_tenuisectaa_scaffold5685.p1	1.0	1.0	1125.0	1125.0	0.0	GF_001925	0.0	0.0	2.0	0.453	1125.0	Acystopteris_tenuisectaa_scaffold5685.p1	Acystopteris_tenuisectaa_scaffold5684.p1	1.0	0.0
Acystopteris_tenuisectaa_C253097.p1__Acystopteris_tenuisectaa_scaffold1556.p1	0.21696	0.49697	1521.0	315.0	1.14505	GF_000502	0.5754	67.1723	6.0	0.0086	330.0	Acystopteris_tenuisectaa_C253097.p1	Acystopteris_tenuisectaa_scaffold1556.p1	1.0	0.0
Acystopteris_tenuisectaa_C253097.p1__Acystopteris_tenuisectaa_C268810.p1	0.26233	0.41855	1521.0	315.0	1.58524	GF_000502	1.0958	14.4667	7.0	0.0757	399.0	Acystopteris_tenuisectaa_C268810.p1	Acystopteris_tenuisectaa_C253097.p1	0.5	0.0
Acystopteris_tenuisectaa_C268810.p1__Acystopteris_tenuisectaa_scaffold1556.p1	0.27811	0.44444	1521.0	315.0	1.47367	GF_000502	0.6759	29.4036	7.0	0.023	423.0	Acystopteris_tenuisectaa_C268810.p1	Acystopteris_tenuisectaa_scaffold1556.p1	0.5	0.0
Acystopteris_tenuisectaa_C268810.p1__Acystopteris_tenuisectaa_C276848.p1	0.58974	0.39353	1521.0	315.0	1.87966	GF_000502	0.8084	68.2429	8.0	0.0118	897.0	Acystopteris_tenuisectaa_C276848.p1	Acystopteris_tenuisectaa_C268810.p1	0.33333	0.0
Acystopteris_tenuisectaa_C253097.p1__Acystopteris_tenuisectaa_C276848.p1	0.26627	0.46914	1521.0	315.0	1.90496	GF_000502	0.7429	3.4544	8.0	0.2151	405.0	Acystopteris_tenuisectaa_C276848.p1	Acystopteris_tenuisectaa_C253097.p1	0.33333	1.0
Acystopteris_tenuisectaa_C276848.p1__Acystopteris_tenuisectaa_scaffold1556.p1	0.27416	0.40767	1521.0	315.0	1.79339	GF_000502	0.7026	9.0186	8.0	0.0779	417.0	Acystopteris_tenuisectaa_C276848.p1	Acystopteris_tenuisectaa_scaffold1556.p1	0.33333	0.0
Acystopteris_tenuisectaa_C257234.p1__Acystopteris_tenuisectaa_C276848.p1	0.48323	0.42857	1521.0	315.0	1.6256	GF_000502	0.5553	4.3288	9.0	0.1283	735.0	Acystopteris_tenuisectaa_C257234.p1	Acystopteris_tenuisectaa_C276848.p1	0.25	1.0
Acystopteris_tenuisectaa_C257234.p1__Acystopteris_tenuisectaa_C268810.p1	0.48126	0.48224	1521.0	315.0	1.4371	GF_000502	0.6522	66.8569	9.0	0.0098	732.0	Acystopteris_tenuisectaa_C257234.p1	Acystopteris_tenuisectaa_C268810.p1	0.25	0.0
Acystopteris_tenuisectaa_C253097.p1__Acystopteris_tenuisectaa_C257234.p1	0.26233	0.44361	1521.0	315.0	1.4624	GF_000502	0.7389	65.6423	9.0	0.0113	399.0	Acystopteris_tenuisectaa_C257234.p1	Acystopteris_tenuisectaa_C253097.p1	0.25	0.0
