	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-VIBO-2001395-Osmunda_javanica.p1__scaffold-VIBO-2001396-Osmunda_javanica.p1	0.47075	0.9714	2154.0	1014.0	0.03678	GF_001925	0.0202	0.061	2.0	0.3308	1014.0	scaffold-VIBO-2001395-Osmunda_javanica.p1	scaffold-VIBO-2001396-Osmunda_javanica.p1	1.0	1.0
scaffold-VIBO-2078366-Osmunda_javanica.p1__scaffold-VIBO-2078793-Osmunda_javanica.p1	0.84602	0.662	1773.0	1500.0	0.4672	GF_003247	0.2479	4.2707	2.0	0.058	1500.0	scaffold-VIBO-2078366-Osmunda_javanica.p1	scaffold-VIBO-2078793-Osmunda_javanica.p1	1.0	1.0
scaffold-VIBO-2074764-Osmunda_javanica.p1__scaffold-VIBO-2074769-Osmunda_javanica.p1	0.77105	0.3777	1140.0	879.0	2.01354	GF_003125	1.0212	63.3144	2.0	0.0161	879.0	scaffold-VIBO-2074764-Osmunda_javanica.p1	scaffold-VIBO-2074769-Osmunda_javanica.p1	1.0	0.0
scaffold-VIBO-2005921-Osmunda_javanica.p1__scaffold-VIBO-2076380-Osmunda_javanica.p1	0.37264	0.79325	1272.0	474.0	0.41222	GF_002318	0.2237	0.4091	2.0	0.5469	474.0	scaffold-VIBO-2005921-Osmunda_javanica.p1	scaffold-VIBO-2076380-Osmunda_javanica.p1	1.0	1.0
scaffold-VIBO-2006929-Osmunda_javanica.p1__scaffold-VIBO-2006930-Osmunda_javanica.p1	0.60772	1.0	933.0	567.0	0.00054	GF_002403	0.0	0.0	2.0	0.001	567.0	scaffold-VIBO-2006929-Osmunda_javanica.p1	scaffold-VIBO-2006930-Osmunda_javanica.p1	1.0	0.0
scaffold-VIBO-2073431-Osmunda_javanica.p1__scaffold-VIBO-2074851-Osmunda_javanica.p1	0.97309	0.69585	669.0	651.0	0.53968	GF_003057	0.2571	1.1242	2.0	0.2287	651.0	scaffold-VIBO-2073431-Osmunda_javanica.p1	scaffold-VIBO-2074851-Osmunda_javanica.p1	1.0	1.0
scaffold-VIBO-2008737-Osmunda_javanica.p1__scaffold-VIBO-2071747-Osmunda_javanica.p1	0.76757	0.8169	555.0	426.0	0.00054	GF_002556	0.0026	2.6085	2.0	0.001	426.0	scaffold-VIBO-2008737-Osmunda_javanica.p1	scaffold-VIBO-2071747-Osmunda_javanica.p1	1.0	1.0
scaffold-VIBO-2069580-Osmunda_javanica.p2__scaffold-VIBO-2079362-Osmunda_javanica.p1	0.12628	0.60694	4110.0	33.0	0.58985	GF_001680	0.1973	54.0488	3.0	0.0037	519.0	scaffold-VIBO-2079362-Osmunda_javanica.p1	scaffold-VIBO-2069580-Osmunda_javanica.p2	1.0	0.0
scaffold-VIBO-2062528-Osmunda_javanica.p1__scaffold-VIBO-2079362-Osmunda_javanica.p1	0.07737	0.57547	4110.0	33.0	0.79361	GF_001680	0.62	4.2742	4.0	0.145	318.0	scaffold-VIBO-2062528-Osmunda_javanica.p1	scaffold-VIBO-2079362-Osmunda_javanica.p1	0.5	0.5
scaffold-VIBO-2062528-Osmunda_javanica.p1__scaffold-VIBO-2069580-Osmunda_javanica.p2	0.00803	0.54545	4110.0	33.0	1.00832	GF_001680	0.5791	3.3837	4.0	0.1712	33.0	scaffold-VIBO-2062528-Osmunda_javanica.p1	scaffold-VIBO-2069580-Osmunda_javanica.p2	0.5	0.5
