	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Plagiogyria_japonica_C622403.p1__Plagiogyria_japonica_C656722.p1	0.47059	0.51562	816.0	384.0	1.17144	GF_003247	0.5927	70.8266	2.0	0.0084	384.0	Plagiogyria_japonica_C622403.p1	Plagiogyria_japonica_C656722.p1	1.0	0.0
Plagiogyria_japonica_C678118.p1__Plagiogyria_japonica_scaffold26100.p1	0.80261	0.75745	1839.0	1476.0	0.2988	GF_003125	0.151	1.335	2.0	0.1131	1476.0	Plagiogyria_japonica_scaffold26100.p1	Plagiogyria_japonica_C678118.p1	1.0	1.0
Plagiogyria_japonica_scaffold20600.p2__Plagiogyria_japonica_scaffold20601.p1	0.83784	0.72581	222.0	186.0	0.36236	GF_004515	0.1708	1.3785	2.0	0.1239	186.0	Plagiogyria_japonica_scaffold20600.p2	Plagiogyria_japonica_scaffold20601.p1	1.0	0.0
Plagiogyria_japonica_C656624.p1__Plagiogyria_japonica_C669230.p1	0.45562	0.77706	1014.0	42.0	0.25528	GF_002318	0.2412	1.5501	3.0	0.1556	462.0	Plagiogyria_japonica_C669230.p1	Plagiogyria_japonica_C656624.p1	1.0	1.0
Plagiogyria_japonica_C656036.p1__Plagiogyria_japonica_C669230.p1	0.48225	0.69939	1014.0	42.0	0.58264	GF_002318	0.4904	0.6793	4.0	0.7219	489.0	Plagiogyria_japonica_C656036.p1	Plagiogyria_japonica_C669230.p1	0.5	0.5
Plagiogyria_japonica_C656036.p1__Plagiogyria_japonica_C656624.p1	0.04142	0.80952	1014.0	42.0	0.32846	GF_002318	0.2723	0.1684	4.0	1.6167	42.0	Plagiogyria_japonica_C656036.p1	Plagiogyria_japonica_C656624.p1	0.5	0.5
Plagiogyria_japonica_C665444.p1__Plagiogyria_japonica_scaffold7647.p1	0.52174	0.51389	828.0	399.0	1.32427	GF_002403	0.7055	1.471	3.0	0.4796	432.0	Plagiogyria_japonica_C665444.p1	Plagiogyria_japonica_scaffold7647.p1	1.0	1.0
Plagiogyria_japonica_C665056.p1__Plagiogyria_japonica_C665444.p1	0.67754	0.42068	828.0	399.0	1.54166	GF_002403	0.8749	5.3288	4.0	0.1642	561.0	Plagiogyria_japonica_C665056.p1	Plagiogyria_japonica_C665444.p1	0.5	0.0
Plagiogyria_japonica_C665056.p1__Plagiogyria_japonica_scaffold7647.p1	0.48188	0.40351	828.0	399.0	2.10257	GF_002403	1.0112	56.3402	4.0	0.0179	399.0	Plagiogyria_japonica_C665056.p1	Plagiogyria_japonica_scaffold7647.p1	0.5	0.0
Plagiogyria_japonica_C598098.p2__Plagiogyria_japonica_C623810.p1	0.59006	0.75789	483.0	285.0	0.33326	GF_003057	0.1665	1.6363	2.0	0.1017	285.0	Plagiogyria_japonica_C598098.p2	Plagiogyria_japonica_C623810.p1	1.0	1.0
Plagiogyria_japonica_scaffold1178.p2__Plagiogyria_japonica_scaffold1598.p1	0.13314	0.93617	1059.0	141.0	0.00436	GF_002556	0.0003	0.2734	3.0	0.001	141.0	Plagiogyria_japonica_scaffold1598.p1	Plagiogyria_japonica_scaffold1178.p2	1.0	1.0
Plagiogyria_japonica_scaffold1597.p1__Plagiogyria_japonica_scaffold1598.p1	1.0	0.99245	1059.0	141.0	0.00833	GF_002556	0.0	0.0	4.0	0.3923	1059.0	Plagiogyria_japonica_scaffold1597.p1	Plagiogyria_japonica_scaffold1598.p1	0.5	0.0
Plagiogyria_japonica_scaffold1178.p2__Plagiogyria_japonica_scaffold1597.p1	0.13314	0.93617	1059.0	141.0	0.00507	GF_002556	0.0003	0.2734	4.0	0.001	141.0	Plagiogyria_japonica_scaffold1597.p1	Plagiogyria_japonica_scaffold1178.p2	0.5	1.0
Plagiogyria_japonica_scaffold19823.p1__Plagiogyria_japonica_scaffold26802.p1	0.5808	0.8145	2469.0	1434.0	0.17522	GF_004491	0.0912	0.7884	2.0	0.1156	1434.0	Plagiogyria_japonica_scaffold19823.p1	Plagiogyria_japonica_scaffold26802.p1	1.0	1.0
