	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
scaffold-RICC-2004473-Cystopteris_reevesiana.p1__scaffold-RICC-2011814-Cystopteris_reevesiana.p1	0.78723	0.61261	705.0	555.0	0.53852	GF_001925	0.3031	2.9949	2.0	0.1012	555.0	scaffold-RICC-2004473-Cystopteris_reevesiana.p1	scaffold-RICC-2011814-Cystopteris_reevesiana.p1	1.0	1.0
scaffold-RICC-2014365-Cystopteris_reevesiana.p1__scaffold-RICC-2065622-Cystopteris_reevesiana.p1	0.96021	0.69429	1734.0	1665.0	0.34814	GF_002318	0.1849	3.5801	2.0	0.0517	1665.0	scaffold-RICC-2065622-Cystopteris_reevesiana.p1	scaffold-RICC-2014365-Cystopteris_reevesiana.p1	1.0	1.0
scaffold-RICC-2010800-Cystopteris_reevesiana.p1__scaffold-RICC-2011559-Cystopteris_reevesiana.p1	0.48916	0.47468	969.0	474.0	1.1759	GF_002403	0.6369	67.8381	2.0	0.0094	474.0	scaffold-RICC-2010800-Cystopteris_reevesiana.p1	scaffold-RICC-2011559-Cystopteris_reevesiana.p1	1.0	0.0
scaffold-RICC-2012981-Cystopteris_reevesiana.p1__scaffold-RICC-2012996-Cystopteris_reevesiana.p1	0.62707	0.65345	1086.0	681.0	0.52228	GF_002556	0.2894	3.269	2.0	0.0885	681.0	scaffold-RICC-2012981-Cystopteris_reevesiana.p1	scaffold-RICC-2012996-Cystopteris_reevesiana.p1	1.0	1.0
scaffold-RICC-2002387-Cystopteris_reevesiana.p1__scaffold-RICC-2014677-Cystopteris_reevesiana.p1	0.34881	0.47619	2649.0	771.0	1.50756	GF_000549	0.6578	7.6405	5.0	0.0861	924.0	scaffold-RICC-2014677-Cystopteris_reevesiana.p1	scaffold-RICC-2002387-Cystopteris_reevesiana.p1	1.0	0.0
scaffold-RICC-2002025-Cystopteris_reevesiana.p1__scaffold-RICC-2002026-Cystopteris_reevesiana.p1	0.4983	0.97955	2649.0	771.0	0.02715	GF_000549	0.033	0.0484	6.0	0.6806	1320.0	scaffold-RICC-2002025-Cystopteris_reevesiana.p1	scaffold-RICC-2002026-Cystopteris_reevesiana.p1	1.0	1.0
scaffold-RICC-2002025-Cystopteris_reevesiana.p1__scaffold-RICC-2065822-Cystopteris_reevesiana.p1	0.5017	0.52822	2649.0	771.0	1.31182	GF_000549	0.4909	1.7742	7.0	0.2767	1329.0	scaffold-RICC-2065822-Cystopteris_reevesiana.p1	scaffold-RICC-2002025-Cystopteris_reevesiana.p1	0.5	0.5
scaffold-RICC-2002026-Cystopteris_reevesiana.p1__scaffold-RICC-2065822-Cystopteris_reevesiana.p1	0.49264	0.50651	2649.0	771.0	1.33787	GF_000549	0.5502	1.9279	7.0	0.2854	1305.0	scaffold-RICC-2065822-Cystopteris_reevesiana.p1	scaffold-RICC-2002026-Cystopteris_reevesiana.p1	0.5	0.5
scaffold-RICC-2014677-Cystopteris_reevesiana.p1__scaffold-RICC-2065822-Cystopteris_reevesiana.p1	0.65006	0.4669	2649.0	771.0	1.53842	GF_000549	0.6329	3.3119	8.0	0.1911	1722.0	scaffold-RICC-2014677-Cystopteris_reevesiana.p1	scaffold-RICC-2065822-Cystopteris_reevesiana.p1	0.16667	0.16667
scaffold-RICC-2002025-Cystopteris_reevesiana.p1__scaffold-RICC-2014677-Cystopteris_reevesiana.p1	0.39411	0.47222	2649.0	771.0	1.77702	GF_000549	0.7429	2.4669	8.0	0.3012	1044.0	scaffold-RICC-2014677-Cystopteris_reevesiana.p1	scaffold-RICC-2002025-Cystopteris_reevesiana.p1	0.16667	0.16667
scaffold-RICC-2002026-Cystopteris_reevesiana.p1__scaffold-RICC-2014677-Cystopteris_reevesiana.p1	0.38505	0.4451	2649.0	771.0	1.80307	GF_000549	0.805	2.91	8.0	0.2766	1020.0	scaffold-RICC-2014677-Cystopteris_reevesiana.p1	scaffold-RICC-2002026-Cystopteris_reevesiana.p1	0.16667	0.16667
scaffold-RICC-2002387-Cystopteris_reevesiana.p1__scaffold-RICC-2065822-Cystopteris_reevesiana.p1	0.50057	0.45928	2649.0	771.0	1.56394	GF_000549	0.6516	3.4379	8.0	0.1895	1326.0	scaffold-RICC-2002387-Cystopteris_reevesiana.p1	scaffold-RICC-2065822-Cystopteris_reevesiana.p1	0.16667	0.16667
scaffold-RICC-2002025-Cystopteris_reevesiana.p1__scaffold-RICC-2002387-Cystopteris_reevesiana.p1	0.39411	0.48659	2649.0	771.0	1.80254	GF_000549	0.7465	2.4236	8.0	0.308	1044.0	scaffold-RICC-2002387-Cystopteris_reevesiana.p1	scaffold-RICC-2002025-Cystopteris_reevesiana.p1	0.16667	0.16667
scaffold-RICC-2002026-Cystopteris_reevesiana.p1__scaffold-RICC-2002387-Cystopteris_reevesiana.p1	0.38505	0.45882	2649.0	771.0	1.82859	GF_000549	0.8248	2.9239	8.0	0.2821	1020.0	scaffold-RICC-2002387-Cystopteris_reevesiana.p1	scaffold-RICC-2002026-Cystopteris_reevesiana.p1	0.16667	0.16667
scaffold-RICC-2001459-Cystopteris_reevesiana.p1__scaffold-RICC-2063906-Cystopteris_reevesiana.p1	0.56014	0.46795	1671.0	936.0	1.17144	GF_001680	0.6635	16.3009	2.0	0.0407	936.0	scaffold-RICC-2001459-Cystopteris_reevesiana.p1	scaffold-RICC-2063906-Cystopteris_reevesiana.p1	1.0	0.0
scaffold-RICC-2013812-Cystopteris_reevesiana.p1__scaffold-RICC-2014721-Cystopteris_reevesiana.p1	0.47594	0.51685	1122.0	534.0	1.11898	GF_002601	0.6171	5.0452	2.0	0.1223	534.0	scaffold-RICC-2013812-Cystopteris_reevesiana.p1	scaffold-RICC-2014721-Cystopteris_reevesiana.p1	1.0	0.0
scaffold-RICC-2005111-Cystopteris_reevesiana.p1__scaffold-RICC-2009388-Cystopteris_reevesiana.p1	0.75524	0.81481	429.0	276.0	0.04791	GF_001253	0.0155	2.1298	3.0	0.0073	324.0	scaffold-RICC-2005111-Cystopteris_reevesiana.p1	scaffold-RICC-2009388-Cystopteris_reevesiana.p1	1.0	1.0
scaffold-RICC-2005111-Cystopteris_reevesiana.p1__scaffold-RICC-2060207-Cystopteris_reevesiana.p1	0.88112	0.78836	429.0	276.0	0.06646	GF_001253	0.0235	5.5421	4.0	0.0042	378.0	scaffold-RICC-2060207-Cystopteris_reevesiana.p1	scaffold-RICC-2005111-Cystopteris_reevesiana.p1	0.5	0.0
scaffold-RICC-2009388-Cystopteris_reevesiana.p1__scaffold-RICC-2060207-Cystopteris_reevesiana.p1	0.64336	0.77899	429.0	276.0	0.11331	GF_001253	0.0372	6.6295	4.0	0.0056	276.0	scaffold-RICC-2060207-Cystopteris_reevesiana.p1	scaffold-RICC-2009388-Cystopteris_reevesiana.p1	0.5	0.0
scaffold-RICC-2009345-Cystopteris_reevesiana.p2__scaffold-RICC-2009346-Cystopteris_reevesiana.p2	1.0	1.0	513.0	513.0	0.0	GF_001727	0.0	0.0	2.0	0.3835	513.0	scaffold-RICC-2009346-Cystopteris_reevesiana.p2	scaffold-RICC-2009345-Cystopteris_reevesiana.p2	1.0	0.0
scaffold-RICC-2004757-Cystopteris_reevesiana.p1__scaffold-RICC-2055557-Cystopteris_reevesiana.p1	0.85484	0.93082	372.0	318.0	0.05162	GF_001947	0.0213	0.2615	2.0	0.0814	318.0	scaffold-RICC-2004757-Cystopteris_reevesiana.p1	scaffold-RICC-2055557-Cystopteris_reevesiana.p1	1.0	1.0
scaffold-RICC-2009150-Cystopteris_reevesiana.p1__scaffold-RICC-2011594-Cystopteris_reevesiana.p1	0.3427	0.57559	1602.0	306.0	0.76784	GF_001381	0.3232	8.7772	3.0	0.0368	549.0	scaffold-RICC-2009150-Cystopteris_reevesiana.p1	scaffold-RICC-2011594-Cystopteris_reevesiana.p1	1.0	0.0
scaffold-RICC-2009150-Cystopteris_reevesiana.p1__scaffold-RICC-2060293-Cystopteris_reevesiana.p1	0.1985	0.55031	1602.0	306.0	1.10019	GF_001381	0.5419	70.1691	4.0	0.0077	318.0	scaffold-RICC-2060293-Cystopteris_reevesiana.p1	scaffold-RICC-2009150-Cystopteris_reevesiana.p1	0.5	0.0
scaffold-RICC-2011594-Cystopteris_reevesiana.p1__scaffold-RICC-2060293-Cystopteris_reevesiana.p1	0.21348	0.5	1602.0	306.0	1.22785	GF_001381	0.6019	71.5912	4.0	0.0084	342.0	scaffold-RICC-2060293-Cystopteris_reevesiana.p1	scaffold-RICC-2011594-Cystopteris_reevesiana.p1	0.5	0.0
scaffold-RICC-2010768-Cystopteris_reevesiana.p1__scaffold-RICC-2054044-Cystopteris_reevesiana.p2	0.69281	0.84591	459.0	318.0	0.07944	GF_002401	0.0486	0.8473	2.0	0.0574	318.0	scaffold-RICC-2010768-Cystopteris_reevesiana.p1	scaffold-RICC-2054044-Cystopteris_reevesiana.p2	1.0	1.0
