	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Ophioglossum_vulgatum_C708881.p1__Ophioglossum_vulgatum_C749709.p1	0.38667	0.88123	675.0	261.0	0.26768	GF_001925	0.1398	0.1244	2.0	1.1233	261.0	Ophioglossum_vulgatum_C708881.p1	Ophioglossum_vulgatum_C749709.p1	1.0	1.0
Ophioglossum_vulgatum_C763671.p1__Ophioglossum_vulgatum_scaffold18784.p1	0.51464	0.74797	1434.0	6.0	0.32273	GF_000502		3.8942	6.0		738.0	Ophioglossum_vulgatum_C763671.p1	Ophioglossum_vulgatum_scaffold18784.p1	1.0	1.0
Ophioglossum_vulgatum_C750609.p1__Ophioglossum_vulgatum_C763671.p1	0.26778	0.35938	1434.0	6.0	1.71803	GF_000502		3.8942	7.0		384.0	Ophioglossum_vulgatum_C750609.p1	Ophioglossum_vulgatum_C763671.p1	0.5	0.5
Ophioglossum_vulgatum_C750609.p1__Ophioglossum_vulgatum_scaffold18784.p1	0.32636	0.38675	1434.0	6.0	1.71444	GF_000502		3.8942	7.0		468.0	Ophioglossum_vulgatum_C750609.p1	Ophioglossum_vulgatum_scaffold18784.p1	0.5	0.5
Ophioglossum_vulgatum_C742673.p1__Ophioglossum_vulgatum_C766767.p1	0.31799	0.8136	1434.0	6.0	0.36213	GF_000502		3.8942	8.0		456.0	Ophioglossum_vulgatum_C766767.p1	Ophioglossum_vulgatum_C742673.p1	1.0	1.0
Ophioglossum_vulgatum_C737781.p1__Ophioglossum_vulgatum_C766767.p1	0.33054	0.51477	1434.0	6.0	1.35775	GF_000502		0.5206	9.0	0.5177	474.0	Ophioglossum_vulgatum_C737781.p1	Ophioglossum_vulgatum_C766767.p1	0.5	0.5
Ophioglossum_vulgatum_C737781.p1__Ophioglossum_vulgatum_C742673.p1	0.12343	0.39548	1434.0	6.0	1.7188	GF_000502		3.8942	9.0		177.0	Ophioglossum_vulgatum_C737781.p1	Ophioglossum_vulgatum_C742673.p1	0.5	0.5
Ophioglossum_vulgatum_C737781.p1__Ophioglossum_vulgatum_C750609.p1	0.05439	0.30769	1434.0	6.0	2.30094	GF_000502		3.8942	10.0		78.0	Ophioglossum_vulgatum_C750609.p1	Ophioglossum_vulgatum_C737781.p1	0.11111	0.125
Ophioglossum_vulgatum_C750609.p1__Ophioglossum_vulgatum_C766767.p1	0.38494	0.45833	1434.0	6.0	1.93557	GF_000502		3.8942	10.0		552.0	Ophioglossum_vulgatum_C750609.p1	Ophioglossum_vulgatum_C766767.p1	0.11111	0.125
Ophioglossum_vulgatum_C742673.p1__Ophioglossum_vulgatum_C750609.p1	0.01255	0.22222	1434.0	6.0	2.29662	GF_000502		3.8942	10.0		18.0	Ophioglossum_vulgatum_C750609.p1	Ophioglossum_vulgatum_C742673.p1	0.11111	0.125
Ophioglossum_vulgatum_C737781.p1__Ophioglossum_vulgatum_C763671.p1	0.2113	0.49505	1434.0	6.0	1.76575	GF_000502		4.6446	10.0	0.4738	303.0	Ophioglossum_vulgatum_C763671.p1	Ophioglossum_vulgatum_C737781.p1	0.11111	0.125
Ophioglossum_vulgatum_C763671.p1__Ophioglossum_vulgatum_C766767.p1	0.49372	0.44633	1434.0	6.0	1.40038	GF_000502		3.9927	10.0	0.4697	708.0	Ophioglossum_vulgatum_C763671.p1	Ophioglossum_vulgatum_C766767.p1	0.11111	0.125
Ophioglossum_vulgatum_C742673.p1__Ophioglossum_vulgatum_C763671.p1	0.00418	0.83333	1434.0	6.0	1.76143	GF_000502		3.8942	10.0		6.0	Ophioglossum_vulgatum_C763671.p1	Ophioglossum_vulgatum_C742673.p1	0.11111	0.125
Ophioglossum_vulgatum_C737781.p1__Ophioglossum_vulgatum_scaffold18784.p1	0.21339	0.49346	1434.0	6.0	1.76216	GF_000502		6.0017	10.0	0.3573	306.0	Ophioglossum_vulgatum_scaffold18784.p1	Ophioglossum_vulgatum_C737781.p1	0.11111	0.0
Ophioglossum_vulgatum_C766767.p1__Ophioglossum_vulgatum_scaffold18784.p1	0.56276	0.47088	1434.0	6.0	1.39679	GF_000502		3.8942	10.0	0.3737	807.0	Ophioglossum_vulgatum_scaffold18784.p1	Ophioglossum_vulgatum_C766767.p1	0.11111	0.125
Ophioglossum_vulgatum_C742673.p1__Ophioglossum_vulgatum_scaffold18784.p1	0.00628	0.66667	1434.0	6.0	1.75784	GF_000502		3.8942	10.0		9.0	Ophioglossum_vulgatum_scaffold18784.p1	Ophioglossum_vulgatum_C742673.p1	0.11111	0.125
Ophioglossum_vulgatum_scaffold23298.p1__Ophioglossum_vulgatum_scaffold3273.p1	0.10105	0.87356	861.0	87.0	0.0772	GF_003247	0.0404	1.6557	2.0	0.0244	87.0	Ophioglossum_vulgatum_scaffold23298.p1	Ophioglossum_vulgatum_scaffold3273.p1	1.0	1.0
Ophioglossum_vulgatum_scaffold20047.p1__Ophioglossum_vulgatum_scaffold20048.p1	1.0	1.0	183.0	183.0	0.0	GF_003125	0.0	0.0	2.0	0.001	183.0	Ophioglossum_vulgatum_scaffold20047.p1	Ophioglossum_vulgatum_scaffold20048.p1	1.0	0.0
Ophioglossum_vulgatum_C755317.p1__Ophioglossum_vulgatum_scaffold18073.p1	0.8843	0.8785	726.0	642.0	0.23252	GF_002318	0.1111	0.2118	2.0	0.5248	642.0	Ophioglossum_vulgatum_C755317.p1	Ophioglossum_vulgatum_scaffold18073.p1	1.0	1.0
Ophioglossum_vulgatum_scaffold21164.p1__Ophioglossum_vulgatum_scaffold22725.p1	0.87411	0.73813	2097.0	1833.0	0.38428	GF_002403	0.1826	1.2395	2.0	0.1473	1833.0	Ophioglossum_vulgatum_scaffold21164.p1	Ophioglossum_vulgatum_scaffold22725.p1	1.0	1.0
Ophioglossum_vulgatum_scaffold18884.p1__Ophioglossum_vulgatum_scaffold18885.p1	1.0	1.0	180.0	180.0	0.0	GF_003057	0.0	0.0	2.0	0.5222	180.0	Ophioglossum_vulgatum_scaffold18884.p1	Ophioglossum_vulgatum_scaffold18885.p1	1.0	0.0
