	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Deparia_petersenii_C304469.p1__Deparia_petersenii_C319803.p1	0.83099	0.77966	426.0	354.0	0.40054	GF_001925	0.1978	0.6241	2.0	0.3169	354.0	Deparia_petersenii_C304469.p1	Deparia_petersenii_C319803.p1	1.0	1.0
Deparia_petersenii_scaffold913.p1__Deparia_petersenii_scaffold914.p1	0.62917	1.0	720.0	453.0	0.00054	GF_003125	0.0	0.0	2.0	0.001	453.0	Deparia_petersenii_scaffold913.p1	Deparia_petersenii_scaffold914.p1	1.0	0.0
Deparia_petersenii_C343225.p1__Deparia_petersenii_scaffold13163.p1	0.61633	0.69316	735.0	453.0	0.3963	GF_002318	0.2189	1.5962	2.0	0.1371	453.0	Deparia_petersenii_C343225.p1	Deparia_petersenii_scaffold13163.p1	1.0	1.0
Deparia_petersenii_C347509.p1__Deparia_petersenii_scaffold8729.p1	0.87582	0.61194	918.0	804.0	0.54692	GF_002403	0.3338	2.2957	2.0	0.1454	804.0	Deparia_petersenii_C347509.p1	Deparia_petersenii_scaffold8729.p1	1.0	1.0
Deparia_petersenii_scaffold5846.p2__Deparia_petersenii_scaffold5847.p1	1.0	1.0	354.0	354.0	0.0	GF_003057	0.0	0.0	2.0	0.4213	354.0	Deparia_petersenii_scaffold5846.p2	Deparia_petersenii_scaffold5847.p1	1.0	0.0
Deparia_petersenii_C355387.p1__Deparia_petersenii_C357453.p1	0.7086	0.58502	1884.0	1335.0	0.93254	GF_002556	0.5038	1.6365	2.0	0.3079	1335.0	Deparia_petersenii_C355387.p1	Deparia_petersenii_C357453.p1	1.0	1.0
Deparia_petersenii_scaffold10134.p2__Deparia_petersenii_scaffold11845.p1	0.11836	0.45578	3726.0	21.0	1.33959	GF_001680	1.1148	48.4537	3.0	0.023	441.0	Deparia_petersenii_scaffold10134.p2	Deparia_petersenii_scaffold11845.p1	1.0	0.0
Deparia_petersenii_scaffold10134.p1__Deparia_petersenii_scaffold10134.p2	0.00564	0.42857	3726.0	21.0	1.36839	GF_001680	1.6287	59.463	4.0	0.0274	21.0	Deparia_petersenii_scaffold10134.p1	Deparia_petersenii_scaffold10134.p2	0.5	0.0
Deparia_petersenii_scaffold10134.p1__Deparia_petersenii_scaffold11845.p1	0.71095	0.39109	3726.0	21.0	2.00372	GF_001680	0.1613	13.1055	4.0	0.0123	2649.0	Deparia_petersenii_scaffold10134.p1	Deparia_petersenii_scaffold11845.p1	0.5	0.0
Deparia_petersenii_C357559.p1__Deparia_petersenii_scaffold10001.p1	0.9006	0.65121	1509.0	1359.0	0.54084	GF_002601	0.2914	2.5118	2.0	0.116	1359.0	Deparia_petersenii_C357559.p1	Deparia_petersenii_scaffold10001.p1	1.0	1.0
Deparia_petersenii_C308859.p1__Deparia_petersenii_C319811.p1	0.29706	0.72607	1020.0	303.0	0.3747	GF_001253	0.1706	1.6719	3.0	0.102	303.0	Deparia_petersenii_C308859.p1	Deparia_petersenii_C319811.p1	1.0	1.0
Deparia_petersenii_C308859.p1__Deparia_petersenii_C347653.p1	0.34412	0.64387	1020.0	303.0	0.69161	GF_001253	0.332	1.5753	4.0	0.2107	351.0	Deparia_petersenii_C347653.p1	Deparia_petersenii_C308859.p1	0.5	0.5
Deparia_petersenii_C319811.p1__Deparia_petersenii_C347653.p1	0.47059	0.57917	1020.0	303.0	0.88831	GF_001253	0.3328	1.8269	4.0	0.1822	480.0	Deparia_petersenii_C347653.p1	Deparia_petersenii_C319811.p1	0.5	0.5
Deparia_petersenii_scaffold12400.p1__Deparia_petersenii_scaffold7717.p1	0.16129	0.70909	1023.0	165.0	0.32663	GF_001727	0.1652	2.5602	3.0	0.0645	165.0	Deparia_petersenii_scaffold12400.p1	Deparia_petersenii_scaffold7717.p1	1.0	1.0
Deparia_petersenii_scaffold12400.p1__Deparia_petersenii_scaffold14109.p1	0.26393	0.67037	1023.0	165.0	0.5052	GF_001727	0.2354	7.674	4.0	0.0307	270.0	Deparia_petersenii_scaffold14109.p1	Deparia_petersenii_scaffold12400.p1	0.5	0.0
Deparia_petersenii_scaffold14109.p1__Deparia_petersenii_scaffold7717.p1	0.85337	0.65178	1023.0	165.0	0.49281	GF_001727	0.2256	62.9221	4.0	0.0036	873.0	Deparia_petersenii_scaffold14109.p1	Deparia_petersenii_scaffold7717.p1	0.5	0.0
Deparia_petersenii_C307157.p1__Deparia_petersenii_scaffold9256.p1	0.45149	0.50413	804.0	363.0	1.16852	GF_001947	0.5986	71.1345	2.0	0.0084	363.0	Deparia_petersenii_C307157.p1	Deparia_petersenii_scaffold9256.p1	1.0	0.0
Deparia_petersenii_C293206.p1__Deparia_petersenii_scaffold9032.p1	0.15931	0.59406	1902.0	117.0	0.48393	GF_000577	0.3669	54.6004	5.0	0.0067	303.0	Deparia_petersenii_C293206.p1	Deparia_petersenii_scaffold9032.p1	1.0	0.0
