	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
C332153.p1__C393667.p1	0.16717	0.53333	1974.0	330.0	0.95302	GF_001925	0.5663	3.7598	2.0	0.1506	330.0	C332153.p1	C393667.p1	1.0	1.0
C342416.p1__scaffold11162.p1	0.09292	0.55952	2712.0	3.0	0.96302	GF_000502	0.0	0.0	6.0		252.0	C342416.p1	scaffold11162.p1	1.0	0.0
scaffold1712.p1__scaffold7771.p1	0.45686	0.7046	2712.0	3.0	0.30296	GF_000502	0.0	0.0	7.0		1239.0	scaffold7771.p1	scaffold1712.p1	1.0	0.0
C393467.p1__C395877.p1	0.62168	0.53499	2712.0	3.0	0.95054	GF_000502	0.0	0.0	8.0		1686.0	C393467.p1	C395877.p1	1.0	0.0
C393467.p1__scaffold7771.p1	0.47013	0.46039	2712.0	3.0	1.54072	GF_000502	0.0	0.0	9.0		1275.0	scaffold7771.p1	C393467.p1	0.25	0.0
C395877.p1__scaffold7771.p1	0.48341	0.46682	2712.0	3.0	1.41554	GF_000502	0.0	0.0	9.0		1311.0	scaffold7771.p1	C395877.p1	0.25	0.0
C393467.p1__scaffold1712.p1	0.40376	0.45388	2712.0	3.0	1.64654	GF_000502	0.0	0.0	9.0		1095.0	scaffold1712.p1	C393467.p1	0.25	0.0
C395877.p1__scaffold1712.p1	0.41925	0.48109	2712.0	3.0	1.52136	GF_000502	0.0	0.0	9.0		1137.0	scaffold1712.p1	C395877.p1	0.25	0.0
C342416.p1__scaffold7771.p1	0.09956	0.51481	2712.0	3.0	1.57873	GF_000502	0.0	0.0	10.0		270.0	C342416.p1	scaffold7771.p1	0.125	0.0
C342416.p1__scaffold1712.p1	0.00111	1.0	2712.0	3.0	1.68455	GF_000502	0.0	0.0	10.0		3.0	C342416.p1	scaffold1712.p1	0.125	0.0
C342416.p1__C393467.p1	0.0354	0.40625	2712.0	3.0	2.20365	GF_000502	0.0	0.0	10.0		96.0	C342416.p1	C393467.p1	0.125	0.0
C342416.p1__C395877.p1	0.03319	0.44444	2712.0	3.0	2.07847	GF_000502	0.0	0.0	10.0		90.0	C342416.p1	C395877.p1	0.125	0.0
scaffold11162.p1__scaffold7771.p1	0.18584	0.49802	2712.0	3.0	1.20761	GF_000502	0.0	0.0	10.0		504.0	scaffold11162.p1	scaffold7771.p1	0.125	0.0
scaffold11162.p1__scaffold1712.p1	0.08186	0.3964	2712.0	3.0	1.31343	GF_000502	0.0	0.0	10.0		222.0	scaffold11162.p1	scaffold1712.p1	0.125	0.0
