	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Diplazium_viridescens_scaffold17313.p2__Diplazium_viridescens_scaffold305.p1	0.09044	0.62381	4644.0	402.0	0.90712	GF_001925	0.3781	4.0312	3.0	0.0938	420.0	Diplazium_viridescens_scaffold305.p1	Diplazium_viridescens_scaffold17313.p2	1.0	1.0
Diplazium_viridescens_scaffold10978.p1__Diplazium_viridescens_scaffold305.p1	0.31654	0.52041	4644.0	402.0	1.00383	GF_001925	0.2653	6.8241	4.0	0.0389	1470.0	Diplazium_viridescens_scaffold10978.p1	Diplazium_viridescens_scaffold305.p1	0.5	0.0
Diplazium_viridescens_scaffold10978.p1__Diplazium_viridescens_scaffold17313.p2	0.08656	0.54726	4644.0	402.0	1.13877	GF_001925	0.4402	8.1062	4.0	0.0543	402.0	Diplazium_viridescens_scaffold10978.p1	Diplazium_viridescens_scaffold17313.p2	0.5	0.0
Diplazium_viridescens_C529631.p1__Diplazium_viridescens_scaffold18037.p1	0.48975	0.37747	11565.0	21.0	2.37314	GF_000502	23.2548	0.5394	7.0	43.1085	5664.0	Diplazium_viridescens_scaffold18037.p1	Diplazium_viridescens_C529631.p1	1.0	1.0
Diplazium_viridescens_C529445.p1__Diplazium_viridescens_scaffold16748.p1	0.35279	0.40858	11565.0	21.0	1.88482	GF_000502	1.0656	42.4082	8.0	0.0251	4080.0	Diplazium_viridescens_scaffold16748.p1	Diplazium_viridescens_C529445.p1	1.0	0.0
Diplazium_viridescens_C524879.p1__Diplazium_viridescens_scaffold16796.p1	0.07341	0.4311	11565.0	21.0	1.9806	GF_000502	0.5238	13.5428	9.0	0.0387	849.0	Diplazium_viridescens_C524879.p1	Diplazium_viridescens_scaffold16796.p1	1.0	0.0
Diplazium_viridescens_C524879.p1__Diplazium_viridescens_scaffold16748.p1	0.06355	0.48844	11565.0	21.0	1.88938	GF_000502	2.0204	0.3612	10.0	5.593	735.0	Diplazium_viridescens_scaffold16748.p1	Diplazium_viridescens_C524879.p1	0.25	0.5
Diplazium_viridescens_scaffold16748.p1__Diplazium_viridescens_scaffold16796.p1	0.46693	0.37315	11565.0	21.0	2.65552	GF_000502	1.8356	42.6782	10.0	0.043	5400.0	Diplazium_viridescens_scaffold16748.p1	Diplazium_viridescens_scaffold16796.p1	0.25	0.0
Diplazium_viridescens_C524879.p1__Diplazium_viridescens_C529445.p1	0.05888	0.47283	11565.0	21.0	1.71518	GF_000502	0.6549	0.2127	10.0	3.0787	681.0	Diplazium_viridescens_C529445.p1	Diplazium_viridescens_C524879.p1	0.25	0.5
Diplazium_viridescens_C529445.p1__Diplazium_viridescens_scaffold16796.p1	0.30246	0.3725	11565.0	21.0	2.48132	GF_000502	0.6546	90.657	10.0	0.0072	3498.0	Diplazium_viridescens_C529445.p1	Diplazium_viridescens_scaffold16796.p1	0.25	0.0
