	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Histiopteris_incisa_C267356.p1__Histiopteris_incisa_scaffold10630.p1	0.79885	0.65468	522.0	417.0	0.41506	GF_001925	0.2145	10.8869	2.0	0.0197	417.0	Histiopteris_incisa_C267356.p1	Histiopteris_incisa_scaffold10630.p1	1.0	0.0
Histiopteris_incisa_scaffold9417.p2__Histiopteris_incisa_scaffold9418.p2	1.0	1.0	315.0	315.0	0.0	GF_003247	0.0	0.0	2.0	0.001	315.0	Histiopteris_incisa_scaffold9417.p2	Histiopteris_incisa_scaffold9418.p2	1.0	0.0
Histiopteris_incisa_scaffold6873.p2__Histiopteris_incisa_scaffold6874.p2	1.0	1.0	441.0	441.0	0.0	GF_003125	0.0	0.0	2.0	0.001	441.0	Histiopteris_incisa_scaffold6873.p2	Histiopteris_incisa_scaffold6874.p2	1.0	0.0
Histiopteris_incisa_C294667.p1__Histiopteris_incisa_C295735.p1	0.87675	0.60383	1071.0	939.0	0.6572	GF_002318	0.3558	2.9108	2.0	0.1222	939.0	Histiopteris_incisa_C294667.p1	Histiopteris_incisa_C295735.p1	1.0	1.0
Histiopteris_incisa_C298053.p1__Histiopteris_incisa_scaffold6434.p1	0.51145	0.49751	1572.0	804.0	1.05782	GF_002403	0.5977	68.7492	2.0	0.0087	804.0	Histiopteris_incisa_C298053.p1	Histiopteris_incisa_scaffold6434.p1	1.0	0.0
Histiopteris_incisa_scaffold5854.p1__Histiopteris_incisa_scaffold5855.p1	0.83791	0.99802	1203.0	1008.0	0.00568	GF_003057	0.0029	0.0	2.0	99.0	1008.0	Histiopteris_incisa_scaffold5854.p1	Histiopteris_incisa_scaffold5855.p1	1.0	0.0
Histiopteris_incisa_C305385.p1__Histiopteris_incisa_scaffold12462.p1	0.78755	0.49599	2217.0	1746.0	1.22106	GF_002556	0.6609	5.7939	2.0	0.1141	1746.0	Histiopteris_incisa_C305385.p1	Histiopteris_incisa_scaffold12462.p1	1.0	0.0
Histiopteris_incisa_scaffold3892.p1__Histiopteris_incisa_scaffold3893.p1	1.0	1.0	726.0	726.0	0.0	GF_001680	0.0	0.0	3.0	0.0653	726.0	Histiopteris_incisa_scaffold3893.p1	Histiopteris_incisa_scaffold3892.p1	1.0	0.0
Histiopteris_incisa_scaffold3891.p1__Histiopteris_incisa_scaffold3893.p1	1.0	1.0	726.0	726.0	0.0	GF_001680	0.0	0.0	4.0	0.4163	726.0	Histiopteris_incisa_scaffold3891.p1	Histiopteris_incisa_scaffold3893.p1	0.5	0.0
Histiopteris_incisa_scaffold3891.p1__Histiopteris_incisa_scaffold3892.p1	1.0	1.0	726.0	726.0	0.0	GF_001680	0.0	0.0	4.0	0.001	726.0	Histiopteris_incisa_scaffold3891.p1	Histiopteris_incisa_scaffold3892.p1	0.5	0.0
Histiopteris_incisa_scaffold1743.p1__Histiopteris_incisa_scaffold1745.p1	0.88519	1.0	810.0	252.0	0.0	GF_000971	0.0	0.0	4.0	0.001	717.0	Histiopteris_incisa_scaffold1745.p1	Histiopteris_incisa_scaffold1743.p1	1.0	0.0
Histiopteris_incisa_scaffold1744.p1__Histiopteris_incisa_scaffold1745.p1	0.37037	1.0	810.0	252.0	0.0011	GF_000971	0.0	0.0	5.0	0.0598	300.0	Histiopteris_incisa_scaffold1745.p1	Histiopteris_incisa_scaffold1744.p1	0.5	0.0
Histiopteris_incisa_scaffold1743.p1__Histiopteris_incisa_scaffold1744.p1	0.37037	1.0	810.0	252.0	0.0011	GF_000971	0.0	0.0	5.0	0.001	300.0	Histiopteris_incisa_scaffold1743.p1	Histiopteris_incisa_scaffold1744.p1	0.5	0.0
Histiopteris_incisa_C299889.p1__Histiopteris_incisa_scaffold1745.p1	0.81852	0.49472	810.0	252.0	1.39799	GF_000971	0.8031	63.5843	6.0	0.0126	663.0	Histiopteris_incisa_C299889.p1	Histiopteris_incisa_scaffold1745.p1	0.33333	0.0
Histiopteris_incisa_C299889.p1__Histiopteris_incisa_scaffold1743.p1	0.81852	0.49472	810.0	252.0	1.39799	GF_000971	0.8031	63.584	6.0	0.0126	663.0	Histiopteris_incisa_C299889.p1	Histiopteris_incisa_scaffold1743.p1	0.33333	0.0
Histiopteris_incisa_C299889.p1__Histiopteris_incisa_scaffold1744.p1	0.31111	0.46825	810.0	252.0	1.39799	GF_000971	0.8031	63.5839	6.0	0.0126	252.0	Histiopteris_incisa_C299889.p1	Histiopteris_incisa_scaffold1744.p1	0.33333	0.0
Histiopteris_incisa_scaffold10650.p1__Histiopteris_incisa_scaffold10907.p1	0.87037	0.7695	324.0	282.0	0.1954	GF_002601	0.0864	86.4069	2.0	0.001	282.0	Histiopteris_incisa_scaffold10650.p1	Histiopteris_incisa_scaffold10907.p1	1.0	0.0
Histiopteris_incisa_scaffold9824.p2__Histiopteris_incisa_scaffold9825.p1	1.0	1.0	495.0	495.0	0.0	GF_003263	0.0	0.0	2.0	0.3923	495.0	Histiopteris_incisa_scaffold9824.p2	Histiopteris_incisa_scaffold9825.p1	1.0	0.0
Histiopteris_incisa_C289181.p1__Histiopteris_incisa_scaffold6779.p1	0.87952	0.77626	498.0	432.0	0.14	GF_001253	0.0743	1.9118	3.0	0.0388	438.0	Histiopteris_incisa_C289181.p1	Histiopteris_incisa_scaffold6779.p1	1.0	1.0
Histiopteris_incisa_C279015.p1__Histiopteris_incisa_C289181.p1	0.86747	0.71065	498.0	432.0	0.30456	GF_001253	0.1544	4.6447	4.0	0.0332	432.0	Histiopteris_incisa_C279015.p1	Histiopteris_incisa_C289181.p1	0.5	1.0
Histiopteris_incisa_C279015.p1__Histiopteris_incisa_scaffold6779.p1	0.86747	0.7037	498.0	432.0	0.29688	GF_001253	0.1533	6.2187	4.0	0.0247	432.0	Histiopteris_incisa_C279015.p1	Histiopteris_incisa_scaffold6779.p1	0.5	0.0
Histiopteris_incisa_scaffold7882.p4__Histiopteris_incisa_scaffold7884.p3	0.34859	1.0	852.0	294.0	0.0	GF_001727	0.0	0.0	3.0	0.001	297.0	Histiopteris_incisa_scaffold7882.p4	Histiopteris_incisa_scaffold7884.p3	1.0	0.0
Histiopteris_incisa_scaffold7882.p4__Histiopteris_incisa_scaffold7883.p1	0.34507	0.52041	852.0	294.0	0.99126	GF_001727	0.662	2.2435	4.0	0.2951	294.0	Histiopteris_incisa_scaffold7882.p4	Histiopteris_incisa_scaffold7883.p1	0.5	0.5
Histiopteris_incisa_scaffold7883.p1__Histiopteris_incisa_scaffold7884.p3	0.34507	0.52041	852.0	294.0	0.99126	GF_001727	0.662	2.2435	4.0	0.2951	294.0	Histiopteris_incisa_scaffold7884.p3	Histiopteris_incisa_scaffold7883.p1	0.5	0.5
Histiopteris_incisa_C270113.p1__Histiopteris_incisa_C294565.p2	1.0	0.8092	435.0	435.0	0.31476	GF_001947	0.1471	0.6001	2.0	0.2452	435.0	Histiopteris_incisa_C270113.p1	Histiopteris_incisa_C294565.p2	1.0	1.0
Histiopteris_incisa_C280857.p1__Histiopteris_incisa_C294721.p1	0.61972	0.60795	852.0	273.0	0.78632	GF_000349	0.2487	2.0027	7.0	0.1242	528.0	Histiopteris_incisa_C280857.p1	Histiopteris_incisa_C294721.p1	1.0	1.0
Histiopteris_incisa_scaffold3559.p1__Histiopteris_incisa_scaffold3560.p1	0.50352	1.0	852.0	273.0	0.0	GF_000349	0.0	0.0	8.0	0.001	429.0	Histiopteris_incisa_scaffold3560.p1	Histiopteris_incisa_scaffold3559.p1	1.0	0.0
Histiopteris_incisa_scaffold5220.p1__Histiopteris_incisa_scaffold5221.p1	0.62324	0.98682	852.0	273.0	0.01238	GF_000349	0.0	0.0	9.0	0.001	531.0	Histiopteris_incisa_scaffold5221.p1	Histiopteris_incisa_scaffold5220.p1	1.0	0.0
Histiopteris_incisa_scaffold3560.p1__Histiopteris_incisa_scaffold5221.p1	0.50352	0.79953	852.0	273.0	0.14548	GF_000349	0.095	1.3963	10.0	0.068	429.0	Histiopteris_incisa_scaffold3560.p1	Histiopteris_incisa_scaffold5221.p1	0.25	0.25
Histiopteris_incisa_scaffold3560.p1__Histiopteris_incisa_scaffold5220.p1	0.50352	0.79953	852.0	273.0	0.13418	GF_000349	0.095	1.3963	10.0	0.068	429.0	Histiopteris_incisa_scaffold3560.p1	Histiopteris_incisa_scaffold5220.p1	0.25	0.25
Histiopteris_incisa_scaffold3559.p1__Histiopteris_incisa_scaffold5221.p1	0.50352	0.79953	852.0	273.0	0.14548	GF_000349	0.095	1.3963	10.0	0.068	429.0	Histiopteris_incisa_scaffold3559.p1	Histiopteris_incisa_scaffold5221.p1	0.25	0.25
Histiopteris_incisa_scaffold3559.p1__Histiopteris_incisa_scaffold5220.p1	0.50352	0.79953	852.0	273.0	0.13418	GF_000349	0.095	1.3963	10.0	0.068	429.0	Histiopteris_incisa_scaffold3559.p1	Histiopteris_incisa_scaffold5220.p1	0.25	0.25
