	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Loxogramme_chinensis_scaffold19217.p1__Loxogramme_chinensis_scaffold20953.p1	0.35323	0.55399	603.0	213.0	0.82026	GF_003247	0.5043	2.9303	2.0	0.1721	213.0	Loxogramme_chinensis_scaffold19217.p1	Loxogramme_chinensis_scaffold20953.p1	1.0	1.0
Loxogramme_chinensis_scaffold16649.p1__Loxogramme_chinensis_scaffold16650.p1	1.0	1.0	171.0	171.0	0.0	GF_003125	0.0	0.0	2.0	0.4795	171.0	Loxogramme_chinensis_scaffold16649.p1	Loxogramme_chinensis_scaffold16650.p1	1.0	0.0
Loxogramme_chinensis_C830182.p1__Loxogramme_chinensis_scaffold25005.p1	0.1589	0.62069	1095.0	174.0	0.69004	GF_002318	0.3779	2.0399	2.0	0.1852	174.0	Loxogramme_chinensis_C830182.p1	Loxogramme_chinensis_scaffold25005.p1	1.0	1.0
Loxogramme_chinensis_C840660.p1__Loxogramme_chinensis_C850423.p1	0.9661	0.58187	354.0	342.0	0.7209	GF_002403	0.4157	3.4552	2.0	0.1203	342.0	Loxogramme_chinensis_C840660.p1	Loxogramme_chinensis_C850423.p1	1.0	1.0
Loxogramme_chinensis_scaffold15214.p1__Loxogramme_chinensis_scaffold22110.p1	0.90778	0.56296	1041.0	945.0	0.7371	GF_003057	0.4192	58.5267	2.0	0.0072	945.0	Loxogramme_chinensis_scaffold15214.p1	Loxogramme_chinensis_scaffold22110.p1	1.0	0.0
Loxogramme_chinensis_C856575.p1__Loxogramme_chinensis_scaffold14935.p1	0.19886	0.90952	1056.0	210.0	0.20938	GF_002556	0.096	0.1069	2.0	0.898	210.0	Loxogramme_chinensis_C856575.p1	Loxogramme_chinensis_scaffold14935.p1	1.0	1.0
Loxogramme_chinensis_scaffold24063.p1__Loxogramme_chinensis_scaffold24972.p1	0.5036	0.55238	1251.0	630.0	0.99592	GF_003393	0.5615	2.2067	2.0	0.2545	630.0	Loxogramme_chinensis_scaffold24063.p1	Loxogramme_chinensis_scaffold24972.p1	1.0	1.0
Loxogramme_chinensis_scaffold16735.p1__Loxogramme_chinensis_scaffold16736.p1	0.56175	1.0	753.0	381.0	0.0	GF_001680	0.0	0.0	3.0	0.001	423.0	Loxogramme_chinensis_scaffold16736.p1	Loxogramme_chinensis_scaffold16735.p1	1.0	0.0
Loxogramme_chinensis_C863459.p1__Loxogramme_chinensis_scaffold16736.p1	0.50598	0.47769	753.0	381.0	1.1991	GF_001680	0.6967	54.7947	4.0	0.0127	381.0	Loxogramme_chinensis_C863459.p1	Loxogramme_chinensis_scaffold16736.p1	0.5	0.0
Loxogramme_chinensis_C863459.p1__Loxogramme_chinensis_scaffold16735.p1	0.50598	0.47769	753.0	381.0	1.1991	GF_001680	0.6967	54.7947	4.0	0.0127	381.0	Loxogramme_chinensis_C863459.p1	Loxogramme_chinensis_scaffold16735.p1	0.5	0.0
Loxogramme_chinensis_C805426.p1__Loxogramme_chinensis_C853493.p1	0.58247	0.60177	582.0	333.0	0.6494	GF_000971	0.3547	62.2031	4.0	0.0057	339.0	Loxogramme_chinensis_C805426.p1	Loxogramme_chinensis_C853493.p1	1.0	0.0
Loxogramme_chinensis_scaffold10302.p1__Loxogramme_chinensis_scaffold10367.p1	0.80412	0.47436	582.0	333.0	1.56065	GF_000971	0.6542	2.6631	5.0	0.2457	468.0	Loxogramme_chinensis_scaffold10367.p1	Loxogramme_chinensis_scaffold10302.p1	1.0	1.0
