	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	PairwiseAlignmentLength	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Pteridium_revolutum_C160079.p1__Pteridium_revolutum_C167491.p1	0.84211	0.43924	684.0	576.0	1.54374	GF_001925	0.8341	63.2518	2.0	0.0132	576.0	Pteridium_revolutum_C160079.p1	Pteridium_revolutum_C167491.p1	1.0	0.0
Pteridium_revolutum_C177805.p1__Pteridium_revolutum_scaffold2371.p1	0.68522	0.42292	1401.0	960.0	1.4836	GF_002318	0.8228	21.2259	2.0	0.0388	960.0	Pteridium_revolutum_C177805.p1	Pteridium_revolutum_scaffold2371.p1	1.0	0.0
Pteridium_revolutum_C179783.p1__Pteridium_revolutum_C185259.p1	0.5231	0.43994	2403.0	1257.0	1.2904	GF_002403	0.8018	57.22	2.0	0.014	1257.0	Pteridium_revolutum_C179783.p1	Pteridium_revolutum_C185259.p1	1.0	0.0
Pteridium_revolutum_scaffold1215.p1__Pteridium_revolutum_scaffold1216.p1	0.5461	1.0	423.0	231.0	0.00054	GF_002556	0.0	0.0	2.0	0.4967	231.0	Pteridium_revolutum_scaffold1215.p1	Pteridium_revolutum_scaffold1216.p1	1.0	0.0
Pteridium_revolutum_C138005.p1__Pteridium_revolutum_scaffold1221.p1	0.64706	0.62771	357.0	231.0	0.85992	GF_001680	0.4836	0.8148	2.0	0.5935	231.0	Pteridium_revolutum_C138005.p1	Pteridium_revolutum_scaffold1221.p1	1.0	1.0
Pteridium_revolutum_scaffold2214.p1__Pteridium_revolutum_scaffold4359.p1	0.96311	0.55177	732.0	705.0	1.01388	GF_002601	0.5396	2.2461	2.0	0.2402	705.0	Pteridium_revolutum_scaffold2214.p1	Pteridium_revolutum_scaffold4359.p1	1.0	1.0
Pteridium_revolutum_C159507.p1__Pteridium_revolutum_C167429.p1	0.77406	0.48829	717.0	516.0	1.15054	GF_001253	0.6433	55.5455	3.0	0.0116	555.0	Pteridium_revolutum_C159507.p1	Pteridium_revolutum_C167429.p1	1.0	0.0
Pteridium_revolutum_C159507.p1__Pteridium_revolutum_C161173.p1	0.75314	0.44074	717.0	516.0	1.69319	GF_001253	0.8783	4.0058	4.0	0.2193	540.0	Pteridium_revolutum_C161173.p1	Pteridium_revolutum_C159507.p1	0.5	0.5
Pteridium_revolutum_C161173.p1__Pteridium_revolutum_C167429.p1	0.74059	0.45574	717.0	516.0	1.63995	GF_001253	0.8736	4.3164	4.0	0.2024	531.0	Pteridium_revolutum_C161173.p1	Pteridium_revolutum_C167429.p1	0.5	0.5
Pteridium_revolutum_C143341.p1__Pteridium_revolutum_C169103.p1	0.61712	0.67883	666.0	411.0	0.28244	GF_001727	0.1656	83.6417	2.0	0.002	411.0	Pteridium_revolutum_C143341.p1	Pteridium_revolutum_C169103.p1	1.0	0.0
